arrival_ts,event_ts,val_x,val_y,val_z
186993269543455,318065251343257,2.0508728,6.987137,7.058258
186993269648143,318065256317622,2.0508728,6.987137,7.058258
186993279937674,318065261291988,2.0508728,6.987137,7.058258
186993280044132,318065266266353,2.0508728,6.987137,7.058258
186993280131580,318065271240718,2.0508728,6.987137,7.058258
186993280214288,318065276215083,2.0508728,6.987137,7.058258
186993288109861,318065281189448,2.0729523,6.9727325,6.868149
186993340990747,318065286163814,2.1048584,6.997513,6.505615
186993341109757,318065291138179,2.048645,7.102249,6.3798676
186993341190486,318065296112544,1.9343414,7.2423553,6.3511505
186993341260695,318065301086909,1.6884613,7.361389,6.334091
186993341327257,318065306061275,1.302002,7.2133636,6.2291565
186993341393299,318065311035640,1.2073517,7.0184784,6.004303
186993341465643,318065316010005,1.444519,7.008774,5.848892
186993341531580,318065320984370,1.7618103,7.086319,5.844162
186993341596528,318065325958736,2.0430603,7.116913,5.9812927
186993341663872,318065330933101,2.2751312,7.026886,6.1745453
186993341735643,318065335907466,2.4706726,6.999527,6.3732758
186993349803195,318065340881831,2.6101074,7.046417,6.485611
186993349939966,318065345856197,2.6855621,7.1379395,6.6294403
186993368273663,318065350830562,2.7414398,7.169861,6.6712036
186993368402778,318065355804927,2.64917,7.1410522,6.666031
186993368482309,318065360779292,2.5388947,7.13591,6.59935
186993374395538,318065365753657,2.3451996,7.168991,6.452881
186993374501163,318065370728023,2.3451996,7.168991,6.452881
186993378921320,318065375702388,2.3451996,7.168991,6.452881
186993392165278,318065380676753,2.3451996,7.168991,6.452881
186993392268195,318065385651118,1.9209442,7.3934174,6.018509
186993393522778,318065390625484,1.5301819,7.507553,5.785843
186993400427674,318065395599849,1.3642883,7.412979,5.858032
186993403003716,318065400574214,1.3197174,7.3186035,5.9664307
186993407788507,318065405548579,1.3119812,7.281296,6.0496063
186993412669184,318065410522945,1.2424164,7.232849,6.227188
186993418535070,318065415497310,1.1916199,7.1601257,6.3956146
186993422255070,318065420471675,1.2302704,7.128784,6.5171356
186993426946424,318065425446040,1.3520203,7.145401,6.605423
186993432360330,318065430420406,1.499466,7.1903076,6.6267395
186993436808143,318065435394771,1.625061,7.1976166,6.60878
186993446393507,318065440369136,1.6763306,7.2300873,6.5393677
186993451703143,318065445343501,1.7346039,7.2978516,6.428253
186993455908038,318065450317866,1.7209778,7.3335266,6.3279724
186993461195382,318065455292232,1.6474152,7.3412323,6.210022
