arrival_ts,event_ts,val_x,val_y,val_z
186993341958507,186993277283199,-18.86444,-20.32013,-20.187378
186993342026372,186993296600826,-19.084167,-20.533752,-20.574951
186993342103299,186993315826900,-18.141174,-19.728088,-19.485474
186993342172622,186993334930904,-16.860962,-19.99054,-19.91272
186993368599445,186993354187496,-18.411255,-19.319153,-21.070862
186993374638455,186993373383052,-18.496704,-18.980408,-21.507263
186993393944966,186993392914302,-19.052124,-18.669128,-20.431519
186993412914497,186993412079341,-18.299866,-19.024658,-20.173645
186993433307778,186993431274898,-18.199158,-18.714905,-20.710754
186993452149965,186993450439937,-17.56897,-18.475342,-20.024109
186993471791684,186993469604976,-17.842102,-18.067932,-20.361328
186993490271059,186993488800533,-17.82074,-17.236328,-20.559692
186993511524184,186993507965572,-18.418884,-16.848755,-20.689392
186993528996111,186993527191646,-18.984985,-16.444397,-21.055603
186993548535590,186993546417720,-19.221497,-16.145325,-20.922852
186993567385226,186993565643795,-18.489075,-15.673828,-20.768738
186993587415278,186993585144527,-18.395996,-15.861511,-20.854187
186993607016684,186993604309566,-18.380737,-15.79895,-20.628357
186993624947674,186993623474605,-18.182373,-15.37323,-21.131897
186993643966840,186993642670162,-18.382263,-15.567017,-20.59784
186993664020174,186993661835201,-18.165588,-15.350342,-20.256042
186993683086632,186993681061275,-17.512512,-15.54718,-20.651245
186993702395330,186993700317867,-17.182922,-15.4953,-20.767212
186993721395955,186993719482906,-16.722107,-15.431213,-20.428467
186993742183767,186993738708980,-16.210938,-15.287781,-20.700073
186993759673455,186993757904537,-15.991211,-15.460205,-20.378113
186993779876840,186993777161129,-15.565491,-15.52124,-20.536804
186993798574601,186993796356685,-15.287781,-15.466309,-20.697021
186993818255642,186993815582759,-15.255737,-15.490723,-20.928955
186993835865330,186993834808834,-15.605164,-15.409851,-21.052551
186993856971163,186993854034908,-15.545654,-15.150452,-20.84198
186993875414601,186993873260982,-15.124512,-14.936829,-21.022034
186993896187153,186993892487056,-14.807129,-14.450073,-21.214294
186993913699601,186993911713131,-14.8880005,-13.499451,-21.461487
186993933091215,186993930939205,-14.685059,-12.962341,-21.881104
186993952257986,186993950165279,-14.581299,-12.080383,-21.626282
186993970692622,186993969391353,-14.709473,-11.477661,-21.939087
186993990716892,186993988647945,-14.440918,-10.992432,-22.128296
186994009302622,186994007904537,-14.398193,-10.484314,-22.11914
186994028673559,186994027069576,-14.884949,-10.491943,-22.135925
186994047534653,186994046295650,-14.584351,-10.687256,-22.047424
186994066950799,186994065521724,-15.032959,-10.992432,-22.277832
186994086212830,186994084747799,-15.678406,-11.299133,-22.54181
186994106016840,186994103973873,-15.77301,-11.61499,-21.911621
186994124228246,186994123199947,-16.246033,-11.592102,-22.393799
186994144594549,186994142426021,-16.488647,-11.671448,-22.419739
186994162800486,186994161652095,-17.051697,-11.621094,-22.158813
186994182265226,186994180908687,-16.864014,-12.07428,-22.323608
186994201118299,186994200104244,-17.192078,-12.013245,-22.169495
186994220778038,186994219330318,-18.011475,-12.608337,-22.216797
186994239663611,186994238556392,-18.833923,-13.047791,-22.276306
186994258892465,186994257782466,-18.85376,-13.223267,-22.58606
186994278241892,186994277039058,-19.136047,-13.467407,-22.506714
186994297479444,186994296265133,-19.73877,-13.543701,-21.49353
186994316508976,186994315460689,-19.517517,-13.8671875,-21.853638
186994335716267,186994334686763,-20.603943,-13.719177,-21.429443
186994355000226,186994353912838,-20.440674,-14.115906,-21.272278
186994375254809,186994373138912,-20.70465,-14.14032,-21.577454
186994393597569,186994392364986,-20.832825,-13.964844,-21.305847
186994412907726,186994411621578,-21.07544,-13.737488,-21.26007
186994432449548,186994430847652,-21.784973,-13.458252,-20.960999
186994452068819,186994450073726,-22.377014,-13.458252,-21.110535
186994471824028,186994469269283,-22.763062,-13.313293,-21.051025
186994490727882,186994488495357,-23.010254,-13.545227,-21.159363
186994509337361,186994507751949,-22.819519,-13.5772705,-21.214294
186994528196944,186994526947506,-23.898315,-13.5849,-21.380615
186994547754028,186994546173580,-24.084473,-13.790894,-20.6604
186994567168507,186994565430172,-25.094604,-13.465881,-21.133423
186994586058611,186994584686763,-25.686646,-13.119507,-21.214294
186994605236684,186994603851802,-25.987244,-13.467407,-20.755005
186994624788246,186994623077877,-26.777649,-13.818359,-20.359802
186994644276528,186994642303951,-26.759338,-13.676453,-20.741272
186994662952413,186994661530025,-26.867676,-13.284302,-20.80841
186994682771215,186994680786617,-28.173828,-12.962341,-20.707703
186994701699653,186994699982174,-28.465271,-13.046265,-20.082092
186994720673819,186994719238765,-28.868103,-13.386536,-20.358276
186994740094705,186994738464840,-28.619385,-13.465881,-20.274353
186994759361684,186994757660396,-29.144287,-13.365173,-20.158386
186994778980590,186994776916988,-29.119873,-13.22937,-20.446777
186994797756215,186994796112545,-30.07965,-12.791443,-20.23468
186994817216371,186994815369136,-30.200195,-12.504578,-20.480347
186994836052100,186994834564693,-30.145264,-12.081909,-20.976257
186994855465121,186994853821285,-30.311584,-12.071228,-20.596313
186994874979965,186994873016841,-30.204773,-12.037659,-20.466614
186994894476788,186994892273433,-30.186462,-11.938477,-20.196533
186994913071736,186994911468990,-29.873657,-12.0224,-21.228027
186994932188090,186994930695064,-29.240417,-11.782837,-21.144104
186994952109913,186994949921138,-29.322815,-11.450195,-20.884705
186994970668819,186994969147213,-28.625488,-11.027527,-21.186829
186994990165486,186994988373287,-28.152466,-10.662842,-21.287537
186995009780486,186995007599361,-26.940918,-10.021973,-21.821594
186995028928767,186995026825435,-25.941467,-9.796143,-22.035217
186995048370590,186995046051509,-25.189209,-9.686279,-22.320557
186995067669600,186995065308101,-25.64392,-9.912109,-21.95282
186995087754496,186995084564693,-26.060486,-10.090637,-21.730042
186995105651840,186995104004390,-26.97754,-10.070801,-21.676636
186995125538767,186995123169429,-27.601624,-10.125732,-21.58966
186995144111007,186995142364986,-28.64685,-10.238647,-21.333313
186995163587309,186995161560543,-28.677368,-10.487366,-21.130371
186995182835850,186995180725582,-29.631042,-10.899353,-21.646118
186995203025381,186995199921138,-29.884338,-11.512756,-21.263123
186995220122204,186995219147213,-29.63562,-12.361145,-21.356201
186995239346006,186995238342769,-29.792786,-12.664795,-20.909119
186995258724704,186995257568843,-29.745483,-12.583923,-21.565247
186995279128923,186995276794918,-28.87268,-12.263489,-20.854187
186995298225746,186995296265133,-30.24292,-12.199402,-21.0083
186995316929965,186995315491207,-30.760193,-13.069153,-20.962524
186995335871319,186995334595211,-30.133057,-13.63678,-20.44983
186995355469704,186995353760250,-30.66864,-14.109802,-19.921875
186995374982309,186995372986324,-30.949402,-14.0060425,-19.773865
186995394138194,186995392151363,-31.77948,-13.900757,-19.824219
186995412569444,186995411407955,-32.33795,-14.085388,-19.546509
186995432485381,186995430603511,-32.748413,-14.073181,-19.847107
186995450984183,186995449829586,-33.013916,-14.099121,-19.50531
186995470469079,186995469025142,-33.580017,-14.0060425,-19.293213
186995492244808,186995488281734,-33.54492,-14.074707,-18.82782
186995508734131,186995507477291,-33.84552,-14.071655,-18.948364
186995530102152,186995526703365,-34.439087,-14.189148,-18.487549
186995547040902,186995545929439,-35.142517,-14.373779,-18.849182
186995566367308,186995565186031,-35.351562,-14.248657,-19.030762
186995585510121,186995584381588,-36.52191,-14.189148,-18.457031
186995604488663,186995603607662,-36.512756,-14.27002,-19.006348
186995623916996,186995622821091,-36.601257,-14.360046,-18.25409
186995643382933,186995642077683,-37.132263,-14.370728,-18.222046
186995662576215,186995661273239,-37.083435,-14.56604,-17.610168
186995681921683,186995680529831,-37.63733,-14.830017,-17.280579
186995701479652,186995699725388,-37.34131,-15.484619,-17.344666
186995720828038,186995718981980,-37.599182,-15.748596,-16.940308
186995739864392,186995738177536,-37.8067,-16.436768,-16.601562
186995761006996,186995757403611,-38.137817,-16.757202,-16.558838
186995778944704,186995776629685,-37.87384,-17.041016,-16.323853
186995797467204,186995795886277,-37.854004,-17.366028,-16.116333
186995817585694,186995815081833,-38.71765,-17.118835,-15.943909
186995835600433,186995834307907,-38.594055,-17.098999,-16.229248
186995854792933,186995853533982,-39.17389,-17.228699,-15.583801
