arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
186994976924392,824388,779,148,-577,84,true,59,0.0,-1.0,false,false,614
186996174301683,825649,836,-500,-1142,177,true,124,0.0,-1.0,false,false,262
186997380554808,826888,835,-1154,-809,232,true,140,0.0,-1.0,false,false,28
186998572701266,828126,835,-1148,-183,191,true,116,0.0,-1.0,false,true,3346
186999776785536,829344,837,-1231,506,127,true,133,0.0,-1.0,false,true,2930
187000973842775,830602,836,-441,1195,217,true,127,0.0,-1.0,false,true,2466
187002176175118,831860,856,658,974,236,true,117,0.0,-1.0,false,true,1981
187003984525743,833138,856,1231,363,64,true,128,0.0,-1.0,false,true,1591
187005777082877,834416,856,1152,-610,212,true,130,0.0,-1.0,false,true,1117
187006375703398,835694,836,407,-1064,64,true,113,0.0,-1.0,false,false,608
187007573353658,836932,796,-687,-896,66,true,112,0.0,-1.0,false,false,181
187008776860897,838150,856,-1302,-272,74,true,133,0.0,-1.0,false,true,3316
187009977702147,839429,835,-962,724,165,true,120,0.0,-1.0,false,true,2766
187011174618396,840686,836,-91,1284,287,true,128,0.0,-1.0,false,true,2269
187012375828969,841945,855,1010,685,55,true,122,0.0,-1.0,false,true,1689
187013578187197,843203,855,1099,-269,121,true,113,0.0,-1.0,false,true,1173
187015379397197,844521,855,595,-1070,179,true,122,0.0,-1.0,false,true,1094
187016212105790,845780,575,426,-239,68,true,48,0.0,-1.0,false,true,1434
187024980090110,854222,839,1210,-426,115,true,128,0.0,-1.0,false,true,1369
187026176540578,855404,835,1166,-376,233,true,122,0.0,-1.0,false,true,1075
187027380756255,856642,795,899,-1049,87,true,138,0.0,-1.0,false,true,1289
187028579496983,857800,836,1395,179,211,true,140,0.0,-1.0,false,true,1919
187029777762452,858998,816,519,1295,-49,true,139,0.0,-1.0,false,true,2494
187030973591774,860216,816,-653,1137,176,true,131,0.0,-1.0,false,true,3171
187032175959638,861414,816,-1373,210,44,true,138,0.0,-1.0,false,true,3483
187033375354846,862632,856,-1153,-777,181,true,139,0.0,-1.0,false,false,281
187034576880523,863851,835,-192,-1384,181,true,139,0.0,-1.0,false,true,778
187035777305626,865049,895,973,-931,266,true,134,0.0,-1.0,false,true,1326
187036974600886,866307,895,1421,414,86,true,148,0.0,-1.0,false,true,1965
187038179026459,867565,875,186,1362,167,true,137,0.0,-1.0,false,true,2656
187039376808438,868843,855,-1043,888,74,true,136,0.0,-1.0,false,true,3328
187041177352916,870121,835,-1290,-455,158,true,136,0.0,-1.0,false,false,270
187041775940207,871439,835,65,-1498,151,true,149,0.0,-1.0,false,true,961
187043580823228,872637,955,1207,-530,120,true,131,0.0,-1.0,false,true,1561
