arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
187279980587304,814008,519,-242,37,87,true,24,0.0,-1.0,false,false,83
187279983976679,814008,519,-242,37,87,true,24,0.0,-1.0,false,false,83
187280584434804,814649,98,-9,2,-7,true,0,0.0,-1.0,false,false,90
187280585648606,814649,98,-9,2,-7,true,0,0.0,-1.0,false,false,90
187281779259908,815345,879,-1175,305,100,true,121,0.0,-1.0,false,true,3586
187281783217616,815345,879,-1175,305,100,true,121,0.0,-1.0,false,true,3586
187282977961730,816626,835,-1325,405,102,true,138,0.0,-1.0,false,false,39
187282978945272,816626,835,-1325,405,102,true,138,0.0,-1.0,false,false,39
187284179456209,817823,855,-1364,548,23,true,146,0.0,-1.0,false,false,33
187284180164178,817823,855,-1364,548,23,true,146,0.0,-1.0,false,false,33
187285380176000,819021,795,-1344,325,214,true,138,0.0,-1.0,false,false,81
187285381206312,819021,795,-1344,325,214,true,138,0.0,-1.0,false,false,81
187286576373604,820158,835,-1378,395,128,true,143,0.0,-1.0,false,false,71
187286576706416,820158,835,-1378,395,128,true,143,0.0,-1.0,false,false,71
187287777056624,821356,815,-1366,492,23,true,145,0.0,-1.0,false,false,34
187287777392614,821356,815,-1366,492,23,true,145,0.0,-1.0,false,false,34
187288983442822,822533,855,-1128,542,108,true,125,0.0,-1.0,false,true,3580
187288984152249,822533,855,-1128,542,108,true,125,0.0,-1.0,false,true,3580
187290179210477,823791,855,-1056,334,41,true,110,0.0,-1.0,false,false,40
187290180063029,823791,855,-1056,334,41,true,110,0.0,-1.0,false,false,40
187291376805425,825008,835,-1315,521,200,true,141,0.0,-1.0,false,true,3579
187291377070894,825008,835,-1315,521,200,true,141,0.0,-1.0,false,true,3579
187292579849903,826265,855,-1106,467,148,true,120,0.0,-1.0,false,true,3504
187292580189903,826265,855,-1106,467,148,true,120,0.0,-1.0,false,true,3504
187294379163653,827582,855,-609,987,267,true,115,0.0,-1.0,false,true,2867
187294379842090,827582,855,-609,987,267,true,115,0.0,-1.0,false,true,2867
187295579910736,829455,399,-17,169,7,true,16,0.0,-1.0,false,true,2873
187295580950892,829455,399,-17,169,7,true,16,0.0,-1.0,false,true,2873
187309978184897,843704,599,-190,-53,22,true,19,0.0,-1.0,false,true,3541
187309979781303,843704,599,-190,-53,22,true,19,0.0,-1.0,false,true,3541
187311175845261,844922,818,-1147,29,187,true,114,0.0,-1.0,false,false,125
187311176231667,844922,818,-1147,29,187,true,114,0.0,-1.0,false,false,125
187312981909427,846123,855,-1341,107,23,true,134,0.0,-1.0,false,false,106
187312984670677,846123,855,-1341,107,23,true,134,0.0,-1.0,false,false,106
187313858771510,847340,815,-1230,141,166,true,123,0.0,-1.0,false,false,69
187313869460208,847340,815,-1230,141,166,true,123,0.0,-1.0,false,false,69
187315381397759,848537,816,-1243,375,65,true,129,0.0,-1.0,false,false,4
187315383268749,848537,816,-1243,375,65,true,129,0.0,-1.0,false,false,4
187315977937655,849735,795,-1215,263,-88,true,124,0.0,-1.0,false,true,3591
187315978643020,849735,795,-1215,263,-88,true,124,0.0,-1.0,false,true,3591
187317177269894,850912,796,-1196,414,197,true,126,0.0,-1.0,false,false,55
187317177894894,850912,796,-1196,414,197,true,126,0.0,-1.0,false,false,55
187318381724217,852090,855,-1243,465,107,true,132,0.0,-1.0,false,true,3592
187318382521352,852090,855,-1243,465,107,true,132,0.0,-1.0,false,true,3592
187319579817654,853347,835,-1129,236,53,true,115,0.0,-1.0,false,false,61
187319583337654,853347,835,-1129,236,53,true,115,0.0,-1.0,false,false,61
187320780554059,854585,815,-1322,433,7,true,139,0.0,-1.0,false,false,13
187320781045257,854585,815,-1322,433,7,true,139,0.0,-1.0,false,false,13
