arrival_ts,event_ts,val_x,val_y,val_z
187350500372277,187350499144244,-0.19274902,-0.06790161,-0.29966736
187350510077850,187350504118609,-0.22024536,-0.10487366,-0.29351807
187350514950038,187350509092974,-0.9176178,-1.0491638,-0.14222717
187350519892225,187350514067340,-0.93107605,-1.1692657,-0.2068634
187350524561131,187350519041705,-0.93292236,-1.2786255,-0.25628662
187350529684517,187350524016070,-0.9197235,-1.3377686,-0.27845764
187350534446913,187350528990435,-0.8887787,-1.3682556,-0.2783966
187350538943006,187350533964801,-0.8431854,-1.3848724,-0.25813293
187350544128371,187350538939166,-0.7931366,-1.3911285,-0.2256012
187350549780298,187350543913531,-0.74142456,-1.3902283,-0.19229126
187350553538475,187350548887896,-0.7014923,-1.3894653,-0.16056824
187350558364152,187350553862261,-0.6972351,-1.378067,-0.124313354
187350565126131,187350558836627,-0.73106384,-1.3493195,-0.086883545
187350567728319,187350563810992,-0.7868042,-1.3000793,-0.050354004
187350572567069,187350568785357,-0.8492584,-1.2159119,-0.018035889
187350577883944,187350573759722,-0.9014435,-1.0942078,0.0049743652
187350582234569,187350578734088,-0.92993164,-0.95921326,0.018341064
187350586998631,187350583708453,-0.9352417,-0.8290405,0.026535034
187350591743371,187350588682818,-0.9298096,-0.6867218,0.032287598
187350598839100,187350593657183,-0.9189148,-0.50764465,0.027328491
187350601351027,187350598631549,-0.89108276,-0.292984,-0.0010070801
187350605936340,187350603605914,-0.8497467,-0.053344727,-0.047607422
187350610993110,187350608580279,-0.7903137,0.19703674,-0.10884094
187350615877433,187350613554644,-0.7258301,0.44458008,-0.17607117
187350620951756,187350618529010,-0.6661072,0.675827,-0.24559021
187350627488423,187350623503375,-0.6077118,0.86331177,-0.3164978
187350630367173,187350628477740,-0.5685272,1.0064697,-0.37734985
187350640538579,187350633452105,-0.5628967,1.1022644,-0.41349792
187350646756496,187350638426470,-0.59573364,1.1534424,-0.4245758
187350649367433,187350643400836,-0.6619568,1.1667938,-0.417984
187350654406340,187350648375201,-0.7658539,1.1588593,-0.40089417
187350659756965,187350653349566,-0.8988037,1.122757,-0.36950684
187350664167121,187350658323931,-1.0575256,1.0099945,-0.330307
187350668742381,187350663298297,-1.2328033,0.7418823,-0.29193115
187350674031652,187350668272662,-1.3926086,0.3991394,-0.25590515
187350680858683,187350673247027,-1.5269928,0.12800598,-0.21939087
187350683785975,187350678221392,-1.6701965,-0.04096985,-0.16685486
187350688716288,187350683195758,-1.8244629,-0.10664368,-0.10079956
187350693698735,187350688170123,-1.9655762,-0.08226013,-0.044052124
187350699079204,187350693144488,-2.079956,0.006149292,-0.010955811
187350702997642,187350698118853,-2.1823883,0.15393066,0.0021362305
187350707570246,187350703093218,-2.2808075,0.34587097,-0.0057678223
187350712903631,187350708067584,-2.3698578,0.56118774,-0.033462524
187350719074204,187350713041949,-2.4324646,0.79460144,-0.08206177
187350721443840,187350718016314,-2.4499054,1.0246124,-0.1474762
187350726386131,187350722990679,-2.4084015,1.2183228,-0.22793579
187350732094308,187350727965045,-2.2845917,1.3863373,-0.36680603
187350736159465,187350732939410,-2.0648346,1.5964813,-0.634552
187350740579621,187350737913775,-1.8412018,1.7450562,-0.88853455
187350745321131,187350742888140,-1.7101135,1.8230133,-1.0324554
187350752120090,187350747862506,-1.6169128,1.8526459,-1.0939178
187350755053371,187350752836871,-1.5365143,1.8159027,-1.0606537
187350760089465,187350757811236,-1.4885864,1.7041321,-0.9293976
187350769925350,187350762785601,-1.46138,1.5102692,-0.7468567
187350775476860,187350767759967,-1.4363403,1.2610168,-0.5536804
187350780347850,187350772734332,-1.403717,0.98413086,-0.36917114
187350783783631,187350777708697,-1.3594818,0.7250061,-0.22106934
187350788166860,187350782683062,-1.3052063,0.5360718,-0.13059998
187350793381027,187350787657427,-1.2385254,0.4503479,-0.08758545
187350798481079,187350792631793,-1.1556549,0.46302795,-0.08432007
187350803179621,187350797606158,-1.0603485,0.5516205,-0.1104126
187350808767538,187350802580523,-0.94703674,0.69039917,-0.1600647
187350813135871,187350807554888,-0.81663513,0.8360901,-0.22895813
187350817900506,187350812529254,-0.6714783,0.94880676,-0.3062439
187350822675454,187350817503619,-0.5214386,1.0020294,-0.38269043
187350828185558,187350822477984,-0.38346863,0.9918213,-0.44491577
187350831940819,187350827452349,-0.2758026,0.9313965,-0.48345947
187350837266444,187350832426715,-0.21052551,0.8452606,-0.4960327
187350841603944,187350837401080,-0.19091797,0.7484741,-0.48349
187350847156131,187350842375445,-0.21333313,0.63816833,-0.44784546
187350851154673,187350847349810,-0.27371216,0.5138092,-0.38682556
187350856072850,187350852324176,-0.36315918,0.3847046,-0.30262756
187350861818162,187350857298541,-0.46391296,0.26457214,-0.20207214
187350865433892,187350862272906,-0.56925964,0.124435425,-0.09187317
187350870643475,187350867247271,-0.6651001,-0.07421875,0.01940918
187350875112485,187350872221636,-0.705719,-0.25990295,0.10694885
187350880705194,187350877196002,-0.67285156,-0.38171387,0.15625
187350886515662,187350882170367,-0.5950775,-0.45654297,0.16152954
187350889414256,187350887144732,-0.48884583,-0.49383545,0.1290741
187350894074412,187350892119097,-0.34661865,-0.49671936,0.056167603
187350903379152,187350897093463,-0.17393494,-0.47529602,-0.042266846
187350908902277,187350902067828,0.020706177,-0.44755554,-0.15765381
187350913964829,187350907042193,0.2236023,-0.41036987,-0.27194214
187350918474933,187350912016558,0.41815186,-0.34732056,-0.37890625
187350922718162,187350916990924,0.5985565,-0.25234985,-0.4621277
