arrival_ts,event_ts,val_x,val_y,val_z,val_w
187424903080113,187424901307627,0.0,0.0,0.0,1.0
187424916060009,187424906098887,-0.020154059,-0.34053278,0.0065199607,0.939994
187424916186728,187424910890147,-0.020943087,-0.34098703,0.0063728113,0.9398131
187424918114749,187424915681407,-0.02202803,-0.34138092,0.0063382364,0.93964547
187424922596624,187424920472666,-0.022957355,-0.34195504,0.006262677,0.939415
187424926599280,187424925263926,-0.023663256,-0.3427497,0.0061259614,0.9391087
187424931338082,187424930055186,-0.024173472,-0.343772,0.005947815,0.9387231
187424936170895,187424934846446,-0.02450614,-0.3448519,0.0057253838,0.9383197
187424940996363,187424939637706,-0.024705008,-0.34595177,0.0054695057,0.9379111
187424946211780,187424944428965,-0.02486836,-0.34703162,0.00521143,0.9375092
187424950586728,187424949220225,-0.024872106,-0.34804776,0.0048922095,0.937134
187424955423447,187424954011485,-0.024720442,-0.34912348,0.0045064096,0.93673974
187424960695686,187424958802745,-0.024496939,-0.35027573,0.004070452,0.9363174
187424964959176,187424963594004,-0.024117878,-0.35137048,0.0035303957,0.93591917
187424969780322,187424968385264,-0.023731977,-0.35228473,0.0029531757,0.93558735
187424975483915,187424973176524,-0.02338851,-0.35310665,0.0023574012,0.9352877
187424980014749,187424977967784,-0.023018893,-0.35402817,0.0017117434,0.9349499
187424984420738,187424982759043,-0.022546422,-0.35518363,9.786962E-4,0.9345241
187424989149488,187424987550303,-0.022160193,-0.35584626,2.1338824E-4,0.9342817
187424994284228,187424992341563,-0.021953061,-0.3562547,-5.310804E-4,0.9341308
187424999110009,187424997132823,-0.021794435,-0.3567678,-0.0012169599,0.933938
187425003350843,187425001924082,-0.021781247,-0.35728705,-0.0017924464,0.9337388
187425010554749,187425006715342,-0.021764066,-0.35780513,-0.0023125655,0.93353975
187425013789957,187425011506602,-0.021990055,-0.35814306,-0.0027016737,0.9334038
187425018222197,187425016297862,-0.02235435,-0.35829863,-0.0029805643,0.93333465
187425023093447,187425021089122,-0.022611776,-0.35860047,-0.0031954795,0.9332118
187425028986572,187425025880381,-0.022879155,-0.35914615,-0.0032829465,0.9329951
187425032837718,187425030671641,-0.023086786,-0.35976413,-0.0032786021,0.93275183
187425037323968,187425035462901,-0.023061546,-0.3606258,-0.0032337003,0.93241984
187425041784645,187425040254161,-0.022986624,-0.36159387,-0.0030916908,0.9320471
187425049175113,187425045045420,-0.02289156,-0.3626524,-0.0028734338,0.9316389
187425051668968,187425049836680,-0.022471229,-0.36401886,-0.0026782218,0.93111664
187425056510113,187425054627940,-0.02185738,-0.36558673,-0.0024939538,0.93051726
187425061350009,187425059419200,-0.021083802,-0.36713874,-0.0023592422,0.9299242
187425066121936,187425064210459,-0.02016321,-0.3687515,-0.0022951337,0.92930645
187425070811988,187425069001719,-0.019028358,-0.3705164,-0.0023257446,0.9286281
187425075687926,187425073792979,-0.0177781,-0.37225893,-0.002460876,0.9279554
187425080498655,187425078584239,-0.016504431,-0.3738981,-0.0026922724,0.92731905
187425085309801,187425083375499,-0.015207223,-0.37544274,-0.0030440646,0.9267158
187425089921780,187425088166758,-0.014030489,-0.37687907,-0.0034421661,0.9261498
187425094765270,187425092988536,-0.012998187,-0.37820596,-0.0038501625,0.9256222
187425099750999,187425097779795,-0.012150568,-0.3794097,-0.0042504384,0.92513925
187425104478342,187425102571055,-0.011611269,-0.3804078,-0.004578226,0.92473465
187425110140374,187425107362315,-0.011473519,-0.38130796,-0.0047795945,0.9243645
187425114409592,187425112153575,-0.011502656,-0.38217673,-0.0049611037,0.9240044
187425119741051,187425116944834,-0.0118069025,-0.38275316,-0.0051017688,0.9237611
187425124121676,187425121736094,-0.012195416,-0.38335165,-0.005189749,0.92350733
187425128480478,187425126527354,-0.012512698,-0.38407174,-0.005214561,0.92320377
187425133840634,187425131318614,-0.012584044,-0.385057,-0.005218817,0.92279226
187425138947145,187425136109874,-0.012533045,-0.3861558,-0.0051864986,0.92233384
187425144277197,187425140901133,-0.012362599,-0.38711163,-0.0051472993,0.92193556
187425148299332,187425145692393,-0.012032217,-0.3878768,-0.0051170997,0.9216185
187425153092665,187425150483653,-0.011543485,-0.3884416,-0.0050891414,0.92138696
187425158681936,187425155274913,-0.010917934,-0.38885316,-0.0050667766,0.92122114
187425163738707,187425160066172,-0.010177687,-0.38902202,-0.0050673755,0.9211583
187425166717509,187425164857432,-0.009169501,-0.3892634,-0.005101224,0.9210667
187425172372301,187425169648692,-0.00799324,-0.38959926,-0.005132402,0.9209355
187425178247978,187425174439952,-0.0066749956,-0.3900185,-0.0051914467,0.9207682
187425181628238,187425179231211,-0.0052860705,-0.39044753,-0.005289398,0.9205948
187425186198655,187425184022471,-0.0038617086,-0.3909938,-0.0054196566,0.92036927
