arrival_ts,event_ts,val_x,val_y,val_z
364370331108,364350232320,-1.3565063,3.0605164,8.386276
364370773556,364355206685,-1.3565063,3.0605164,8.386276
364371153661,364360181051,-1.3565063,3.0605164,8.386276
364371501056,364365155416,-1.3565063,3.0605164,8.386276
364380967723,364370129781,-1.3565063,3.0605164,8.386276
364384642619,364375104146,-1.3565063,3.0605164,8.386276
364385063817,364380078512,-0.5363312,3.4280853,8.393845
364389722202,364385052877,0.830307,4.105316,8.365021
364437453608,364390027242,1.056427,4.359421,8.113602
364439299129,364395001607,1.2316895,4.575821,7.697098
364440104598,364399975972,1.3678436,4.7691803,7.3191376
364440756108,364404950338,1.4115906,4.947876,6.970276
364441405119,364409924703,1.3816833,5.0677795,6.635025
364441948036,364414899068,1.2988434,5.1473846,6.3128815
364442585744,364419873433,1.1500549,5.203003,6.008911
364443149911,364424847799,0.9525757,5.1973267,5.834152
364443770379,364429822164,0.72927856,5.1754913,5.719742
364444352411,364434796529,0.48085022,5.1137238,5.6733704
364445024702,364439770894,0.23725891,5.0233154,5.7319336
364448084963,364444745260,0.088150024,4.8767242,5.842743
364470236421,364449719625,-0.09799194,4.763809,6.0161743
364470670015,364454693990,-0.24407959,4.6183777,6.263382
364471014911,364459668355,-0.30300903,4.5071106,6.5144196
364473960588,364464642720,-0.32279968,4.448349,6.737625
364474340067,364469617086,-0.32279968,4.448349,6.737625
364493462046,364474591451,-0.32279968,4.448349,6.737625
364493794911,364479565816,-0.32279968,4.448349,6.737625
364494256317,364484540181,-0.13502502,4.5041656,7.3618774
364494593973,364489514547,0.011886597,4.6052704,7.7676544
364497291213,364494488912,0.10862732,4.6902313,7.9753723
364501580379,364499463277,0.21722412,4.7282257,8.146988
364506319442,364504437642,0.2779541,4.796402,8.328888
364511781108,364509412008,0.29777527,4.8414154,8.44693
364516131265,364514386373,0.29933167,4.896744,8.53595
364520579598,364519360738,0.2344513,4.9144897,8.629852
364530412619,364524335103,0.13378906,4.919632,8.666702
364535073556,364529309469,0.061538696,4.9032593,8.739853
364539989338,364534283834,-0.026794434,4.906143,8.789352
364545541785,364539258199,-0.10517883,4.850662,8.834091
364549885848,364544232564,-0.2133789,4.7914886,8.854919
364554277983,364549206929,-0.31202698,4.751999,8.856079
364559317827,364554181295,-0.3991089,4.713257,8.871277
364563916733,364559155660,-0.49928284,4.6428833,8.880554
364568615640,364564130025,-0.60964966,4.60318,8.902634
364573544806,364569104390,-0.69062805,4.5831146,8.951263
364579400015,364574078756,-0.72514343,4.5754547,9.016541
364583429025,364579053121,-0.73965454,4.5660095,9.08757
364587861890,364584027486,-0.70054626,4.5491333,9.172028
364592637254,364589001851,-0.6569977,4.548523,9.270584
364597817879,364593976217,-0.599823,4.5970154,9.409637
364602520379,364598950582,-0.50787354,4.648224,9.598602
364606932202,364603924947,-0.40429688,4.7019043,9.825516
364612643504,364608899312,-0.3277893,4.760971,10.070099
364616789963,364613873678,-0.22367859,4.831024,10.331451
364621603660,364618848043,-0.07307434,4.9063416,10.604874
364626389858,364623822408,0.088394165,4.968277,10.864441
364631015692,364628796773,0.25097656,4.981949,11.114731
364635786421,364633771138,0.43832397,4.930832,11.343689
364640824390,364638745504,0.57037354,4.89093,11.526123
364646611317,364643719869,0.681015,4.802429,11.706467
364650503192,364648694234,0.69847107,4.703293,11.834045
364655316785,364653668599,0.60098267,4.606247,11.918472
364665295796,364658642965,0.41122437,4.4998016,11.914642
364669808192,364663617330,0.16825867,4.4048767,11.824921
364675034025,364668591695,-0.1083374,4.346695,11.681274
364679894338,364673566060,-0.32278442,4.2736053,11.527878
364689041629,364678540426,-0.47151184,4.2118835,11.341568
364689285848,364683514791,-0.5280609,4.1484833,11.149094
364693565327,364688489156,-0.5459137,4.074051,10.926529
364698329858,364693463521,-0.52885437,4.022873,10.687668
364703032879,364698437887,-0.46089172,3.9970398,10.444443
364708446525,364703412252,-0.3999176,4.0147095,10.231262
364714448296,364708386617,-0.34072876,4.082901,10.127075
364717809702,364713360982,-0.28112793,4.167343,10.17366
364722442202,364718335347,-0.16223145,4.2353363,10.3004
364727140015,364723309713,0.032928467,4.2297974,10.482864
364731756733,364728284078,0.22375488,4.136963,10.734558
364736589546,364733258443,0.3626709,3.9742737,11.049591
364741582983,364738232808,0.40318298,3.7647705,11.414169
364747347358,364743207174,0.32426453,3.5291443,11.742279
364751578140,364748181539,0.08062744,3.2906647,12.0086975
364756027723,364753155904,-0.24014282,3.0521698,12.204056
364761169962,364758130269,-0.6051483,2.8406677,12.310043
364765777931,364763104635,-0.98713684,2.611084,12.346664
364770501942,364768079000,-1.3162079,2.3864746,12.327408
364775145744,364773053365,-1.5888519,2.1912537,12.266861
364780869181,364778027730,-1.7985687,2.0173187,12.150436
364784856056,364783002095,-1.9908295,1.9086304,12.001572
364789464858,364787976461,-2.1308289,1.8184357,11.8033905
364799122046,364792950826,-2.1914825,1.7634888,11.605255
364804302150,364797925191,-2.1766663,1.755127,11.462265
364809125483,364802899556,-2.057022,1.7829895,11.347595
364813384702,364807873922,-1.8165741,1.8700256,11.315308
364818394442,364812848287,-1.4745636,1.9661407,11.345673
364823244962,364817822652,-1.0292969,2.0754547,11.417831
364828128817,364822797017,-0.6084137,2.1374664,11.459076
364832746785,364827771383,-0.27861023,2.176941,11.3945465
364838327462,364832745748,-0.0871582,2.1875916,11.1987
364843202879,364837720113,-0.041305542,2.1744385,10.888565
364847588921,364842694478,-0.15556335,2.1739044,10.470657
364852507879,364847668844,-0.39241028,2.164978,9.97168
364857428556,364852643209,-0.7024689,2.161911,9.490067
364862495535,364857617574,-1.0372925,2.14299,9.042145
364867084233,364862591939,-1.313034,2.08667,8.6375885
364871647410,364867566304,-1.499649,2.004776,8.319122
364876134546,364872540670,-1.6315918,1.9055328,8.028458
364881298296,364877515035,-1.7157745,1.8232422,7.7760315
364886477879,364882489400,-1.7663269,1.7799225,7.5585327
364889936837,364887463765,-1.7610931,1.7690582,7.399048
364894995379,364892438131,-1.6993103,1.7466278,7.2551575
364900220431,364897412496,-1.5619049,1.758728,7.1828766
364904214494,364902386861,-1.3594818,1.8135071,7.161133
364909131317,364907361226,-1.0811157,1.8944092,7.2234955
364913797150,364912335592,-0.8180542,2.0043945,7.287079
364918944598,364917309957,-0.50772095,2.1208649,7.4438934
364923396369,364922284322,-0.290802,2.2423248,7.56575
364933065640,364927258687,-0.056503296,2.327835,7.6670837
364938142671,364932233053,0.1109314,2.429428,7.7190247
364942749442,364937207418,0.24772644,2.4870605,7.6762695
364947594494,364942181783,0.32531738,2.567276,7.5742645
364952836837,364947156148,0.3134308,2.6098022,7.422638
364957087567,364952130513,0.24191284,2.679657,7.189392
364961852723,364957104879,0.114974976,2.7078094,6.9177094
364966806785,364962079244,-0.03514099,2.7436066,6.592163
364971381733,364967053609,-0.18862915,2.746292,6.231018
364976305223,364972027974,-0.30345154,2.742096,5.874817
364981058035,364977002340,-0.4012909,2.7318115,5.590744
364985813400,364981976705,-0.46228027,2.7353973,5.363312
364990772410,364986951070,-0.4477234,2.7770844,5.2106934
364995405067,364991925435,-0.37815857,2.816391,5.1560516
365000143400,364996899801,-0.2762146,2.85289,5.1875305
365005045639,365001874166,-0.12936401,2.942093,5.322754
365009855223,365006848531,0.03590393,3.0657349,5.5693665
365014897619,365011822896,0.21946716,3.189331,5.875885
365019275014,365016797262,0.40348816,3.2876434,6.235016
365024210587,365021771627,0.6242981,3.3313751,6.6262207
365029098556,365026745992,0.8144989,3.3616486,7.0302887
365033822931,365031720357,1.0163879,3.38443,7.4491425
365038685379,365036694722,1.1576691,3.3963165,7.8934174
365043398087,365041669088,1.273529,3.3979034,8.307571
365048212046,365046643453,1.3529358,3.3804626,8.684494
365052913660,365051617818,1.427475,3.3287964,9.06395
365057691942,365056592183,1.456955,3.2204742,9.33847
365067371942,365061566549,1.5448151,3.1123505,9.535507
365072310692,365066540914,1.6080475,2.9407806,9.694412
365076858296,365071515279,1.6032867,2.8109283,9.727188
365081844077,365076489644,1.5765991,2.6985168,9.774902
365086646473,365081464010,1.5571136,2.5854492,9.722748
365091266212,365086438375,1.5341644,2.4971619,9.657227
