arrival_ts,event_ts,val_x,val_y,val_z,val_w
364475186473,364471570211,0.0,0.0,0.0,1.0
364494923036,364476361470,0.07824627,0.17757416,0.68496567,0.70225847
364495201577,364481152730,0.08101577,0.17838863,0.68545043,0.7012644
364495449338,364485943990,0.08378716,0.17822899,0.68613595,0.70030826
364495744598,364490765767,0.086549275,0.17791836,0.6868733,0.69932777
364497575952,364495557027,0.08924682,0.17746754,0.68764824,0.6983411
364502676369,364500348287,0.09184168,0.17685936,0.688459,0.6973594
364507459286,364505139547,0.09430689,0.17623933,0.68926734,0.6963881
364512328296,364509930806,0.096596,0.17566068,0.6900539,0.695441
364516612202,364514722066,0.098733194,0.17518009,0.6908026,0.6945182
364521103035,364519513326,0.1006164,0.17482036,0.69149536,0.6936486
364525868504,364524304586,0.102252916,0.1746231,0.6921196,0.69283587
364530854077,364529126363,0.103669964,0.17449503,0.6926959,0.69208115
364535997879,364533917623,0.10491452,0.17448062,0.6932199,0.6913722
364540779806,364538708883,0.105955556,0.1745003,0.6937132,0.69071347
364547728817,364543500142,0.10677706,0.17459232,0.6941801,0.6900944
364550267358,364548291402,0.10742817,0.17476362,0.69463,0.68949693
364554951317,364553082662,0.10795143,0.17498711,0.6950711,0.68891376
364559094546,364557904439,0.10831344,0.17521226,0.6955215,0.68834484
364564738713,364562695699,0.108552925,0.17546536,0.69597244,0.68778676
364568948921,364567486959,0.10870458,0.17572466,0.69643813,0.6872249
364573858035,364572278219,0.10884858,0.17592634,0.6969433,0.6866382
364580593921,364577069478,0.10896783,0.17608117,0.6974903,0.6860239
364584440431,364581860738,0.10911396,0.17613004,0.6981043,0.6853632
364588566213,364586651998,0.10926809,0.176055,0.6987895,0.68465936
364593480015,364591443258,0.1094486,0.1758977,0.69954044,0.68390363
364598139963,364596265035,0.10967906,0.17565303,0.70036256,0.6830877
364603002983,364601056295,0.1099675,0.17526682,0.7012515,0.68222797
364607429650,364605847554,0.110299654,0.17475823,0.7022008,0.6813279
364613300692,364610638814,0.1106365,0.17417261,0.70319706,0.680395
364617102567,364615430074,0.11102485,0.17348844,0.70423967,0.6794275
364622945431,364620221334,0.11146079,0.172712,0.705322,0.6784305
364626752879,364625012594,0.11193405,0.17187002,0.7064265,0.6774165
364631323400,364629834371,0.112404555,0.17094815,0.7075455,0.6764032
364636298088,364634625631,0.11286189,0.16992547,0.70865655,0.6754209
364641475744,364639416890,0.1132809,0.16888525,0.7097342,0.67447954
364646314181,364644208150,0.11360814,0.16781245,0.7107813,0.673589
364651085796,364648999410,0.113779664,0.16680366,0.7117813,0.6727541
364655843765,364653790670,0.1137187,0.16594267,0.71273005,0.67197245
364660127098,364658581929,0.11339129,0.16529606,0.7136369,0.6712243
364666200692,364663373189,0.11281065,0.16490367,0.71451086,0.6704885
364671121629,364668194967,0.11202146,0.1647879,0.7153706,0.6697321
364675711838,364672986226,0.111123376,0.16484247,0.7162292,0.6689501
364680992306,364677777486,0.1102224,0.16501524,0.7171049,0.66811794
364690604442,364682568746,0.10941958,0.16522773,0.71801525,0.66721904
364690897358,364687360006,0.10876343,0.16544174,0.71895635,0.66625917
364695343765,364692151265,0.10829206,0.1656451,0.71992105,0.66524297
364698623296,364696973043,0.108045585,0.16580738,0.7209099,0.66417086
364703616369,364701794820,0.10801355,0.16592112,0.7219049,0.6630661
364708918660,364706586080,0.10818673,0.16595878,0.7228906,0.6619535
364713565327,364711377340,0.10850577,0.16588302,0.7238641,0.6608556
364718686681,364716168599,0.10892996,0.16564968,0.72482175,0.6597938
364722766629,364720959859,0.10941217,0.16517977,0.7257645,0.65879476
364727469338,364725751119,0.10987959,0.16443907,0.7266826,0.65788954
364732566056,364730542379,0.1102093,0.1634144,0.72756886,0.65710974
364737755796,364735364156,0.11029565,0.16216244,0.7284152,0.6564675
364742076004,364740155416,0.110008106,0.16077203,0.72920054,0.65598565
364748381317,364744946676,0.10928271,0.15936409,0.72992915,0.65564
364752138608,364749737935,0.10805686,0.15805703,0.7305954,0.65541744
364756774233,364754529195,0.10639702,0.1568892,0.73121434,0.65527934
364764494702,364759320455,0.104395024,0.15590924,0.7317918,0.6551906
364766555067,364764111715,0.102144636,0.15509252,0.7323459,0.6551201
364771128712,364768902974,0.099787705,0.15442553,0.73289156,0.6550306
364775801317,364773724752,0.09743233,0.15389374,0.7334522,0.6548828
364781469442,364778516012,0.09520341,0.15347923,0.73402596,0.65466505
364785544494,364783307271,0.09318328,0.15318123,0.7346197,0.6543595
364790370848,364788098531,0.091455795,0.15296662,0.73523223,0.6539653
364794774337,364792889791,0.09010422,0.1527853,0.7358675,0.6534806
364799790900,364797681051,0.08917241,0.1525892,0.7365297,0.65290797
364805016525,364802472310,0.08869953,0.15234034,0.73722947,0.6522404
