arrival_ts,event_ts,val_x,val_y,val_z
364474770640,364471570211,-0.19104004,-0.03173828,0.07495117
364496021942,364476544576,-0.20207214,-0.026443481,0.07763672
364496267306,364481518941,-0.4797516,0.10601807,0.14656067
364496489181,364486493306,-0.48397827,0.09461975,0.16481018
364497841265,364491467672,-0.4811859,0.090286255,0.18093872
364501895067,364496442037,-0.4763031,0.09901428,0.19081116
364506614858,364501416402,-0.4683838,0.11433411,0.19474792
364512084702,364506390767,-0.4563141,0.13447571,0.19125366
364516429806,364511365133,-0.4407196,0.15467834,0.18345642
364520901265,364516339498,-0.42044067,0.17541504,0.17100525
364525395327,364521313863,-0.39796448,0.19236755,0.15596008
364530689025,364526288228,-0.37391663,0.20263672,0.14115906
364535519390,364531262594,-0.35017395,0.20724487,0.12979126
364540541994,364536236959,-0.32789612,0.21040344,0.12298584
364546777775,364541211324,-0.30665588,0.21517944,0.12205505
364550111577,364546185689,-0.2871399,0.22015381,0.1273346
364554492827,364551160054,-0.2704773,0.22103882,0.1360321
364559452046,364556134420,-0.25738525,0.21511841,0.15090942
364564301265,364561108785,-0.2472229,0.20339966,0.16967773
364568829338,364566083150,-0.23814392,0.18360901,0.19389343
364573702931,364571057515,-0.23153687,0.1603241,0.22372437
364579825067,364576031881,-0.22679138,0.13685608,0.2576599
364583751213,364581006246,-0.2258606,0.1184082,0.29556274
364588216785,364585980611,-0.22744751,0.10391235,0.33424377
364593096890,364590954976,-0.23428345,0.09434509,0.37072754
364597992567,364595929342,-0.23843384,0.08892822,0.40441895
364602716213,364600903707,-0.24461365,0.07972717,0.4368286
364612948452,364605878072,-0.2521515,0.07270813,0.4636078
364616953400,364610852437,-0.2545929,0.07344055,0.48620605
364621919598,364615826803,-0.25509644,0.076934814,0.502655
364626587306,364620801168,-0.2529297,0.09210205,0.51049805
364631178660,364625775533,-0.24357605,0.112335205,0.5090637
364636128348,364630749898,-0.23100281,0.13613892,0.4978485
364641109129,364635724263,-0.21549988,0.1621399,0.47657776
364646756525,364640698629,-0.19950867,0.19026184,0.4472351
364650794338,364645672994,-0.18435669,0.22824097,0.416687
364655557515,364650647359,-0.16934204,0.28001404,0.38537598
364659902098,364655621724,-0.15681458,0.34432983,0.36064148
364665681733,364660596090,-0.14247131,0.4126892,0.34788513
364670750952,364665570455,-0.12554932,0.47276306,0.348526
364675379442,364670544820,-0.10751343,0.5092926,0.36428833
364680381213,364675519185,-0.08555603,0.51408386,0.39292908
364689570692,364680493551,-0.056793213,0.49147034,0.43203735
364689782150,364685467916,-0.022766113,0.44924927,0.47406006
364695151317,364690442281,0.0137786865,0.39294434,0.5133209
364698513817,364695416646,0.04751587,0.32901,0.5458374
364703332150,364700391012,0.07272339,0.26087952,0.5698242
364708663348,364705365377,0.080322266,0.18713379,0.58451843
364714842931,364710339742,0.072647095,0.11405945,0.5884247
364718286004,364715314107,0.043792725,0.04576111,0.58117676
364722604858,364720288472,-0.0034637451,-0.00831604,0.5595856
364727347671,364725262838,-0.06399536,-0.042678833,0.521225
364731974910,364730237203,-0.13586426,-0.055511475,0.47146606
364737417515,364735211568,-0.20954895,-0.031921387,0.4098053
364748035223,364740185933,-0.2830658,0.02746582,0.34091187
364751924546,364745160299,-0.34591675,0.1212616,0.2765808
364756402202,364750134664,-0.39434814,0.2272644,0.22219849
364764066942,364755109029,-0.42063904,0.32424927,0.186203
364766015640,364760083394,-0.421875,0.3968506,0.16921997
364770857775,364765057760,-0.4000702,0.43759155,0.1738739
364775473296,364770032125,-0.3514557,0.44883728,0.19715881
364781174494,364775006490,-0.2835846,0.43362427,0.2371521
364785201837,364779980855,-0.1987915,0.39216614,0.28588867
364789773973,364784955220,-0.103881836,0.32330322,0.34106445
364794369910,364789929586,-0.0021209717,0.22746277,0.3984375
364799415379,364794903951,0.09869385,0.109313965,0.45716858
364804654285,364799878316,0.19377136,-0.019485474,0.5163574
364809275275,364804852681,0.28126526,-0.1476593,0.5727997
364813505640,364809827047,0.35505676,-0.26023865,0.62075806
364818664546,364814801412,0.41305542,-0.33995056,0.6562042
364823667306,364819775777,0.45703125,-0.37069702,0.67477417
364828306369,364824750142,0.487854,-0.34239197,0.67674255
364832907358,364829724508,0.50427246,-0.25709534,0.6650238
364838506108,364834698873,0.5082092,-0.13130188,0.64346313
364843899754,364839673238,0.5005646,0.015289307,0.6162567
364847720848,364844647603,0.48353577,0.16470337,0.5911255
364852640119,364849621969,0.4564209,0.29301453,0.57411194
364857562723,364854596334,0.42669678,0.3895874,0.56684875
364862640223,364859570699,0.39855957,0.44831848,0.5738373
364867245535,364864545064,0.37583923,0.46766663,0.5896301
364871793192,364869519429,0.3524475,0.4565735,0.6121063
364881459754,364874493795,0.34152222,0.41490173,0.640625
364886633921,364879468160,0.33605957,0.35401917,0.67407227
364890146212,364884442525,0.33496094,0.27267456,0.70880127
364895197358,364889416890,0.3356781,0.18167114,0.7490692
364900420275,364894391256,0.33683777,0.0847168,0.7918701
364904360900,364899365621,0.33647156,-0.007522583,0.83576965
364909300171,364904339986,0.33085632,-0.09211731,0.877182
364913963973,364909314351,0.31915283,-0.15863037,0.91452026
364919082202,364914288717,0.30014038,-0.20140076,0.9419708
364923532775,364919263082,0.27772522,-0.21795654,0.9579773
364928213035,364924237447,0.2553711,-0.20109558,0.9612274
364933243192,364929211812,0.23432922,-0.15489197,0.9551544
364938453452,364934186178,0.21572876,-0.083999634,0.94026184
364942886525,364939160543,0.20077515,0.0036621094,0.9190979
364947726265,364944134908,0.19010925,0.09854126,0.89533997
364952929702,364949109273,0.18118286,0.19424438,0.87054443
364957270171,364954083638,0.17132568,0.28752136,0.84609985
364962095848,364959058004,0.16197205,0.36956787,0.8270111
364966994910,364964032369,0.15016174,0.43473816,0.815979
364971514129,364969006734,0.13374329,0.47705078,0.8130493
364976457931,364973981099,0.11177063,0.49046326,0.8170929
364981278035,364978955465,0.082901,0.4736328,0.8272095
364986097358,364983929830,0.049728394,0.4296112,0.8415375
364990929702,364988904195,0.01184082,0.36331177,0.8604431
364995545692,364993878560,-0.033447266,0.28193665,0.88342285
