arrival_ts,event_ts,val_x,val_y,val_z
364446039025,364390149312,-5.39093,-18.727112,-79.44641
364446590327,364409558492,-5.8807373,-19.233704,-78.96423
364447188713,364428754049,-6.439209,-18.914795,-79.23126
364451110744,364447827535,-6.2438965,-19.335938,-79.30603
364471405223,364467419820,-6.5979004,-19.100952,-78.79181
364496726838,364486493306,-6.590271,-18.800354,-78.62854
364507243296,364505688863,-6.19812,-18.719482,-78.56445
364526205067,364524884420,-5.0994873,-19.038391,-77.54364
364547266421,364544049459,-5.105591,-18.920898,-76.95007
364565487410,364563214498,-5.1742554,-18.943787,-77.22168
364584125223,364582410054,-6.150818,-18.721008,-77.91901
364602875119,364601605611,-5.496216,-18.38684,-76.87073
364622675900,364620801168,-6.315613,-18.984985,-76.27106
364641728348,364639996724,-7.0144653,-18.823242,-77.16675
364660303608,364659222799,-6.752014,-18.83545,-76.9043
364680751525,364678448873,-6.80542,-18.75763,-76.30463
364698854806,364697705465,-5.97229,-18.598938,-76.13373
364719617931,364717206197,-6.5216064,-19.210815,-76.474
364737598660,364736401754,-6.3049316,-19.189453,-75.51727
364758070692,364755597310,-6.552124,-18.920898,-75.52185
364776578869,364774762349,-5.770874,-18.876648,-74.783325
364795851212,364793957906,-5.8166504,-18.800354,-75.3891
364814385067,364813183980,-5.9768677,-19.100952,-74.98779
364834159858,364832318502,-5.7510376,-19.7052,-74.03259
364853110535,364851544576,-5.912781,-20.07904,-74.320984
364872062567,364870740133,-6.02417,-20.533752,-73.957825
364890858348,364889935689,-5.932617,-21.421814,-72.23358
364909781056,364909161763,-6.791687,-20.974731,-74.57428
364929059650,364928418355,-6.75354,-21.70105,-74.201965
364948386994,364947705465,-6.9000244,-22.167969,-73.65112
364967899598,364966870504,-7.449341,-22.393799,-73.92578
364986705744,364986127095,-7.397461,-22.781372,-73.94867
365005966994,365005353170,-6.794739,-23.28949,-73.76404
365025372827,365024548726,-7.5668335,-23.458862,-73.75183
365044706004,365043744283,-7.5317383,-23.332214,-73.90137
365063611577,365062970357,-8.097839,-23.233032,-74.98627
365082953869,365082196431,-8.80127,-23.226929,-74.66583
365102250952,365101422506,-8.66394,-23.721313,-74.22333
365121323400,365120648580,-8.929443,-23.706055,-74.531555
365140902619,365139874654,-9.117126,-23.869324,-74.46289
365159905692,365159161763,-9.101868,-24.305725,-74.34082
365179066369,365178326803,-9.182739,-24.16687,-74.11499
365199399546,365197583394,-9.394836,-24.310303,-74.36981
365217882254,365216778951,-8.94165,-24.20044,-74.12567
365237131369,365236005025,-8.320618,-24.066162,-74.21875
365256438191,365255261617,-8.564758,-23.33374,-74.765015
365275345171,365274487691,-8.180237,-22.245789,-74.58801
365294872983,365293713765,-7.3013306,-21.348572,-74.98169
365313824754,365312939840,-6.512451,-21.15326,-74.76349
365333136733,365332135396,-6.967163,-21.49353,-74.435425
365352364702,365351391988,-6.604004,-21.931458,-74.194336
365371503504,365370587545,-7.084656,-22.021484,-74.15924
365391037566,365389813619,-6.626892,-21.79718,-74.479675
365410657306,365409039693,-7.133484,-21.786499,-74.77417
365429577254,365428265767,-7.3394775,-21.513367,-74.22638
365448587827,365447491842,-7.4127197,-20.71991,-75.06561
365468042514,365466717916,-7.5439453,-20.23468,-74.76807
365487448035,365485943990,-7.511902,-20.065308,-74.96643
365506163139,365505200582,-7.9208374,-20.324707,-75.294495
365525387566,365524396138,-7.6828003,-20.167542,-74.02344
365544711993,365543622213,-7.598877,-20.230103,-74.85657
365563904389,365562909322,-7.650757,-20.188904,-74.90387
365582993243,365582135396,-7.3120117,-19.874573,-74.853516
365602273868,365601330953,-7.3150635,-19.91272,-74.24774
365621519285,365620526510,-7.218933,-19.56482,-74.18671
365641120275,365639783101,-7.142639,-19.389343,-75.0824
