arrival_ts,event_ts,val_x,val_y,val_z
1335941696945709,1335941681351852,0.58647156,5.714157,9.924866
1335941697690917,1335941686326217,0.58647156,5.714157,9.924866
1335941707195917,1335941691300583,0.58647156,5.714157,9.924866
1335941707592532,1335941696274948,0.58647156,5.714157,9.924866
1335941707928053,1335941701249313,0.58647156,5.714157,9.924866
1335941767414407,1335941706223678,0.58647156,5.714157,9.924866
1335941767807115,1335941711198044,0.0016784668,5.3961945,10.449219
1335941768133834,1335941716172409,-0.9390564,4.85495,11.172302
1335941768448990,1335941721146774,-1.0184479,4.7768707,10.882568
1335941768822636,1335941726121139,-1.1288605,4.7201233,10.559906
1335941769167480,1335941731095505,-1.1871185,4.7053833,10.299072
1335941769490813,1335941736069870,-1.1567535,4.6858215,10.105392
1335941769853157,1335941741044235,-1.0267639,4.6642456,9.989578
1335941770170136,1335941746018600,-0.8124542,4.6458893,10.0074005
1335941770486542,1335941750992966,-0.4850769,4.60701,10.118149
1335941770815709,1335941755967331,-0.12112427,4.606476,10.280334
1335941771139719,1335941760941696,0.22445679,4.547043,10.515244
1335941771469303,1335941765916061,0.48799133,4.5081024,10.75
1335941774378730,1335941770890426,0.6706238,4.479233,10.930267
1335941780088313,1335941775864792,0.72789,4.4704895,11.054398
1335941861805501,1335941780839157,0.6408844,4.435013,11.094803
1335941862464563,1335941785813522,0.4139099,4.397522,11.031494
1335941863109980,1335941790787887,0.09510803,4.36499,10.805893
1335941863803990,1335941795762253,-0.216568,4.3487244,10.462402
1335941864398834,1335941800736618,-0.45440674,4.290436,10.063644
1335941864987532,1335941805710983,-0.45440674,4.290436,10.063644
1335941865646334,1335941810685348,-0.45440674,4.290436,10.063644
1335941866222011,1335941815659714,-0.45440674,4.290436,10.063644
1335941866763521,1335941820634079,-1.026825,4.2583313,8.776184
1335941867171907,1335941825608444,-1.293747,4.284836,8.058594
1335941867643157,1335941830582809,-1.3566895,4.3345184,7.765625
1335941868080032,1335941835557174,-1.3043671,4.3986053,7.5684814
1335941868526959,1335941840531540,-1.163208,4.4205627,7.432266
1335941869194771,1335941845505905,-0.8794861,4.4735565,7.350128
1335941869851230,1335941850480270,-0.546402,4.4420776,7.324417
