arrival_ts,event_ts,val_x,val_y,val_z
1335969026699449,1335969024563496,-0.17485046,-0.28668213,-0.40046692
1335969035865178,1335969029537861,-0.19953918,-0.27586365,-0.42095947
1335969040991011,1335969034512226,-0.81303406,0.0036010742,-0.93774414
1335969046077469,1335969039486592,-0.710083,0.09458923,-0.94685364
1335969050934344,1335969044460957,-0.6016693,0.16653442,-0.92276
1335969055983199,1335969049435322,-0.50128174,0.23243713,-0.86953735
1335969060299969,1335969054409687,-0.4055786,0.2949524,-0.7972717
1335969064663719,1335969059384052,-0.32681274,0.34599304,-0.7146759
1335969069696011,1335969064358418,-0.27256775,0.3827362,-0.6342926
1335969079153303,1335969069332783,-0.22496033,0.40567017,-0.54914856
1335969079376115,1335969074307148,-0.18269348,0.41481018,-0.45628357
1335969084026792,1335969079281513,-0.14552307,0.41290283,-0.35481262
1335969090073459,1335969084255879,-0.106536865,0.4072113,-0.25064087
1335969093439969,1335969089230244,-0.0619812,0.39820862,-0.15148926
1335969097981272,1335969094204609,-0.016998291,0.380661,-0.0660553
1335969102578251,1335969099178974,0.01777649,0.34857178,-0.005355835
1335969108207261,1335969104153340,0.03994751,0.29188538,0.02545166
1335969112365021,1335969109127705,0.04534912,0.20521545,0.028015137
1335969116954865,1335969114102070,0.030136108,0.09710693,0.0073242188
1335969122667157,1335969119076435,-0.0041503906,-0.016418457,-0.030075073
1335969126512574,1335969124050801,-0.055023193,-0.12310791,-0.07647705
1335969131890021,1335969129025166,-0.11834717,-0.21228027,-0.13186646
1335969136386740,1335969133999531,-0.1867981,-0.27053833,-0.1895752
1335969141655959,1335969138973896,-0.24647522,-0.2982788,-0.24465942
1335969145652157,1335969143948261,-0.2904663,-0.2936859,-0.2931671
1335969150540751,1335969148922627,-0.3174591,-0.26763916,-0.33444214
1335969156369396,1335969153896992,-0.33145142,-0.2233429,-0.37597656
1335969164942990,1335969158871357,-0.33119202,-0.1616211,-0.41783142
1335969170813980,1335969163845722,-0.32424927,-0.087646484,-0.46018982
1335969175596792,1335969168820088,-0.30366516,-0.004623413,-0.4985962
1335969180140230,1335969173794453,-0.27874756,0.07929993,-0.5245819
1335969184789969,1335969178768818,-0.24668884,0.17617798,-0.533371
1335969190084605,1335969183743183,-0.20747375,0.28175354,-0.52319336
1335969193810334,1335969188717549,-0.16040039,0.3799286,-0.49057007
1335969198605126,1335969193691914,-0.11315918,0.46012878,-0.44282532
1335969203331480,1335969198666279,-0.06744385,0.5084839,-0.38174438
1335969208087626,1335969203640644,-0.023986816,0.50834656,-0.31063843
1335969212864709,1335969208615009,0.014892578,0.45663452,-0.23847961
1335969217607938,1335969213589375,0.048110962,0.36183167,-0.16783142
1335969222467834,1335969218563740,0.07841492,0.2355957,-0.10206604
1335969227229917,1335969223538105,0.10331726,0.09339905,-0.047836304
1335969232085334,1335969228512470,0.12132263,-0.051467896,-0.012649536
1335969237121688,1335969233486836,0.13269043,-0.18954468,-0.0012359619
1335969241465230,1335969238461201,0.13381958,-0.31103516,-0.01889038
1335969246450855,1335969243435566,0.12486267,-0.41082764,-0.06877136
1335969251415438,1335969248409931,0.11323547,-0.4872284,-0.1458435
1335969256062365,1335969253384297,0.10005188,-0.5304413,-0.23970032
1335969260719917,1335969258358662,0.089401245,-0.53944397,-0.33691406
1335969278061480,1335969263333027,0.08380127,-0.51771545,-0.42713928
1335969278236688,1335969268307392,0.08241272,-0.4748993,-0.49594116
1335969278380646,1335969273281758,0.08178711,-0.4227295,-0.54026794
1335969281626167,1335969278256123,0.06945801,-0.3600006,-0.55859375
1335969297886480,1335969283230488,0.043914795,-0.29710388,-0.5546875
1335969298022001,1335969288204853,-8.087158E-4,-0.23310852,-0.53149414
1335969299634240,1335969293179218,-0.06686401,-0.1791687,-0.49409485
1335969304511271,1335969298153584,-0.14720154,-0.12950134,-0.45065308
1335969325318563,1335969303127949,-0.2349701,-0.08615112,-0.40205383
1335969325485855,1335969308102314,-0.33140564,-0.04008484,-0.34953308
1335969325593771,1335969313076679,-0.43234253,0.008743286,-0.29626465
1335969325711480,1335969318051045,-0.53292847,0.04524231,-0.247818
1335969327987261,1335969323025410,-0.62783813,0.067276,-0.20748901
1335969333128146,1335969327999775,-0.71214294,0.07589722,-0.17285156
1335969338016792,1335969332974140,-0.7799835,0.07637024,-0.14149475
1335969351113771,1335969337948506,-0.82502747,0.076431274,-0.11343384
1335969351207678,1335969342922871,-0.8479309,0.084121704,-0.08743286
1335969352297157,1335969347897236,-0.85946655,0.10183716,-0.061157227
1335969358095594,1335969352871601,-0.86187744,0.11659241,-0.034225464
1335969362514501,1335969357845967,-0.8546295,0.117614746,-0.006729126
1335969366404917,1335969362820332,-0.84117126,0.10092163,0.022766113
1335969372674136,1335969367794697,-0.82110596,0.07096863,0.05670166
1335969376171740,1335969372769062,-0.7952118,0.034561157,0.08979797
1335969380650855,1335969377743427,-0.76286316,-0.004928589,0.12088013
1335969385818459,1335969382717793,-0.7194061,-0.04017639,0.15066528
1335969390764292,1335969387692158,-0.6664276,-0.06863403,0.17668152
1335969394989136,1335969392666523,-0.60679626,-0.087127686,0.19754028
1335969400158146,1335969397640888,-0.54141235,-0.09307861,0.21270752
1335969404707730,1335969402615254,-0.4737854,-0.08848572,0.22200012
1335969409866688,1335969407589619,-0.40322876,-0.07727051,0.22485352
1335969414477834,1335969412563984,-0.3370819,-0.06137085,0.2194519
1335969419207834,1335969417538349,-0.27989197,-0.03904724,0.20552063
1335969424786636,1335969422512715,-0.2355957,-0.011962891,0.17939758
1335969433763563,1335969427487080,-0.20092773,0.013793945,0.14167786
1335969438451428,1335969432461445,-0.17497253,0.03227234,0.09220886
1335969443614709,1335969437435810,-0.14945984,0.05180359,0.04333496
1335969448738928,1335969442410176,-0.12301636,0.07261658,3.0517578E-4
1335969452925073,1335969447384541,-0.09753418,0.11026001,-0.03590393
1335969458657573,1335969452358906,-0.07086182,0.15878296,-0.05833435
1335969463031063,1335969457333271,-0.04295349,0.2111206,-0.068603516
1335969467623198,1335969462307636,-0.02017212,0.263031,-0.06414795
1335969472649761,1335969467282002,-0.002822876,0.30497742,-0.047225952
1335969476852782,1335969472256367,0.007827759,0.3274536,-0.019714355
1335969482033928,1335969477230732,0.01008606,0.3316803,0.019897461
1335969486458615,1335969482205097,0.0014648438,0.31436157,0.07092285
1335969492871636,1335969487179463,-0.014816284,0.27694702,0.12913513
1335969496244969,1335969492153828,-0.04084778,0.22140503,0.18939209
1335969500592261,1335969497128193,-0.07696533,0.15011597,0.24519348
1335969505799292,1335969502102558,-0.1239624,0.06916809,0.29244995
1335969511018980,1335969507076924,-0.18283081,-0.013916016,0.32647705
1335969516411376,1335969512051289,-0.24822998,-0.087631226,0.34033203
1335969521265855,1335969517025654,-0.31747437,-0.13630676,0.3358612
1335969528722365,1335969522000019,-0.39060974,-0.1469574,0.31451416
1335969530168928,1335969526974384,-0.455719,-0.12097168,0.2765503
1335969535250542,1335969531948750,-0.5048218,-0.07215881,0.2291565
1335969540606271,1335969536923115,-0.53105164,0.0030670166,0.17980957
1335969543898146,1335969541897480,-0.53074646,0.11534119,0.13363647
1335969548361323,1335969546871845,-0.5029297,0.26983643,0.094833374
1335969553849969,1335969551846211,-0.45463562,0.45222473,0.06213379
1335969563101896,1335969556820576,-0.3877716,0.6300812,0.040390015
1335969567632313,1335969561794941,-0.3144989,0.7655945,0.027069092
1335969572881584,1335969566769306,-0.23500061,0.8424225,0.027053833
1335969577812834,1335969571743672,-0.1602478,0.85295105,0.04185486
1335969582509500,1335969576718037,-0.08982849,0.80822754,0.07052612
1335969587262313,1335969581692402,-0.035095215,0.72395325,0.11228943
1335969595048563,1335969586666767,0.008163452,0.60720825,0.1627655
1335969597196219,1335969591641133,0.03302002,0.46800232,0.21768188
1335969602422365,1335969596615498,0.045700073,0.32162476,0.275589
1335969607227521,1335969601589863,0.051589966,0.1828003,0.33221436
1335969611903875,1335969606564228,0.051193237,0.06767273,0.3807373
1335969616520594,1335969611538593,0.04801941,-0.012741089,0.41430664
1335969621141948,1335969616512959,0.04824829,-0.06097412,0.43092346
1335969626402469,1335969621487324,0.055130005,-0.08387756,0.42755127
1335969630290073,1335969626461689,0.06628418,-0.08805847,0.40185547
1335969635189448,1335969631436054,0.08312988,-0.07888794,0.36076355
1335969640006688,1335969636410420,0.10977173,-0.054214478,0.30773926
1335969644844761,1335969641384785,0.14323425,-0.011795044,0.24446106
1335969650071584,1335969646359150,0.17727661,0.045440674,0.17829895
1335969654454032,1335969651333515,0.20733643,0.10696411,0.112350464
1335969660299240,1335969656307881,0.22840881,0.15727234,0.048721313
1335969664378980,1335969661282246,0.22964478,0.18936157,-0.0032806396
1335969669313980,1335969666256611,0.20631409,0.20133972,-0.042373657
1335969673943615,1335969671230976,0.15827942,0.19407654,-0.06506348
1335969678687625,1335969676205342,0.088378906,0.1668396,-0.07196045
1335969683570959,1335969681179707,0.0010986328,0.11633301,-0.05860901
1335969688348042,1335969686154072,-0.09968567,0.054092407,-0.03262329
1335969698089344,1335969691128437,-0.20478821,-0.0084991455,0.0072631836
1335969702972938,1335969696102802,-0.304245,-0.05960083,0.056488037
1335969707946584,1335969701077168,-0.38816833,-0.08164978,0.11224365
1335969713021480,1335969706051533,-0.44610596,-0.073776245,0.16700745
1335969717787000,1335969711025898,-0.48005676,-0.039749146,0.21890259
1335969723143355,1335969716000263,-0.48809814,0.011764526,0.2689972
1335969727368771,1335969720974629,-0.46896362,0.074279785,0.31365967
1335969731985542,1335969725948994,-0.42251587,0.13650513,0.3575592
1335969736675125,1335969730923359,-0.34925842,0.19212341,0.40063477
1335969742048146,1335969735897724,-0.24946594,0.23788452,0.43823242
1335969746825803,1335969740872090,-0.13258362,0.2700653,0.47181702
1335969751279657,1335969745846455,-0.008056641,0.28553772,0.49961853
1335969755829188,1335969750820820,0.11885071,0.28128052,0.5211334
1335969761238250,1335969755795185,0.23883057,0.25201416,0.5370331
1335969765460907,1335969760769551,0.34298706,0.19606018,0.54330444
1335969769738407,1335969765743916,0.42622375,0.11154175,0.53544617
1335969774926271,1335969770718281,0.4830017,0.0040740967,0.51690674
1335969779179813,1335969775692646,0.5095825,-0.11627197,0.48980713
1335969783988198,1335969780667011,0.5067444,-0.24243164,0.45687866
1335969789799865,1335969785641377,0.4781494,-0.36587524,0.41905212
1335969794146323,1335969790615742,0.4280243,-0.4721222,0.38067627
1335969798451063,1335969795590107,0.3624878,-0.5452881,0.34213257
1335969804226480,1335969800564472,0.28570557,-0.5795593,0.30914307
1335969808111532,1335969805538838,0.20057678,-0.5743866,0.27418518
1335969812914657,1335969810513203,0.107543945,-0.5410309,0.2392273
1335969817797365,1335969815487568,0.013687134,-0.4954834,0.20318604
1335969822522052,1335969820461933,-0.07771301,-0.44429016,0.16824341
1335969832583302,1335969825436299,-0.16238403,-0.3809967,0.13618469
1335969837400177,1335969830410664,-0.23756409,-0.30342102,0.1124115
1335969841456948,1335969835385029,-0.2961731,-0.2170105,0.10066223
1335969846239084,1335969840359394,-0.33868408,-0.13545227,0.09793091
1335969851140125,1335969845333759,-0.36816406,-0.061264038,0.10296631
1335969856117157,1335969850308125,-0.38723755,9.1552734E-5,0.11387634
1335969861077625,1335969855282490,-0.39245605,0.04272461,0.12513733
1335969865741740,1335969860256855,-0.38945007,0.06594849,0.13427734
1335969870934188,1335969865231220,-0.3800354,0.065704346,0.13749695
1335969876383198,1335969870205586,-0.36062622,0.045440674,0.13502502
1335969880818927,1335969875179951,-0.33462524,0.01423645,0.12628174
1335969885450490,1335969880154316,-0.30288696,-0.025527954,0.112960815
1335969891838094,1335969885128681,-0.26576233,-0.075286865,0.095214844
1335969895507573,1335969890103047,-0.22465515,-0.12968445,0.07022095
1335969899746896,1335969895077412,-0.18244934,-0.18309021,0.03918457
1335969905240438,1335969900051777,-0.14143372,-0.22642517,0.003479004
1335969910450021,1335969905026142,-0.10342407,-0.25061035,-0.03213501
1335969914737730,1335969910000508,-0.069107056,-0.2561493,-0.06619263
1335969919055021,1335969914974873,-0.037002563,-0.24438477,-0.09631348
1335969923869032,1335969919949238,-0.008956909,-0.21807861,-0.1179657
1335969929227834,1335969924923603,0.014297485,-0.1781311,-0.13265991
1335969934088250,1335969929897968,0.038894653,-0.123672485,-0.13786316
1335969938647000,1335969934872334,0.063705444,-0.055511475,-0.13471985
1335969942439813,1335969939846699,0.083496094,0.02420044,-0.12095642
1335969947764448,1335969944821064,0.10710144,0.101379395,-0.097732544
1335969952341375,1335969949795429,0.12524414,0.17573547,-0.06411743
1335969961671063,1335969954769795,0.13987732,0.24238586,-0.02053833
1335969966861167,1335969959744160,0.15187073,0.29811096,0.027877808
1335969971410594,1335969964718525,0.16201782,0.33816528,0.08029175
1335969976195490,1335969969692890,0.16508484,0.35717773,0.13348389
1335969980879605,1335969974667256,0.16119385,0.34898376,0.18093872
1335969986155490,1335969979641621,0.14918518,0.32089233,0.22662354
1335969991699813,1335969984615986,0.13356018,0.277771,0.26490784
1335969996092000,1335969989590351,0.11454773,0.22111511,0.29370117
1335970000651427,1335969994564717,0.09649658,0.15968323,0.312912
1335970005736219,1335969999539082,0.07536316,0.094573975,0.32180786
1335970010237104,1335970004513447,0.052993774,0.024810791,0.3215332
1335970015169136,1335970009487812,0.031936646,-0.044692993,0.31158447
1335970019746427,1335970014462177,0.011642456,-0.11325073,0.29110718
1335970024524813,1335970019436543,-0.009552002,-0.17837524,0.26333618
1335970028545854,1335970024410908,-0.03173828,-0.23399353,0.23028564
1335970034968979,1335970029385273,-0.053237915,-0.27540588,0.19612122
1335970039413198,1335970034359638,-0.07557678,-0.29864502,0.1592865
1335970043091584,1335970039334004,-0.09938049,-0.30047607,0.12556458
1335970047861375,1335970044308369,-0.12597656,-0.28207397,0.0967865
1335970053294292,1335970049282734,-0.1543274,-0.2467804,0.069747925
1335970057538094,1335970054257099,-0.18702698,-0.20172119,0.04496765
1335970062725334,1335970059231465,-0.22079468,-0.15383911,0.021347046
1335970067588771,1335970064205830,-0.25083923,-0.10614014,0.0034942627
1335970071967677,1335970069180195,-0.2768097,-0.048446655,-0.0060577393
1335970076991844,1335970074154560,-0.2993927,0.02230835,-0.009857178
1335970081520282,1335970079128926,-0.31407166,0.1015625,-0.00491333
1335970086774084,1335970084103291,-0.32138062,0.1856842,0.0104522705
1335970096206844,1335970089077656,-0.3150177,0.254776,0.031906128
1335970100748146,1335970094052021,-0.29530334,0.30046082,0.059280396
1335970105619084,1335970099026386,-0.2631836,0.32292175,0.0879364
1335970110238667,1335970104000752,-0.21955872,0.3267975,0.11091614
1335970115010802,1335970108975117,-0.16629028,0.31192017,0.12835693
1335970119701167,1335970113949482,-0.10183716,0.28153992,0.13253784
1335970124951219,1335970118923847,-0.029891968,0.22805786,0.12626648
1335970129548719,1335970123898213,0.045639038,0.1506958,0.11071777
1335970134640177,1335970128872578,0.123809814,0.05682373,0.084991455
1335970139361219,1335970133846943,0.20195007,-0.042251587,0.057739258
1335970143697729,1335970138821308,0.27635193,-0.1353302,0.031066895
1335970148495750,1335970143795674,0.34472656,-0.21437073,0.004333496
1335970153855125,1335970148770039,0.39898682,-0.2670288,-0.017868042
1335970158724344,1335970153744404,0.4359436,-0.2926178,-0.035949707
1335970163169604,1335970158718769,0.45350647,-0.29522705,-0.053024292
1335970168240646,1335970163693134,0.45236206,-0.28359985,-0.06593323
1335970173007729,1335970168667500,0.43128967,-0.263031,-0.07608032
1335970179061479,1335970173641865,0.39442444,-0.22598267,-0.08622742
1335970182473094,1335970178616230,0.3412323,-0.1743164,-0.09210205
1335970186737313,1335970183590595,0.27638245,-0.11868286,-0.095458984
1335970191772209,1335970188564961,0.199646,-0.0695343,-0.092926025
1335970196522052,1335970193539326,0.113708496,-0.029769897,-0.08357239
1335970201577990,1335970198513691,0.024612427,-0.0010681152,-0.067108154
1335970206695021,1335970203488056,-0.068573,0.012588501,-0.045028687
1335970211688823,1335970208462422,-0.1630249,0.010467529,-0.016540527
1335970216616375,1335970213436787,-0.25338745,-0.0050964355,0.009094238
1335970220952156,1335970218411152,-0.33917236,-0.031341553,0.023468018
1335970229897834,1335970223385517,-0.4173584,-0.06619263,0.025405884
1335970235046896,1335970228359883,-0.48233032,-0.09915161,0.010513306
1335970239428094,1335970233334248,-0.53308105,-0.12213135,-0.017654419
1335970243799969,1335970238308613,-0.5660553,-0.12858582,-0.059326172
1335970248752729,1335970243282978,-0.58200073,-0.117630005,-0.10783386
1335970253567156,1335970248257343,-0.5840759,-0.08981323,-0.15913391
1335970258171584,1335970253231709,-0.5719757,-0.05809021,-0.2074585
1335970263130177,1335970258206074,-0.5454712,-0.028915405,-0.24455261
1335970267687625,1335970263180439,-0.503006,-0.0043182373,-0.26971436
1335970272642052,1335970268154804,-0.44610596,0.0181427,-0.27929688
1335970277401323,1335970273129170,-0.37670898,0.04374695,-0.27293396
1335970282381792,1335970278103535,-0.2939911,0.073013306,-0.25361633
1335970287310177,1335970283077900,-0.19932556,0.098464966,-0.22415161
1335970292778563,1335970288052265,-0.09371948,0.10983276,-0.18608093
1335970297806740,1335970293026631,0.017028809,0.10205078,-0.14396667
1335970302204969,1335970298000996,0.13505554,0.06878662,-0.10241699
1335970307029031,1335970302975361,0.25898743,0.016052246,-0.059127808
1335970312412000,1335970307949726,0.38311768,-0.0440979,-0.012069702
1335970316836219,1335970312924092,0.50419617,-0.106918335,0.03526306
1335970321710073,1335970317898457,0.6208801,-0.17216492,0.08174133
1335970325992365,1335970322872822,0.7229004,-0.23667908,0.122299194
1335970331196896,1335970327847187,0.79948425,-0.3017273,0.14794922
1335970335633771,1335970332821552,0.8447876,-0.36495972,0.15490723
1335970340962677,1335970337795918,0.85731506,-0.4145813,0.1444397
1335970345279031,1335970342770283,0.83810425,-0.44499207,0.11116028
1335970349798875,1335970347744648,0.781723,-0.45326233,0.061080933
1335970359178250,1335970352719013,0.68940735,-0.44351196,-0.0020446777
1335970364269084,1335970357693379,0.5713196,-0.412735,-0.0789032
1335970369403250,1335970362667744,0.43521118,-0.3595276,-0.15861511
1335970374481740,1335970367642109,0.2881012,-0.29185486,-0.2353363
1335970378483354,1335970372616474,0.14700317,-0.21974182,-0.30456543
1335970383543771,1335970377590840,0.015289307,-0.14041138,-0.35603333
1335970388320281,1335970382565205,-0.09388733,-0.05671692,-0.38383484
1335970394003459,1335970387539570,-0.1774292,0.018692017,-0.38946533
1335970397957729,1335970392513935,-0.23512268,0.07861328,-0.37753296
1335970402444604,1335970397488301,-0.26733398,0.1235199,-0.34794617
1335970407273823,1335970402462666,-0.2743683,0.15635681,-0.30297852
1335970412415646,1335970407437031,-0.2559967,0.18069458,-0.2504425
1335970416535177,1335970412411396,-0.21603394,0.19987488,-0.19639587
1335970421349865,1335970417385761,-0.15704346,0.21234131,-0.14678955
1335970425733511,1335970422360127,-0.08685303,0.22085571,-0.10636902
1335970431097208,1335970427334492,-0.009429932,0.22468567,-0.07533264
1335970435818615,1335970432308857,0.069992065,0.22447205,-0.05491638
1335970440389448,1335970437283222,0.14385986,0.21485901,-0.04724121
1335970446319136,1335970442257588,0.2090149,0.18891907,-0.05329895
1335970450481063,1335970447231953,0.26539612,0.14700317,-0.06718445
1335970456135594,1335970452206318,0.31394958,0.097213745,-0.084198
1335970461495958,1335970457180683,0.3540039,0.045440674,-0.1058197
1335970464831271,1335970462155049,0.38391113,6.1035156E-5,-0.12712097
1335970469844865,1335970467129414,0.40115356,-0.04156494,-0.1464386
1335970474422625,1335970472103779,0.4063568,-0.07556152,-0.1638031
1335970479135333,1335970477078144,0.40437317,-0.1056366,-0.17630005
1335970483882417,1335970482052509,0.40063477,-0.1282196,-0.17929077
1335970494515438,1335970487026875,0.39179993,-0.12919617,-0.18232727
1335970498960281,1335970492001240,0.38323975,-0.107040405,-0.1802063
1335970503442573,1335970496975605,0.37948608,-0.06539917,-0.17424011
1335970508261896,1335970501949970,0.37683105,-0.013580322,-0.16600037
1335970513170021,1335970506924336,0.37756348,0.041000366,-0.15769958
1335970517835073,1335970511898701,0.37806702,0.09336853,-0.1494751
1335970522767521,1335970516873066,0.37522888,0.13812256,-0.14375305
1335970527537261,1335970521847431,0.37019348,0.16667175,-0.13699341
1335970532045021,1335970526821797,0.3605652,0.18696594,-0.12867737
1335970536976896,1335970531796162,0.34680176,0.20523071,-0.12298584
1335970541986531,1335970536770527,0.32955933,0.2183075,-0.118499756
1335970546350750,1335970541744892,0.30752563,0.22776794,-0.11781311
1335970552021948,1335970546719258,0.2789917,0.23077393,-0.12030029
1335970556865750,1335970551693623,0.24726868,0.22201538,-0.12626648
1335970560910906,1335970556667988,0.21629333,0.1985321,-0.13311768
1335970567020229,1335970561642353,0.1874237,0.16400146,-0.1388855
1335970572119865,1335970566616718,0.16091919,0.12582397,-0.1429596
1335970576376271,1335970571591084,0.13650513,0.0899353,-0.14549255
1335970581278302,1335970576565449,0.11515808,0.060775757,-0.14804077
1335970586179292,1335970581539814,0.0953064,0.042648315,-0.1519165
1335970591053719,1335970586514179,0.082717896,0.02947998,-0.15307617
1335970594503563,1335970591488545,0.075042725,0.01876831,-0.1535492
1335970599499344,1335970596462910,0.07376099,0.008102417,-0.15263367
1335970604063875,1335970601437275,0.08079529,-0.004837036,-0.14541626
1335970609211740,1335970606411640,0.09346008,-0.012466431,-0.13778687
1335970614005021,1335970611386006,0.107940674,-0.013626099,-0.13075256
1335970618342521,1335970616360371,0.118896484,-0.009384155,-0.1219635
1335970627720958,1335970621334736,0.13075256,-0.0068359375,-0.11152649
1335970632980854,1335970626309101,0.13645935,-0.004470825,-0.09156799
1335970637593094,1335970631283467,0.14196777,-0.003753662,-0.06707764
1335970642355594,1335970636257832,0.14559937,0.005004883,-0.03881836
1335970647222000,1335970641232197,0.14746094,0.025802612,-0.008270264
1335970652200854,1335970646206562,0.14768982,0.05303955,0.021316528
1335970657131635,1335970651180927,0.1541748,0.08872986,0.044937134
1335970661718250,1335970656155293,0.16485596,0.14074707,0.06454468
1335970666970646,1335970661129658,0.1796112,0.20429993,0.076187134
1335970671744396,1335970666104023,0.19334412,0.26538086,0.08262634
1335970675847104,1335970671078388,0.20541382,0.3114624,0.08381653
1335970680511844,1335970676052754,0.21310425,0.33000183,0.08055115
1335970685299500,1335970681027119,0.21606445,0.31576538,0.07575989
1335970690273198,1335970686001484,0.21446228,0.27319336,0.07324219
1335970695225490,1335970690975849,0.20899963,0.2091217,0.074661255
1335970700567104,1335970695950215,0.2015686,0.13342285,0.082214355
1335970705109031,1335970700924580,0.19604492,0.052444458,0.09611511
1335970710086375,1335970705898945,0.19346619,-0.026687622,0.113204956
1335970714300958,1335970710873310,0.1959076,-0.098526,0.1326294
1335970719396635,1335970715847676,0.20535278,-0.154068,0.14833069
1335970723895438,1335970720822041,0.21725464,-0.19267273,0.15750122
1335970728768146,1335970725796406,0.23129272,-0.21600342,0.15707397
1335970733605229,1335970730770771,0.24850464,-0.21687317,0.14508057
1335970738266792,1335970735745136,0.26461792,-0.1884613,0.12893677
1335970743041167,1335970740719502,0.27876282,-0.1235199,0.10272217
1335970747736167,1335970745693867,0.29093933,-0.030029297,0.07662964
1335970757691583,1335970750668232,0.2979126,0.09616089,0.04321289
1335970762751010,1335970755642597,0.29353333,0.28067017,0.009384155
1335970767513927,1335970760616963,0.26330566,0.42510986,-0.027893066
1335970772718510,1335970765591328,0.20599365,0.39186096,-0.055343628
1335970777122677,1335970770565693,0.12532043,0.19677734,-0.070510864
1335970781514813,1335970775540058,0.014831543,-0.015457153,-0.07987976
1335970786527000,1335970780514424,-0.11820984,-0.15948486,-0.07577515
1335970791286740,1335970785488789,-0.2606964,-0.25239563,-0.05130005
1335970795482990,1335970790463154,-0.39857483,-0.31973267,-0.01210022
1335970800256948,1335970795437519,-0.5259857,-0.3570404,0.036132812
1335970806041531,1335970800411884,-0.63453674,-0.36024475,0.08955383
1335970811408823,1335970805386250,-0.72109985,-0.3278656,0.14407349
1335970814607833,1335970810360615,-0.7865448,-0.27600098,0.19769287
1335970819211063,1335970815334980,-0.8280792,-0.21177673,0.25086975
1335970824350958,1335970820309345,-0.842865,-0.13090515,0.302063
1335970828494500,1335970825283711,-0.8268738,-0.033203125,0.349823
1335970833853667,1335970830258076,-0.78338623,0.07635498,0.39411926
1335970838206427,1335970835232441,-0.7104645,0.18240356,0.4308014
1335970843376063,1335970840206806,-0.6042328,0.2701416,0.4519043
1335970848202885,1335970845181172,-0.46977234,0.33177185,0.45570374
1335970853128823,1335970850155537,-0.31472778,0.35865784,0.43914795
1335970857545802,1335970855129902,-0.14567566,0.3466034,0.40431213
1335970862988615,1335970860104267,0.037399292,0.29406738,0.36154175
1335970867501583,1335970865078633,0.22375488,0.20503235,0.32258606
1335970872235854,1335970870052998,0.40641785,0.071258545,0.30297852
1335970877458771,1335970875027363,0.5700073,-0.11143494,0.3048706
1335970887313875,1335970880001728,0.69699097,-0.32608032,0.3254547
1335970891901427,1335970884976093,0.7735748,-0.56230164,0.35116577
1335970908313146,1335970889950459,0.78993225,-0.79992676,0.36491394
1335970908384292,1335970894924824,0.7457123,-1.0203094,0.36286926
1335970908452000,1335970899899189,0.653595,-1.2071686,0.3448944
1335970914338979,1335970904873554,0.5159912,-1.3487701,0.31045532
