arrival_ts,event_ts,val_x,val_y,val_z
1337080713995639,1337080667836500,-0.57644653,5.9869385,8.687775
1337080714950066,1337080672810865,-0.57644653,5.9869385,8.687775
1337080715290275,1337080677785231,-0.57644653,5.9869385,8.687775
1337080715628712,1337080682759596,-0.57644653,5.9869385,8.687775
1337080715999025,1337080687733961,-0.57644653,5.9869385,8.687775
1337080716340900,1337080692708326,-0.57644653,5.9869385,8.687775
1337080716671837,1337080697682692,-0.38586426,5.947891,9.373901
1337080716991993,1337080702657057,-0.04814148,5.8394623,10.542526
1337080717423452,1337080707631422,0.024871826,5.7307434,10.711929
1337080717741368,1337080712605787,0.07455444,5.6084137,10.829742
1337080722155639,1337080717580152,0.090545654,5.460449,10.948776
1337080737799285,1337080722554518,0.0021362305,5.3158417,11.049179
1337080738227618,1337080727528883,-0.18435669,5.1146393,11.138611
1337080738576004,1337080732503248,-0.38310242,4.8674774,11.230804
1337080740266108,1337080737477613,-0.6233673,4.6302643,11.351349
1337080745535222,1337080742451979,-0.9069824,4.4140625,11.450378
1337080750027045,1337080747426344,-1.2159576,4.205078,11.634445
1337080754729910,1337080752400709,-1.4762115,4.0002136,11.809814
1337080766657045,1337080757375074,-1.6977081,3.8364258,12.015213
1337080766978608,1337080762349440,-1.8177795,3.7408752,12.13739
1337080769113608,1337080767323805,-1.8608093,3.686905,12.187256
1337080774307670,1337080772298170,-1.8161011,3.7076263,12.104584
1337080778449441,1337080777272535,-1.6930542,3.7444,11.762131
1337080791962931,1337080782246901,-1.4689636,3.7592163,11.283981
1337080792283764,1337080787221266,-1.4689636,3.7592163,11.283981
1337080796442670,1337080792195631,-1.4689636,3.7592163,11.283981
1337080801073191,1337080797169996,-1.4689636,3.7592163,11.283981
1337080806615743,1337080802144361,-1.189148,3.9424744,10.1987
1337080812853087,1337080807118727,-0.8080139,4.180084,8.7155
1337080816267983,1337080812093092,-0.7103729,4.2120056,8.355255
1337080821198243,1337080817067457,-0.65078735,4.2101746,8.110275
1337080826931733,1337080822041822,-0.63772583,4.1381683,7.9549713
1337080831588920,1337080827016188,-0.64019775,4.0365753,7.855377
1337080835207774,1337080831990553,-0.6850891,3.9315338,7.7872314
1337080840498868,1337080836964918,-0.7366638,3.8256683,7.71727
1337080846217202,1337080841939283,-0.79589844,3.7231445,7.649994
1337080849572514,1337080846913649,-0.8661957,3.676529,7.575882
