arrival_ts,event_ts,val_x,val_y,val_z
1337080812057670,1337080799947096,0.6913605,-0.26774597,0.45718384
1337080812468087,1337080804921461,0.7075653,-0.3083496,0.4499817
1337080815788608,1337080809895826,0.69836426,-0.33171082,0.43606567
1337080820815431,1337080814870192,0.6646881,-0.34632874,0.41220093
1337080826156264,1337080819844557,0.6124115,-0.35333252,0.38475037
1337080831120431,1337080824818922,0.5496521,-0.34249878,0.3577881
1337080834852618,1337080829793287,0.48156738,-0.3166809,0.33920288
1337080840106524,1337080834767652,0.414505,-0.27734375,0.32621765
1337080845913504,1337080839742018,0.3461914,-0.23075867,0.31962585
1337080849283087,1337080844716383,0.27915955,-0.18612671,0.32121277
1337080853718139,1337080849690748,0.21360779,-0.14202881,0.33296204
1337080859084441,1337080854665113,0.14805603,-0.097229004,0.3505249
1337080863481160,1337080859639479,0.08433533,-0.056884766,0.37509155
1337080868423087,1337080864613844,0.024246216,-0.017623901,0.40507507
1337080875296160,1337080869588209,-0.03250122,0.019470215,0.43678284
1337080878970639,1337080874562574,-0.08590698,0.052001953,0.46340942
1337080882964285,1337080879536940,-0.1347351,0.078323364,0.4789276
1337080887970952,1337080884511305,-0.17466736,0.09687805,0.4816742
1337080895064806,1337080889485670,-0.20562744,0.10820007,0.4715271
1337080897242514,1337080894460035,-0.23329163,0.114471436,0.44952393
1337080901978556,1337080899434401,-0.25689697,0.11355591,0.42140198
1337080913249649,1337080904408766,-0.2781372,0.10557556,0.39175415
1337080913532306,1337080909383131,-0.29956055,0.09706116,0.35942078
1337080916356629,1337080914357496,-0.31944275,0.09043884,0.32659912
1337080921126785,1337080919331861,-0.33743286,0.082458496,0.29914856
1337080926302045,1337080924306227,-0.3523407,0.07763672,0.2725067
1337080930678920,1337080929280592,-0.36453247,0.078552246,0.2506256
1337080943612462,1337080934254957,-0.37472534,0.08746338,0.23092651
1337080945023035,1337080939229322,-0.38352966,0.1138916,0.21192932
1337080950093347,1337080944203688,-0.3909912,0.14860535,0.19294739
1337080954622618,1337080949178053,-0.3968506,0.18841553,0.16664124
1337080959352462,1337080954152418,-0.40400696,0.22665405,0.13330078
1337080964276368,1337080959126783,-0.4107666,0.26106262,0.09820557
1337080969008504,1337080964101149,-0.41026306,0.28752136,0.06439209
1337080973898868,1337080969075514,-0.4031372,0.30741882,0.033706665
1337080978483035,1337080974049879,-0.384552,0.31977844,0.010955811
1337080983301993,1337080979024244,-0.35150146,0.32312012,-0.0012817383
1337080988270587,1337080983998609,-0.30386353,0.3206787,-0.004058838
