arrival_ts,event_ts,val_x,val_y,val_z
1337080718285743,1337080698933912,-3.793335,-9.814453,-31.137085
1337080721466316,1337080718251539,-4.1519165,-9.803772,-31.394958
1337080741751420,1337080737599684,-2.1774292,-8.917236,-30.093384
1337080766234129,1337080756642652,-1.4053345,-9.178162,-28.871155
1337080776755431,1337080775868727,-2.8747559,-8.914185,-30.329895
1337080797045066,1337080796223951,-1.1169434,-9.240723,-30.226135
1337080816653243,1337080814229322,-2.3910522,-9.681702,-29.193115
1337080835528920,1337080833455397,-2.8152466,-9.963989,-29.750061
1337080854318087,1337080852681471,-3.3798218,-10.455322,-28.941345
1337080874848087,1337080871938063,-3.881836,-10.333252,-29.151917
1337080893091993,1337080891103102,-3.3859253,-10.296631,-28.997803
1337080915573660,1337080910359693,-3.3035278,-10.202026,-29.84314
1337080931089806,1337080929585768,-4.005432,-9.417725,-31.291199
1337080949612254,1337080948781324,-4.396057,-9.152222,-31.286621
1337080969724754,1337080968312574,-4.206848,-9.146118,-31.344604
1337080988689649,1337080987477613,-2.8137207,-9.500122,-30.291748
1337081008478504,1337081006642652,-2.4246216,-9.300232,-30.885315
1337081028008816,1337081025838209,-2.1026611,-9.40094,-29.832458
1337081046800170,1337081045033766,-2.2903442,-9.332275,-29.733276
1337081066186212,1337081064229322,-2.130127,-9.458923,-29.548645
1337081086008972,1337081083394361,-1.6738892,-9.506226,-29.29535
1337081104263191,1337081102589918,-1.499939,-9.254456,-29.508972
1337081124603816,1337081121846510,-1.8890381,-9.068298,-29.498291
1337081145697306,1337081141042067,-2.2888184,-9.217834,-29.69513
1337081163044129,1337081160268141,-2.1987915,-9.249878,-29.79126
1337081181612931,1337081179799391,-2.0309448,-9.3811035,-29.51355
1337081201353712,1337081198964430,-2.331543,-9.146118,-29.605103
1337081219347879,1337081218129469,-2.2476196,-9.09729,-29.753113
1337081240760222,1337081237782789,-2.4887085,-9.255981,-29.77295
1337081259062566,1337081256490065,-1.9454956,-9.216309,-29.623413
1337081278277462,1337081275685621,-2.1484375,-9.01947,-29.718018
1337081297681837,1337081294881178,-2.6885986,-8.906555,-29.786682
1337081318023868,1337081314168287,-2.3498535,-8.746338,-29.771423
1337081334563243,1337081333363844,-1.9866943,-8.639526,-30.726624
1337081354679597,1337081352559401,-2.1591187,-8.815002,-30.471802
1337081373402618,1337081371785475,-2.2506714,-9.091187,-30.447388
1337081392029858,1337081390981031,-2.3269653,-9.417725,-30.23529
1337081412488139,1337081410207106,-2.5253296,-9.648132,-30.345154
1337081431045587,1337081429433180,-1.9851685,-9.567261,-30.244446
1337081450634337,1337081448689772,-2.1087646,-9.62677,-29.954529
1337081470553347,1337081467885328,-1.9927979,-9.408569,-30.300903
1337081490016160,1337081487141920,-1.9317627,-9.147644,-30.091858
1337081508284493,1337081506337477,-1.7303467,-9.034729,-29.97284
1337081529060691,1337081525594068,-2.078247,-9.265137,-30.12085
1337081548101733,1337081544881178,-2.2903442,-9.526062,-29.766846
1337081565548451,1337081564046217,-2.128601,-9.802246,-30.265808
1337081584854180,1337081583302809,-2.0370483,-9.719849,-30.323792
1337081603791212,1337081602498365,-1.8753052,-9.884644,-30.136108
1337081623735639,1337081621724440,-1.7959595,-10.253906,-30.438232
1337081642575326,1337081640919996,-1.864624,-9.739685,-29.962158
1337081661418347,1337081660146070,-1.7471313,-9.751892,-30.337524
1337081680651524,1337081679402662,-1.7944336,-9.638977,-30.296326
1337081699886785,1337081698598219,-1.8508911,-9.594727,-30.389404
1337081720618816,1337081717824293,-1.7364502,-9.606934,-30.163574
1337081740946785,1337081737050367,-1.5518188,-9.672546,-30.308533
1337081760131889,1337081756276442,-1.6418457,-9.680176,-30.210876
1337081777666264,1337081775533033,-1.5853882,-9.414673,-30.696106
1337081798287982,1337081794759108,-1.5075684,-9.321594,-30.290222
1337081817730014,1337081813954664,-1.2329102,-9.225464,-30.497742
1337081834748972,1337081833180738,-1.4587402,-9.164429,-30.905151
1337081854167201,1337081852406813,-1.1352539,-9.45282,-31.182861
1337081873247618,1337081871632887,-1.7837524,-9.101868,-31.35376
1337081893374128,1337081890919996,-0.89416504,-9.294128,-31.161499
1337081911424805,1337081910115553,-1.121521,-9.310913,-30.961609
1337081932141889,1337081929341627,-1.3473511,-9.364319,-31.407166
1337081950036212,1337081948567701,-1.8661499,-9.655762,-31.263733
1337081969277409,1337081967763258,-2.0950317,-9.594727,-31.06842
1337081988629180,1337081986989332,-2.1469116,-9.553528,-31.115723
1337082008305795,1337082006245924,-1.9546509,-9.509277,-31.129456
1337082027299753,1337082025441481,-2.053833,-9.54895,-31.167603
1337082046499597,1337082044667555,-2.005005,-9.239197,-31.098938
1337082065787514,1337082063893629,-1.7684937,-9.539795,-31.23169
1337082084658555,1337082083119703,-1.84021,-9.365845,-31.517029
1337082103952305,1337082102345777,-1.3839722,-9.413147,-31.263733
1337082123032305,1337082121602369,-1.7425537,-9.442139,-31.517029
1337082142185534,1337082140797926,-1.0864258,-9.335327,-31.796265
1337082161942149,1337082160024000,-1.4587402,-9.275818,-31.591797
1337082181419076,1337082179311109,-1.7578125,-9.312439,-31.710815
1337082200320743,1337082198476149,-1.9485474,-9.127808,-31.619263
1337082219481107,1337082217702223,-1.7837524,-8.868408,-31.97174
1337082239951472,1337082236928297,-1.8005371,-8.432007,-32.09381
1337082257926836,1337082256154371,-1.9256592,-8.139038,-32.43103
1337082277414597,1337082275380445,-1.8051147,-7.8079224,-32.69348
