arrival_ts,event_ts,val_x,val_y,val_z,val_w,accuracy
1337080808244077,1337080799947096,0.28927973,-0.052957617,-0.26377505,0.91865957,0.0
1337080808594025,1337080804738356,0.28507212,-0.055151608,-0.27530524,0.91646016,0.0
1337080811296941,1337080809560133,0.2843415,-0.056962032,-0.2787218,0.9155432,0.0
1337080817037306,1337080814351393,0.28390267,-0.058509074,-0.28073987,0.9149651,0.0
1337080821523608,1337080819142652,0.2834908,-0.060216464,-0.28319824,0.9142241,0.0
1337080827115899,1337080823933912,0.28296322,-0.061847948,-0.28581706,0.91346335,0.0
1337080831924024,1337080828725172,0.282299,-0.06337743,-0.28857377,0.91269696,0.0
1337080835816524,1337080833516432,0.28151867,-0.064646155,-0.29131773,0.91197705,0.0
1337080840809129,1337080838307692,0.28058708,-0.06588404,-0.29468924,0.91109186,0.0
1337080846476889,1337080843098951,0.27953398,-0.066969834,-0.29833007,0.91015106,0.0
1337080849828139,1337080847890211,0.27845472,-0.06789793,-0.30205747,0.9091832,0.0
1337080854535118,1337080852681471,0.2773556,-0.06855171,-0.30579898,0.90821886,0.0
1337080859714181,1337080857503248,0.27620775,-0.069143616,-0.31003177,0.90708804,0.0
1337080864059389,1337080862294508,0.2750576,-0.06959502,-0.31408262,0.9060088,0.0
1337080868995379,1337080867085768,0.2738921,-0.06993232,-0.31772572,0.9050652,0.0
1337080875690952,1337080871877027,0.27281824,-0.07013253,-0.32041892,0.9044243,0.0
1337080878433972,1337080876668287,0.27177882,-0.070283026,-0.32234624,0.90404063,0.0
1337080883791316,1337080881459547,0.27075028,-0.07038077,-0.32340392,0.9039639,0.0
1337080888757618,1337080886250807,0.26979637,-0.07041973,-0.3237227,0.90413195,0.0
1337080894606941,1337080891042067,0.26886865,-0.07040181,-0.32341075,0.9045212,0.0
1337080898371420,1337080895833326,0.2679273,-0.07035683,-0.3230504,0.9049328,0.0
1337080903157670,1337080900624586,0.26702797,-0.070275515,-0.32243034,0.9054259,0.0
1337080914530379,1337080905415846,0.26607385,-0.070191674,-0.32174683,0.90595627,0.0
1337080914963139,1337080910207106,0.26504993,-0.07005061,-0.32098973,0.90653574,0.0
1337080917155587,1337080915028883,0.26389956,-0.069967404,-0.3203436,0.90710616,0.0
1337080921508764,1337080919820143,0.2626672,-0.069890134,-0.31974888,0.90767944,0.0
1337080927109233,1337080924611402,0.26132676,-0.06982098,-0.3192203,0.90825754,0.0
1337080931263295,1337080929402662,0.26000598,-0.06965091,-0.31847268,0.9089119,0.0
1337080935649962,1337080934193922,0.25863764,-0.06953086,-0.3178101,0.90954316,0.0
1337080943949597,1337080938985182,0.25729263,-0.069351785,-0.31686845,0.9102666,0.0
1337080945731108,1337080943776442,0.25598004,-0.06910002,-0.31560254,0.9110952,0.0
1337080950546524,1337080948567701,0.2547552,-0.06867201,-0.3140586,0.91200393,0.0
1337080954990483,1337080953358961,0.25353566,-0.06820153,-0.3127071,0.9128431,0.0
1337080960051733,1337080958180738,0.25232807,-0.06760652,-0.3116201,0.91359335,0.0
1337080965437358,1337080962971998,0.2511298,-0.06690982,-0.311082,0.91415805,0.0
1337080969307827,1337080967763258,0.2499806,-0.066148296,-0.3105478,0.91470987,0.0
1337080974018868,1337080972554518,0.24878147,-0.06528314,-0.311016,0.9149399,0.0
1337080978876629,1337080977345777,0.24754652,-0.064441,-0.3121707,0.91494125,0.0
