arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
52548563891304,419635,-24384,13,-35,56,true,3,0.0,-1.0,false,true,2396
52553726276771,2056,4650,11,-38,100,true,3,0.0,-1.0,false,true,2461
52555523872291,6888,1575,104,-218,-64,true,24,0.0,-1.0,false,true,2464
52556124189999,8649,253,1,-27,95,true,2,0.0,-1.0,false,true,2396
52556731176822,9422,219,17,5,-9,true,1,0.0,-1.0,false,true,2459
52557325715884,9761,598,-30,-38,-19,true,4,0.0,-1.0,false,true,2588
52557924842811,10681,118,8,1,-4,true,0,0.0,-1.0,false,true,2676
52559126080779,10978,939,84,21,1,true,8,0.0,-1.0,false,true,2763
52560325492081,12954,140,0,-3,6,true,0,0.0,-1.0,false,true,2693
52561521187081,13932,520,-76,-127,267,true,14,0.0,-1.0,false,true,2642
52562722594736,14553,1276,-81,64,-72,true,10,0.0,-1.0,false,true,2625
52563326002809,15914,534,-38,-18,-60,true,4,0.0,-1.0,false,true,2563
52565125169267,16570,1815,63,-9,-246,true,6,0.0,-1.0,false,true,2630
52567523274787,18492,2448,-79,-84,330,true,11,0.0,-1.0,false,true,2740
52574734311867,21021,6706,-12,-15,-345,true,1,0.0,-1.0,false,true,2443
52575327004523,27790,536,-18,-42,-104,true,4,0.0,-1.0,false,true,2379
52576523542283,28408,1196,-288,-79,-2,true,29,0.0,-1.0,false,true,2613
52577125130825,29768,535,132,-60,67,true,14,0.0,-1.0,false,true,2625
52577724616085,30444,158,-40,-1,-13,true,4,0.0,-1.0,false,true,2516
52578325659418,30782,219,65,-1,-30,true,6,0.0,-1.0,false,true,2516
52578927376814,31181,479,-185,50,-94,true,19,0.0,-1.0,false,true,2516
52579524027855,32141,457,-262,-8,3,true,26,0.0,-1.0,false,true,2551
52580123396969,32999,258,-23,-29,49,true,3,0.0,-1.0,false,true,2595
52581334406188,33397,60,-19,2,5,true,1,0.0,-1.0,false,true,2595
52581927020250,34355,80,-26,-7,-1,true,2,0.0,-1.0,false,true,2473
52582527085666,34914,260,-36,-67,84,true,7,0.0,-1.0,false,true,2673
52583129896031,35294,359,166,55,-45,true,17,0.0,-1.0,false,true,2451
52583725719260,35833,279,-33,-43,52,true,5,0.0,-1.0,false,true,2444
52584325199103,36152,339,122,113,-100,true,16,0.0,-1.0,false,true,2444
52584926039259,36732,857,-11,58,-137,true,5,0.0,-1.0,false,true,2487
52586122380196,37632,1474,-149,61,-115,true,16,0.0,-1.0,false,true,2384
52587328473269,39212,274,-60,-96,80,true,11,0.0,-1.0,false,true,2606
52587333971290,39986,378,5,-40,76,true,4,0.0,-1.0,false,true,2567
52587924071654,40385,318,103,63,-15,true,12,0.0,-1.0,false,true,2470
52588523483529,40804,319,-69,-87,115,true,11,0.0,-1.0,false,true,2441
52589122252331,41243,319,101,55,-34,true,11,0.0,-1.0,false,true,2441
52589723216549,41742,758,-90,64,-121,true,11,0.0,-1.0,false,true,2667
52590323197226,42642,277,-36,-50,69,true,6,0.0,-1.0,false,true,2414
52590926871236,43080,298,79,44,-38,true,9,0.0,-1.0,false,true,2414
52591527115507,43559,698,-97,15,-76,true,9,0.0,-1.0,false,true,2432
52592125505246,44795,200,-56,-45,60,true,7,0.0,-1.0,false,true,2638
52593326540089,46093,200,9,-14,36,true,1,0.0,-1.0,false,true,2573
52593928027016,46373,359,-39,34,-90,true,5,0.0,-1.0,false,true,2594
