arrival_ts,event_ts,val_x,val_y,val_z
54377339900496,54377329859328,10.28595,-8.964539,-20.594788
54377394773204,54377349146437,9.837341,-8.921814,-20.75653
54377395172163,54377368464064,9.350586,-8.888245,-21.424866
54377395563308,54377387507033,10.449219,-8.972168,-21.020508
54377442956486,54377406733107,9.458923,-8.5876465,-21.220398
54377443234663,54377425959181,8.8974,-8.415222,-22.218323
54377446747892,54377445124220,9.332275,-8.604431,-20.980835
54377471970392,54377464380812,8.6380005,-8.799744,-20.555115
54377486160236,54377483576369,9.877014,-8.644104,-20.825195
54377504201590,54377502802443,10.377502,-9.0789795,-19.389343
54377522826381,54377522028517,10.13031,-8.879089,-20.73059
54377542072163,54377541254591,9.45282,-8.511353,-19.97528
54377561870704,54377560450148,9.228516,-8.531189,-19.729614
54377580839715,54377579676222,9.596252,-8.233643,-20.605469
54377599874715,54377598902297,9.855652,-7.977295,-19.667053
54377621788725,54377618128371,9.442139,-7.7697754,-19.981384
54377640345027,54377637415480,8.853149,-7.9696655,-19.468689
54377657697527,54377656611037,9.234619,-7.762146,-20.155334
54377677567267,54377675806593,9.085083,-7.684326,-20.19806
54377702045444,54377695032668,9.014893,-7.824707,-19.859314
54377715484715,54377714289259,8.956909,-8.009338,-20.028687
54377734434350,54377733515334,9.326172,-8.416748,-19.049072
54377754405600,54377752710890,9.864807,-8.644104,-19.018555
54377773846485,54377771936965,9.565735,-8.483887,-19.752502
54377792559506,54377791163039,9.585571,-8.424377,-19.480896
54377811939767,54377810389113,9.715271,-8.369446,-19.677734
54377831653933,54377829615187,9.724426,-8.106995,-19.511414
54377850085600,54377848841261,9.74884,-7.739258,-19.770813
54377869874975,54377868097853,9.339905,-7.847595,-19.413757
54377889570496,54377887293410,9.507751,-7.78656,-19.104004
54377908884037,54377906550002,9.199524,-7.5439453,-19.937134
54377927272735,54377925806593,9.103394,-7.1990967,-19.862366
54377946140183,54377945002150,8.299255,-6.954956,-20.84961
54377965201590,54377964197707,8.483887,-6.5612793,-20.240784
54377984710965,54377983454299,7.952881,-6.373596,-21.472168
54378003431954,54378002649855,8.885193,-6.4926147,-19.39087
54378022814767,54378021906447,9.60083,-6.777954,-19.598389
54378042243621,54378041102004,9.117126,-6.6711426,-19.577026
54378061816121,54378060328078,9.599304,-6.814575,-19.641113
54378081058464,54378079554152,8.833313,-6.7977905,-19.50531
54378100865808,54378098810744,9.19342,-6.576538,-19.819641
54378120489037,54378118006300,9.048462,-6.7321777,-19.845581
54378138823933,54378137232375,8.848572,-6.8847656,-19.961548
54378157963725,54378156458449,8.654785,-6.8099976,-19.955444
54378177040652,54378175684523,8.544922,-7.032776,-20.16449
54378196631537,54378194910597,8.312988,-7.008362,-20.014954
54378215838777,54378214197707,8.067322,-7.1243286,-20.083618
54378235435496,54378233423781,7.928467,-6.9015503,-19.952393
54378254939819,54378252588820,8.045959,-7.067871,-20.36438
54378273864402,54378271814894,7.76062,-7.154846,-20.29419
54378293710287,54378291040968,7.510376,-6.9976807,-20.384216
54378314235548,54378310267043,6.8008423,-6.829834,-20.770264
54378330802266,54378329523634,6.790161,-6.706238,-20.870972
54378349782266,54378348719191,7.522583,-6.5826416,-20.783997
54378369122579,54378367975783,7.180786,-6.047058,-20.709229
54378388484402,54378387171340,7.6538086,-5.8761597,-20.193481
54378409267319,54378406427931,7.4935913,-5.6747437,-20.336914
54378427717006,54378425623488,7.2509766,-5.7525635,-21.011353
54378447730391,54378444849562,7.550049,-5.1376343,-20.794678
54378465746954,54378464075636,7.8338623,-4.8583984,-20.831299
54378485039454,54378483332228,7.8567505,-4.4525146,-20.445251
54378504261225,54378502558302,8.242798,-4.4418335,-21.116638
54378523310496,54378521784377,7.521057,-4.2282104,-20.996094
54378543329766,54378541010451,7.6522827,-4.0634155,-20.506287
54378562919662,54378560206007,7.4539185,-3.7902832,-21.162415
54378582475496,54378579432082,8.311462,-3.6117554,-20.671082
54378601647423,54378598688674,8.396912,-3.3294678,-20.788574
54378621380131,54378618158888,8.326721,-3.1204224,-21.029663
54378639174714,54378637323927,8.084106,-3.5476685,-21.124268
54378659198360,54378656488966,8.129883,-4.1641235,-20.620728
54378677026746,54378675684523,7.965088,-4.689026,-20.98999
54378697868100,54378694849562,8.187866,-4.4769287,-21.203613
54378715636902,54378714045119,8.451843,-4.5669556,-20.935059
54378734869818,54378733240675,8.000183,-4.714966,-21.176147
54378754643360,54378752466750,8.001709,-4.6401978,-21.134949
54378773952162,54378771723341,7.801819,-4.598999,-21.218872
54378792738100,54378790979933,7.1533203,-4.4021606,-21.424866
54378812776745,54378810450148,7.3669434,-4.220581,-21.774292
54378831649766,54378829615187,7.473755,-4.072571,-21.606445
54378850096329,54378848810744,7.1029663,-3.62854,-21.939087
54378869568256,54378867975783,7.029724,-3.3798218,-21.582031
54378889126641,54378887171340,6.8466187,-3.5476685,-21.46759
54378907681850,54378906305861,7.0007324,-3.666687,-21.374512
54378927875704,54378925531935,7.0602417,-4.6401978,-21.403503
54378947472527,54378945276808,6.6467285,-5.4748535,-21.272278
54378965972631,54378963953566,6.4468384,-5.7037354,-21.383667
54378984265235,54378983179640,5.644226,-6.27594,-21.202087
54379003563152,54379002405715,6.1691284,-6.298828,-21.325684
54379023210391,54379021692824,4.901123,-6.6604614,-21.50116
54379041737266,54379040888381,4.4036865,-7.119751,-21.76361
54379061465860,54379060083937,4.7073364,-7.1640015,-21.592712
54379081302058,54379079340529,4.522705,-7.255554,-20.835876
54379100050495,54379098566603,4.5150757,-6.517029,-20.794678
54379118838724,54379117792677,5.3390503,-5.960083,-21.34552
54379138350808,54379136988234,5.253601,-6.3598633,-20.617676
54379157717891,54379156214308,5.4000854,-6.817627,-21.334839
54379178400495,54379175470900,5.332947,-7.267761,-21.022034
54379196793881,54379194696974,4.3945312,-7.73468,-20.7016
54379216655443,54379213892531,4.208374,-7.8948975,-21.279907
54379235288568,54379233118605,3.8879395,-7.9559326,-21.025085
54379253608204,54379252344679,4.095459,-8.349609,-20.918274
54379273216277,54379271570754,5.239868,-8.662415,-20.593262
54379292028933,54379290796828,5.4367065,-9.046936,-20.62378
54379311619193,54379310022902,5.995178,-9.365845,-20.35675
54379331271277,54379329279494,5.7540894,-9.75647,-20.40863
54379352524870,54379348475050,6.2179565,-10.041809,-20.091248
54379370874714,54379367731642,6.265259,-10.002136,-20.097351
54379388110443,54379386957716,5.496216,-10.176086,-20.039368
54379407182526,54379406153273,5.4229736,-10.07843,-20.365906
54379426637422,54379425379347,5.067444,-9.335327,-21.090698
54379445923829,54379444635939,6.2698364,-9.115601,-20.5307
54379464863776,54379463831496,7.2158813,-8.888245,-20.788574
54379484382735,54379483057570,7.533264,-8.326721,-20.336914
54379503439610,54379502283644,8.226013,-8.02002,-20.075989
54379522707787,54379521540236,8.055115,-8.03833,-20.43457
54379541922110,54379540735793,8.737183,-8.610535,-19.833374
54379561642422,54379559961867,8.953857,-9.088135,-19.62738
