arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
54505836814770,125292,836,1052,-491,165,true,116,0.0,-1.0,false,true,3171
54506424358155,126630,656,528,-390,106,true,65,0.0,-1.0,false,true,3358
54507014107842,127389,137,10,0,-1,true,1,0.0,-1.0,false,true,3357
54510524729508,129783,899,908,-69,203,true,91,0.0,-1.0,false,true,3375
54511688931174,131085,895,1220,-310,150,true,125,0.0,-1.0,false,true,3234
54512859922476,132343,836,1183,-732,-168,true,139,0.0,-1.0,false,true,3151
54514029873048,133521,776,1270,-624,58,true,141,0.0,-1.0,false,true,3293
54515199962631,134680,816,1260,-143,177,true,126,0.0,-1.0,false,true,3539
54516374034349,135878,816,1259,174,32,true,127,0.0,-1.0,false,false,21
54517539559609,137057,815,1344,235,-10,true,136,0.0,-1.0,false,true,3536
54518712367577,138235,896,1139,-464,74,true,122,0.0,-1.0,false,true,3054
54519881322056,139494,875,654,-1019,187,true,121,0.0,-1.0,false,true,2699
54521051035962,140752,856,112,-1195,8,true,120,0.0,-1.0,false,true,2474
54522808672055,141970,876,-541,-1284,130,true,139,0.0,-1.0,false,true,2282
54523981811013,143328,636,-408,-441,117,true,60,0.0,-1.0,false,true,2127
54526899608929,146580,920,934,-770,131,true,121,0.0,-1.0,false,true,3140
54528658675438,147962,896,1325,-574,83,true,144,0.0,-1.0,false,true,3261
54529824930907,149281,875,1272,-455,91,true,135,0.0,-1.0,false,true,3506
54530992949292,150579,897,1168,471,125,true,125,0.0,-1.0,false,false,182
54532752498093,151937,855,1155,386,107,true,121,0.0,-1.0,false,false,5
54533919295228,153255,876,1189,-168,60,true,120,0.0,-1.0,false,true,3197
54535088357675,154553,796,874,-877,20,true,123,0.0,-1.0,false,true,2913
54537430542779,155751,876,906,-1100,-229,true,142,0.0,-1.0,false,true,2902
54537434080487,156970,816,696,-1190,78,true,137,0.0,-1.0,false,true,2907
54538599294341,158188,876,1059,-934,139,true,141,0.0,-1.0,false,true,3126
54539773828403,159407,795,1198,-806,10,true,144,0.0,-1.0,false,true,3143
54540948763715,160565,796,993,-690,125,true,120,0.0,-1.0,false,true,3224
54542108074704,161743,796,1161,-523,69,true,127,0.0,-1.0,false,true,3246
54543282785641,162941,836,1013,-444,81,true,110,0.0,-1.0,false,true,3279
54544449669130,164120,796,1421,-273,36,true,144,0.0,-1.0,false,true,3280
54545619500171,165298,796,1132,-304,178,true,117,0.0,-1.0,false,true,3291
54546788034442,166456,836,1262,-123,175,true,126,0.0,-1.0,false,true,3429
54547968654910,167635,816,1392,51,-8,true,139,0.0,-1.0,false,true,3458
54549127954180,168793,818,1492,2,-119,true,149,0.0,-1.0,false,true,3482
54550304126576,169912,776,1379,4,48,true,137,0.0,-1.0,false,true,3499
54551469946055,171030,776,1279,-3,85,true,127,0.0,-1.0,false,true,3455
54552640740377,172128,776,1415,-123,36,true,142,0.0,-1.0,false,true,3430
54553811873033,173267,816,1235,59,166,true,123,0.0,-1.0,false,true,3486
54554985596834,174505,796,1043,-146,5,true,105,0.0,-1.0,false,true,3363
