arrival_ts,event_ts,val_x,val_y,val_z
189565765059003,189565726031333,-1.0925293,-31.370544,-22.598267
189565765132701,189565745318443,-1.5579224,-31.356812,-22.340393
189565765212805,189565764636070,-0.36315918,-31.282043,-22.555542
189565795981816,189565783648521,-0.6500244,-31.059265,-22.460938
189565804167597,189565802905113,0.02746582,-31.16455,-21.846008
189565823102180,189565822100669,0.7171631,-31.550598,-21.11969
189565842794003,189565841357261,0.20599365,-31.498718,-21.463013
189565862263118,189565860583335,0.5493164,-31.111145,-21.325684
189565880715722,189565879809409,-0.22125244,-30.62439,-21.82312
189565899871243,189565899035484,-0.65460205,-30.867004,-21.826172
189565919100357,189565918261558,-0.54016113,-30.722046,-22.213745
189565938955357,189565937487632,-1.020813,-30.654907,-22.792053
189565957779055,189565956713706,-0.869751,-30.3833,-23.329163
189565976734055,189565975909263,-0.45318604,-30.516052,-22.973633
189565996511920,189565995501548,-0.40130615,-30.601501,-21.629333
189566015961139,189566014361411,-1.2527466,-30.245972,-21.92688
189566035149680,189566033648521,-0.83618164,-30.415344,-22.218323
189566054103482,189566052874595,-0.8743286,-30.232239,-22.044373
189566073743795,189566072039634,-0.81329346,-30.162048,-22.51587
189566092268222,189566091265708,-0.98114014,-29.948425,-23.44513
189566111376868,189566110491782,-1.0848999,-29.986572,-22.88208
189566130749576,189566129717857,-1.1917114,-30.020142,-23.01178
189566150144107,189566148943931,-0.920105,-30.11322,-23.298645
189566169375982,189566168170005,-0.28533936,-30.10559,-23.24524
189566188430930,189566187396079,-0.27313232,-30.427551,-22.4823
189566207610357,189566206622154,0.5432129,-30.448914,-21.928406
189566227036920,189566225848228,0.6591797,-30.735779,-21.081543
189566246636503,189566245104820,1.2527466,-31.163025,-20.34607
189566265905409,189566264391929,1.1810303,-32.073975,-19.537354
189566286510305,189566283526450,1.4602661,-32.25403,-19.078064
189566303946243,189566302752525,1.0635376,-32.795715,-18.64624
189566323709055,189566322009116,1.0345459,-33.042908,-18.441772
189566342695514,189566341235191,0.9490967,-32.632446,-18.18695
189566361546086,189566360430747,0.541687,-32.388306,-19.059753
189566383442389,189566379656822,0.63323975,-31.91986,-19.052124
189566400594680,189566398913413,0.24414062,-31.964111,-19.07196
189566419957180,189566418108970,0.29296875,-31.848145,-19.036865
189566438786555,189566437335044,0.038146973,-31.648254,-19.174194
189566457913586,189566456561118,-0.19378662,-31.234741,-19.606018
189566477643899,189566475787193,0.04425049,-31.227112,-19.667053
189566496787128,189566495013267,-0.2670288,-30.984497,-19.89746
189566516122128,189566514239341,-0.5569458,-31.182861,-19.91272
189566534998482,189566533465415,-1.1276245,-30.932617,-19.711304
189566554305566,189566552722007,-0.84381104,-30.999756,-19.81659
189566573510461,189566571948081,-1.3397217,-30.693054,-19.252014
189566592538795,189566591143638,-1.9226074,-30.81665,-19.300842
189566611560878,189566610400230,-2.015686,-30.819702,-19.89746
189566630875722,189566629626304,-2.3605347,-30.43518,-19.903564
189566650109159,189566648821861,-2.7404785,-30.448914,-19.787598
189566669548534,189566668047935,-2.8274536,-30.378723,-20.297241
189566688601190,189566687274009,-2.3757935,-30.537415,-20.127869
189566707929472,189566706500083,-2.5009155,-30.480957,-19.845581
189566727196243,189566725756675,-2.7175903,-30.737305,-19.537354
189566746528534,189566744982749,-2.7359009,-30.683899,-19.772339
189566766377336,189566764178306,-2.748108,-30.75409,-19.303894
189566785148378,189566783404380,-2.8961182,-30.560303,-19.308472
189566804554107,189566802630454,-2.8808594,-30.497742,-19.082642
189566823543065,189566821856529,-3.2821655,-30.415344,-19.248962
189566844037128,189566841082603,-3.5751343,-30.06897,-19.857788
189566862547336,189566860308677,-3.7322998,-30.099487,-20.031738
189566881528430,189566879534751,-3.9520264,-30.162048,-19.735718
189566900186190,189566898821861,-4.614258,-29.992676,-20.124817
189566919716607,189566918017417,-4.623413,-30.258179,-19.64264
189566938788326,189566937212974,-4.4296265,-30.2948,-19.003296
189566958340930,189566956439048,-3.8101196,-30.586243,-18.55774
189566977318222,189566975665122,-4.0283203,-30.377197,-18.836975
189566997239055,189566994921714,-4.534912,-30.369568,-18.482971
189567015816399,189567014147788,-4.7424316,-30.513,-19.340515
189567035511034,189567033343345,-4.573059,-30.337524,-18.992615
189567054238534,189567052569419,-5.0750732,-30.40924,-19.23523
189567074305513,189567071795493,-5.2749634,-30.406189,-19.316101
189567093935826,189567091052085,-4.7714233,-30.299377,-19.029236
189567111986399,189567110278159,-5.2856445,-30.052185,-19.386292
189567131040097,189567129473716,-5.458069,-30.265808,-19.129944
189567150358899,189567149004966,-5.7159424,-30.448914,-19.378662
189567170110878,189567168170005,-5.5755615,-30.36499,-19.439697
189567188867857,189567187365562,-5.836487,-30.278015,-19.662476
189567208222544,189567206561118,-5.8395386,-30.467224,-19.740295
189567227099315,189567225726157,-6.2835693,-30.317688,-19.169617
189567246975565,189567244921714,-5.9158325,-30.604553,-18.847656
189567265364992,189567264117271,-5.645752,-30.545044,-19.099426
189567285141034,189567283312827,-5.656433,-30.455017,-19.891357
189567304196919,189567302538902,-6.375122,-30.244446,-19.725037
189567323839003,189567321734458,-6.2683105,-30.401611,-20.275879
189567342632701,189567340960532,-6.5322876,-30.081177,-19.865417
189567362183221,189567360461265,-6.3842773,-30.12085,-19.825745
189567381741294,189567379626304,-6.3674927,-30.05371,-20.248413
189567401026763,189567398821861,-6.312561,-30.252075,-20.19043
189567418827076,189567417986900,-6.6818237,-30.232239,-20.587158
189567439016346,189567437731773,-6.5078735,-30.140686,-19.53888
189567457631190,189567456347495,-6.50177,-30.258179,-20.132446
189567477236138,189567475604087,-6.300354,-29.989624,-20.626831
189567495736607,189567494769126,-6.8893433,-29.992676,-20.73059
189567514875409,189567513995200,-6.6726685,-30.317688,-20.487976
189567534528326,189567533221275,-6.7977905,-29.910278,-20.787048
189567553961451,189567552477866,-6.6436768,-30.264282,-20.077515
189567572802753,189567571703941,-6.9335938,-30.232239,-20.062256
189567593405357,189567590960532,-6.942749,-30.262756,-20.19806
189567611208898,189567610156089,-6.9839478,-30.462646,-20.135498
189567631193117,189567629351646,-6.2026978,-30.529785,-20.085144
189567649486190,189567648577720,-6.60553,-30.563354,-20.289612
189567668687544,189567667834312,-7.234192,-30.491638,-21.55304
189567687858638,189567687029868,-6.6070557,-30.133057,-21.524048
189567707539003,189567706255943,-6.6436768,-30.415344,-20.761108
189567727000409,189567725512534,-6.3980103,-30.60608,-20.762634
189567746106607,189567744708091,-6.704712,-30.407715,-20.295715
