arrival_ts,event_ts,val_x,val_y,val_z
190425030169301,321497001062686,-0.5501251,3.5797577,5.9264526
190425030662582,321497006037051,-0.5501251,3.5797577,5.9264526
190425031088676,321497011011416,-0.5501251,3.5797577,5.9264526
190425031492321,321497015985782,-0.5501251,3.5797577,5.9264526
190425031944561,321497020960147,-0.5501251,3.5797577,5.9264526
190425032376488,321497025934512,-0.5501251,3.5797577,5.9264526
190425042687009,321497030908877,-0.3091278,3.6604156,5.110306
190425043858936,321497035883243,0.019119263,3.8100128,3.8904724
190425044567269,321497040857608,-0.02130127,3.8782043,3.9328918
190425053493884,321497045831973,-0.034713745,3.9403992,4.116394
190425118225238,321497050806338,-0.08958435,3.9582214,4.425186
190425118687530,321497055780703,-0.22377014,3.9225922,4.7301636
190425119080342,321497060755069,-0.36131287,3.8759003,5.0014343
190425119452165,321497065729434,-0.35739136,3.9548187,5.318863
190425119853519,321497070703799,-0.2526245,4.065323,5.7312317
190425120251696,321497075678164,-0.15917969,4.1448517,6.138794
190425120656905,321497080652530,-0.2036438,4.154297,6.4885406
190425121041905,321497085626895,-0.48594666,4.291214,6.812561
190425121446176,321497090601260,-1.1112518,4.443512,7.0702667
190425121840394,321497095575625,-0.92059326,4.6027985,7.226883
190425122251071,321497100549991,-0.3943329,4.6825104,7.501068
190425122611644,321497105524356,-0.11227417,4.724457,7.7664185
190425123107321,321497110498721,-0.011734009,4.6517487,7.969925
190425301506540,321497115473086,0.0074005127,4.620636,8.106323
190425301739405,321497120447452,0.0074005127,4.620636,8.106323
190425302009353,321497125421817,0.0074005127,4.620636,8.106323
190425302250082,321497130396182,0.0074005127,4.620636,8.106323
190425302474665,321497135370547,-0.10092163,4.9161224,8.625824
190425302700342,321497140344912,-0.17773438,5.304367,9.331543
190425302979717,321497145319278,-0.053771973,5.268173,9.2451935
190425304192530,321497150293643,0.12605286,5.2408905,9.082016
190425304481436,321497155268008,0.46269226,5.300583,9.217941
190425305424769,321497160242373,0.958725,5.35968,9.426453
190425305662842,321497165216739,1.44841,5.4116364,9.4092865
190425305879509,321497170191104,1.7672272,5.407608,9.340271
190425306136332,321497175165469,1.9852753,5.3452606,9.319595
190425306358155,321497180139834,2.0978699,5.2316895,9.263168
190425306549457,321497185114200,2.080368,5.116699,9.202835
190425306732425,321497190088565,2.023697,4.966919,9.206879
190425306907634,321497195062930,1.9111786,4.871643,9.304749
190425307102269,321497200037295,1.7563019,4.7827454,9.465164
190425307300394,321497205011660,1.5351562,4.7048187,9.650009
190425307479353,321497209986026,1.3186646,4.5488586,9.857864
190425307661280,321497214960391,1.1163025,4.4479065,10.095718
190425307845238,321497219934756,1.0909271,4.381134,10.321945
190425308015707,321497224909121,1.239563,4.456955,10.60849
190425308223311,321497229883487,1.5380402,4.6710815,10.848709
190425308425498,321497234857852,1.5149078,5.068039,10.987488
190425308615655,321497239832217,1.239975,5.553879,11.006683
190425308770134,321497244806582,0.8423767,6.00473,10.951126
190425308928571,321497249780948,0.3909912,6.3975983,10.74408
190425309100290,321497254755313,0.008682251,6.6762695,10.490875
190425309338728,321497259729678,-0.21914673,6.9125214,10.251343
190425309502425,321497264704043,-0.31124878,7.135132,10.041733
190425309678936,321497269678409,-0.25759888,7.3399963,9.831055
190425309843728,321497274652774,-0.095062256,7.428772,9.715973
190425310016123,321497279627139,0.22850037,7.3787537,9.719284
190425310187842,321497284601504,0.6943817,7.2433624,9.837952
190425310461853,321497289575869,1.1495667,6.985794,10.095581
190425310659300,321497294550235,1.6044617,6.6514587,10.49469
190425310818728,321497299524600,2.0917664,6.2636566,10.923538
190425310976228,321497304498965,2.4930725,5.8436127,11.274902
190425322721488,321497309473330,2.7848358,5.32251,11.472336
190425322839561,321497314447696,3.1500092,4.8385315,11.561417
190425323052321,321497319422061,3.5298004,4.4851074,11.532669
190425328311800,321497324396426,3.3987732,4.412735,11.301071
190425331227738,321497329370791,3.7363434,4.245636,11.070541
190425349492946,321497334345157,4.1925354,3.9565735,10.935852
190425349593519,321497339319522,4.452896,3.6559753,10.6540985
190425352642686,321497344293887,4.641037,3.3533173,10.391876
190425356160030,321497349268252,4.836212,3.1062012,10.068665
190425359778207,321497354242618,5.1734467,2.8616638,9.810455
190425364630863,321497359216983,4.807419,2.94339,9.7265625
190425370007321,321497364191348,3.930893,2.9764862,9.676407
190425374252321,321497369165713,3.0259552,2.9605255,9.800964
190425379671019,321497374140078,2.4286957,2.9399414,9.976212
190425383914717,321497379114444,2.1902313,2.874115,10.127243
190425389939561,321497384088809,2.15477,2.7792664,10.195709
190425393347946,321497389063174,2.2159882,2.7095184,10.107361
190425398451019,321497394037539,2.296402,2.699051,9.894791
190425403488207,321497399011905,2.3562622,2.6550446,9.569351
190425408108519,321497403986270,2.362732,2.5941925,9.1839905
190425412885186,321497408960635,2.2156525,2.5914001,8.764572
190425418172582,321497413935000,1.8633881,2.6569214,8.336975
190425423216540,321497418909366,1.3886261,2.7482605,7.983139
190425427147113,321497423883731,0.90245056,2.8417969,7.6750946
190425431957477,321497428858096,0.47673035,2.9432983,7.392975
190425437625394,321497433832461,0.16473389,3.0590515,7.1205597
190425441720915,321497438806827,-0.07102966,3.1032867,6.9110107
190425446625238,321497443781192,-0.22569275,3.1386108,6.745987
190425451622842,321497448755557,-0.27487183,3.1966705,6.642227
190425457117530,321497453729922,-0.2917328,3.254776,6.5532837
190425461977477,321497458704287,-0.27113342,3.326538,6.4701233
190425465610498,321497463678653,-0.27650452,3.4315796,6.375061
190425470462946,321497468653018,-0.3157196,3.5041504,6.285507
190425475256071,321497473627383,-0.48468018,3.5643005,6.1890564
190425484837165,321497478601748,-0.56907654,3.64563,6.0041046
190425490261071,321497483576114,-0.69052124,3.7146454,5.934799
190425494983311,321497488550479,-0.8444824,3.7751923,5.9190674
190425499419925,321497493524844,-0.9430542,3.8450623,5.9697113
190425505530030,321497498499209,-1.0047455,3.9162903,6.034256
190425509310915,321497503473575,-1.0601807,3.9934235,6.1215363
190425514306280,321497508447940,-1.0514374,4.104843,6.145401
190425519736280,321497513422305,-1.0832825,4.2004395,6.1421814
190425524711384,321497518396670,-1.1996918,4.30394,6.0991516
190425528383102,321497523371035,-1.298523,4.4156647,6.0385895
190425533493467,321497528345401,-1.4020538,4.540436,5.9773865
190425538194665,321497533319766,-1.4964752,4.6571503,5.845932
190425542316280,321497538294131,-1.4435883,4.6732483,5.7239685
190425546982217,321497543268496,-1.135376,4.607849,5.6071625
190425552021436,321497548242862,-0.7795105,4.5380707,5.5059967
190425557125915,321497553217227,-0.5015106,4.491501,5.461441
190425561367165,321497558191592,-0.3635559,4.4656982,5.5097504
190425566009248,321497563165957,-0.32847595,4.465042,5.646759
190425570960030,321497568140323,-0.35842896,4.4575195,5.834442
190425575602738,321497573114688,-0.36428833,4.4583893,6.045456
190425580548571,321497578089053,-0.3171234,4.4474792,6.3137054
190425585524977,321497583063418,-0.2844696,4.4454956,6.6648407
190425590401332,321497588037784,-0.23950195,4.3795776,7.075226
190425595445707,321497593012149,-0.26763916,4.2933807,7.4445953
190425600591905,321497597974557,-0.2725525,4.206421,7.807007
190425604972165,321497602948922,-0.31143188,4.10347,8.080551
190425609776488,321497607923287,-0.3274231,4.072998,8.195923
190425618885759,321497612897653,-0.386734,4.079651,8.250809
190425623970654,321497617872018,-0.45918274,4.1701508,8.290665
190425628333207,321497622846383,-0.57717896,4.286484,8.364059
190425633958519,321497627820748,-0.7006531,4.504608,8.383133
190425638940134,321497632795114,-0.77565,4.8181305,8.414642
190425643576488,321497637769479,-0.8142853,5.151764,8.512955
190425648081800,321497642743844,-0.980484,5.510666,8.831604
190425653286592,321497647718209,-1.3064423,5.706955,8.984772
190425657785915,321497652692575,-1.5732269,5.4804077,8.74527
190425662551019,321497657666940,-1.5154572,5.311371,8.51152
190425667768779,321497662641305,-1.2715454,5.1597595,8.327377
190425672513832,321497667615670,-1.1229095,5.040924,8.386185
190425677456175,321497672590036,-1.0710449,5.136612,8.729111
190425681817529,321497677564401,-1.183258,5.3950043,9.344666
190425686499248,321497682538766,-1.4860382,5.560898,10.070084
190425692328363,321497687513131,-1.7895508,5.5695343,10.814301
190425697962165,321497692487496,-1.9009247,5.4841766,11.472061
190425702070811,321497697461862,-1.7540436,5.4893646,12.014053
190425706460134,321497702436227,-1.2441559,5.756195,12.398407
190425711338832,321497707410592,-0.55062866,6.127075,12.460541
190425716317634,321497712384957,-0.011810303,6.5059204,12.194565
190425720461227,321497717359323,0.3720703,6.8391876,11.705948
190425725070550,321497722333688,0.58070374,7.039154,11.025681
190425729775498,321497727308053,0.64401245,7.1661224,10.195328
190425734931696,321497732282418,0.66648865,7.198593,9.129883
190425739289665,321497737256784,0.5890503,7.1746063,8.164368
190425749729248,321497742231149,0.38294983,7.126999,7.402359
190425753658259,321497747205514,-0.034240723,6.9075165,6.952881
190425758822738,321497752179879,-0.64390564,6.500839,6.9824066
190425763976696,321497757154245,-1.2601318,6.116806,7.4629517
190425767983988,321497762128610,-2.0222168,5.808853,8.440353
190425773155550,321497767102975,-2.419159,5.3035126,10.1154175
190425778300915,321497772077340,-2.5276184,4.765442,12.102875
190425782210915,321497777051705,-2.26622,4.2892456,14.010712
190425786924196,321497782026071,-1.8058777,3.8121033,15.663605
190425792328415,321497787000436,-1.259491,3.2904205,16.856216
190425798759040,321497791974801,-0.6174011,2.7776947,17.560791
190425802713207,321497796949166,0.09732056,2.3570251,17.769012
190425806365759,321497801923532,0.7812042,2.1158752,17.503113
190425811915082,321497806897897,1.052124,2.103363,16.833954
190425816591436,321497811872262,0.61483765,2.3577423,15.821884
190425821107634,321497816846627,-0.08934021,2.715454,14.557251
190425825705602,321497821820993,-0.6606293,2.9536285,13.1129
190425830636279,321497826795358,-0.9944458,3.0935516,11.578308
190425835748936,321497831769723,-1.1082916,3.174591,10.080154
190425840433831,321497836744088,-1.242569,3.2368927,8.850388
190425845558988,321497841718453,-1.4382324,3.2924042,8.03334
190425849389873,321497846692819,-1.6333923,3.3897705,7.7180023
190425855325863,321497851667184,-1.7773743,3.5529327,7.6720734
190425859760915,321497856641549,-1.9732971,3.6588287,7.720581
190425864360706,321497861615914,-2.2195435,3.7932587,7.8422394
190425869547425,321497866590280,-2.3652344,3.9258118,7.982773
190425873904352,321497871564645,-2.3851318,4.0551453,8.077759
190425883462165,321497876539010,-2.4474335,4.1500854,8.085968
190425887916123,321497881513375,-2.4305267,4.217087,7.9847565
190425893421800,321497886487741,-2.4205322,4.236603,7.844818
190425898261956,321497891462106,-2.3524933,4.269043,7.6601562
190425907132686,321497896436471,-2.032257,4.218628,7.396652
190425907292581,321497901410836,-1.61409,4.11026,7.0858917
190425912097790,321497906385202,-1.2145233,3.9929504,6.7575073
190425917096956,321497911359567,-0.96698,3.8537598,6.4497375
190425921484509,321497916333932,-0.8627014,3.7730103,6.1677856
190425925680186,321497921308297,-0.8237457,3.6986694,5.968918
190425930576384,321497926282662,-0.80163574,3.6362762,5.9033356
