arrival_ts,event_ts,val_x,val_y,val_z,val_w
190425125954769,190425123712833,0.0,0.0,0.0,1.0
190425291535342,190425128504093,0.16617833,0.21321662,0.6741308,0.68736535
190425291932061,190425133295352,0.16728173,0.2115534,0.6749738,0.6867841
190425292303884,190425138086612,0.16798072,0.21036328,0.67572033,0.6862447
190425292654509,190425142908389,0.16882278,0.20919618,0.6765187,0.68560797
190425293014769,190425147699649,0.1698644,0.20825452,0.67729086,0.6848746
190425293317425,190425152490909,0.17137124,0.20727275,0.67806745,0.684028
190425293602269,190425157282169,0.1733915,0.20576014,0.67894214,0.68310744
190425293858936,190425162073428,0.1760872,0.20366955,0.6799045,0.6820864
190425294106540,190425166864688,0.17943116,0.20137706,0.68081886,0.68098265
190425294374665,190425171655948,0.1829924,0.19897358,0.68161213,0.6799472
190425294630550,190425176447208,0.18660223,0.19643976,0.6822733,0.6790391
190425294875811,190425181238468,0.19003893,0.1939266,0.68277675,0.678302
190425295126384,190425186029727,0.19313914,0.19158596,0.68310523,0.67776054
190425295381280,190425190851505,0.19578761,0.18934417,0.683309,0.67742515
190425295631332,190425195642764,0.19791031,0.18725729,0.6834145,0.6772819
190425295884405,190425200434024,0.1994674,0.18532445,0.6834544,0.67731655
190425296173050,190425205225284,0.20041394,0.18358114,0.6834612,0.677505
190425296439873,190425210016544,0.20073152,0.18191278,0.6834846,0.6778373
190425296750550,190425214807803,0.20050158,0.18034165,0.6835421,0.6782671
190425296990811,190425219599063,0.19996452,0.17871623,0.68366784,0.67872894
190425297247113,190425224390323,0.1993804,0.17696959,0.6838676,0.6791571
190425297489144,190425229181583,0.19907051,0.17503355,0.6841237,0.67949164
190425297712425,190425233972843,0.19898228,0.17334466,0.6842876,0.6797854
190425297939040,190425238794620,0.19908074,0.17224124,0.6842433,0.68008155
190425298166488,190425243585880,0.1993124,0.17176712,0.6839664,0.68041205
190425298587634,190425248377139,0.1997055,0.172,0.6834385,0.6807684
190425298883832,190425253168399,0.20022203,0.17281711,0.68270177,0.6811488
190425299151800,190425257959659,0.20093127,0.17404869,0.6818214,0.68150806
190425299411800,190425262750919,0.20180808,0.17555816,0.6808574,0.6818255
190425299649613,190425267542178,0.20291193,0.1772236,0.67986,0.68206227
190425299884925,190425272333438,0.2042245,0.17888263,0.6788658,0.6822277
190425300156696,190425277124698,0.20565978,0.18023758,0.6779158,0.6823845
190425300384457,190425281946475,0.20730335,0.18101084,0.6770439,0.68254805
190425300634300,190425286737735,0.20912889,0.18101886,0.6762569,0.68276924
190425300920655,190425291559512,0.21103187,0.18013737,0.67551935,0.6831469
190425301189040,190425296350772,0.21303856,0.17827034,0.67481625,0.6837085
190425321456123,190425301142032,0.21521318,0.1754058,0.6741007,0.6844738
190425321660863,190425305933292,0.21753061,0.17171672,0.6733187,0.6854456
190425321784978,190425310724552,0.21995568,0.1673476,0.67244387,0.6866102
190425322467165,190425315515811,0.22257751,0.16242027,0.67148745,0.6878834
190425322587530,190425320307071,0.22540514,0.15718785,0.6704424,0.6891962
190425328033259,190425325098331,0.22821963,0.1523118,0.66924536,0.69052696
190425331388988,190425329920108,0.23113766,0.14745878,0.6680578,0.6917586
190425349183415,190425334711368,0.23405509,0.1425823,0.6669104,0.6929062
190425349288780,190425339502628,0.23694338,0.13780072,0.665731,0.6940252
190425349376488,190425344293887,0.23969086,0.1331611,0.6645199,0.6951473
190425352758884,190425349085147,0.24224143,0.12870854,0.66328984,0.69627565
190425358928988,190425353876407,0.24454902,0.12431219,0.66208047,0.6974179
190425360080550,190425358667667,0.24636412,0.12038522,0.6607754,0.6987044
190425368273415,190425363458927,0.24745178,0.1170989,0.6593697,0.700205
190425369845550,190425368250186,0.24773656,0.114367165,0.65794384,0.70189506
190425374383832,190425373041446,0.24737948,0.11201977,0.6565985,0.70365715
190425379513623,190425377863223,0.24658254,0.10985486,0.6554003,0.70539314
190425384047738,190425382654483,0.24551612,0.107774794,0.6543777,0.7070334
190425389807790,190425387445743,0.24433747,0.10575556,0.65350556,0.70855165
190425393541228,190425392237003,0.24317816,0.103851035,0.6527382,0.70993817
190425398339769,190425397028262,0.24208021,0.102084786,0.6520286,0.7112205
190425403622373,190425401819522,0.24105081,0.10048035,0.65134054,0.71242803
190425408315707,190425406610782,0.24007986,0.09909229,0.650635,0.7135941
190425413234352,190425411402042,0.23909876,0.09806814,0.6498666,0.7147642
190425418792686,190425416193302,0.23805787,0.097460546,0.64902276,0.7159604
190425423368415,190425421015079,0.2368869,0.09728027,0.64810765,0.71720123
