arrival_ts,event_ts,val_x,val_y,val_z
190425311336540,190425123712833,0.31854248,-0.16197205,0.08088684
190425311528207,190425128687198,0.30947876,-0.15789795,0.08796692
190425311700082,190425133661563,0.08454895,-0.05293274,0.26759338
190425311871540,190425138635928,0.12756348,-0.021713257,0.2880249
190425312045290,190425143610294,0.186203,0.025161743,0.29821777
190425312224978,190425148584659,0.25325012,0.05706787,0.30003357
190425312396175,190425153559024,0.3222351,0.042556763,0.2936859
190425312553050,190425158533389,0.38882446,0.004333496,0.27638245
190425312711644,190425163507755,0.4486084,-0.038986206,0.2424469
190425312854353,190425168482120,0.50219727,-0.09465027,0.19265747
190425313140446,190425173456485,0.54159546,-0.16073608,0.13087463
190425313294613,190425178430850,0.5612793,-0.21266174,0.06072998
190425313438988,190425183405216,0.56373596,-0.23548889,-0.012283325
190425313578155,190425188379581,0.55062866,-0.23214722,-0.08049011
190425313744665,190425193353946,0.51924133,-0.20613098,-0.13795471
190425313877790,190425198328311,0.47592163,-0.16474915,-0.18043518
190425316668363,190425203302677,0.4225769,-0.11305237,-0.20214844
190425316841280,190425208277042,0.36125183,-0.058258057,-0.20448303
190425316984509,190425213251407,0.29971313,-0.0016784668,-0.19282532
190425317148259,190425218225772,0.24057007,0.044708252,-0.17391968
190425317293623,190425223200137,0.18955994,0.07307434,-0.15409851
190425317424509,190425228174503,0.15101624,0.081100464,-0.14697266
190425317576280,190425233148868,0.13067627,0.0635376,-0.15795898
190425317719092,190425238123233,0.13215637,0.023468018,-0.18508911
190425317848155,190425243097598,0.15917969,-0.035064697,-0.21650696
190425317979925,190425248071964,0.20619202,-0.098236084,-0.24708557
190425318102842,190425253046329,0.2639618,-0.15689087,-0.26800537
190425318225550,190425258020694,0.32026672,-0.1988678,-0.2789154
190425318350082,190425262995059,0.36106873,-0.21780396,-0.28056335
190425318468936,190425267969425,0.37945557,-0.22239685,-0.27734375
190425318613103,190425272943790,0.37451172,-0.23271179,-0.27337646
190425318732842,190425277918155,0.34449768,-0.2772827,-0.26820374
190425318846071,190425282892520,0.29400635,-0.36143494,-0.26350403
190425318972217,190425287866886,0.22956848,-0.49179077,-0.2645874
190425319074925,190425292841251,0.15574646,-0.667511,-0.27282715
190425319201592,190425297815616,0.08792114,-0.8862152,-0.28730774
190425319309873,190425302789981,0.03756714,-1.1253052,-0.30906677
190425319422842,190425307764346,0.0126953125,-1.3554382,-0.33450317
190425319522946,190425312738712,0.0154418945,-1.5523071,-0.36140442
190425323363988,190425317713077,0.03715515,-1.6908875,-0.38980103
190425328462321,190425322687442,0.074661255,-1.7520294,-0.41687012
190425331014925,190425327661807,0.11602783,-1.7220154,-0.43408203
190425348797946,190425332636173,0.15657043,-1.6469879,-0.44758606
190425348938780,190425337610538,0.1955719,-1.5760498,-0.4734192
190425349029873,190425342584903,0.22238159,-1.4899597,-0.51387024
190425352489509,190425347559268,0.22309875,-1.3694,-0.56347656
190425355991332,190425352533634,0.18632507,-1.2153015,-0.6216278
190425359946071,190425357507999,0.117126465,-1.0553894,-0.69918823
190425364468363,190425362482364,0.026275635,-0.90704346,-0.76638794
190425369657113,190425367456729,-0.07546997,-0.77098083,-0.7918396
190425374062790,190425372431095,-0.16764832,-0.6446228,-0.76727295
190425379348519,190425377405460,-0.23951721,-0.5242615,-0.71022034
190425383778103,190425382379825,-0.28448486,-0.42282104,-0.64419556
190425389622842,190425387354190,-0.3018036,-0.33703613,-0.5817871
190425398181800,190425392328555,-0.29693604,-0.26835632,-0.5344238
190425403325759,190425397302921,-0.28111267,-0.20661926,-0.5125427
190425407876227,190425402277286,-0.25471497,-0.15177917,-0.5088196
190425412626696,190425407251651,-0.22491455,-0.09375,-0.5267029
190425417926384,190425412226016,-0.20039368,-0.033599854,-0.5589447
190425423048102,190425417200382,-0.18151855,0.025680542,-0.59225464
190425426978832,190425422174747,-0.17152405,0.08241272,-0.61642456
190425431786384,190425427149112,-0.1747284,0.13214111,-0.62742615
190425439688415,190425432123477,-0.18721008,0.16523743,-0.62693787
190425441500186,190425437097843,-0.20735168,0.1665802,-0.61880493
190425446382530,190425442072208,-0.23329163,0.13464355,-0.60406494
190425451295602,190425447046573,-0.261734,0.07891846,-0.5922241
190425456427165,190425452020938,-0.28974915,0.0049743652,-0.58680725
190425461114769,190425456995303,-0.31297302,-0.08248901,-0.58833313
190425465396488,190425461969669,-0.32861328,-0.17384338,-0.5967865
190425470216175,190425466944034,-0.33848572,-0.26405334,-0.6109314
190425475043363,190425471918399,-0.3403015,-0.34683228,-0.62901306
190425479511175,190425476892764,-0.33535767,-0.41426086,-0.6474762
190425484613884,190425481867130,-0.3298645,-0.46115112,-0.6609802
190425489908311,190425486841495,-0.32121277,-0.47738647,-0.6719513
190425494788415,190425491815860,-0.30776978,-0.458313,-0.6770935
190425499152790,190425496790225,-0.291214,-0.41163635,-0.6792755
190425504996175,190425501764591,-0.2652893,-0.34306335,-0.6806488
190425508830915,190425506738956,-0.22872925,-0.26426697,-0.677063
190425513868519,190425511713321,-0.18389893,-0.18209839,-0.6776886
190425518710602,190425516687686,-0.13381958,-0.10247803,-0.6795349
190425525105446,190425521662052,-0.08250427,-0.020767212,-0.6838684
190425532857530,190425526636417,-0.038879395,0.051513672,-0.6837311
190425537860238,190425531610782,-0.002105713,0.1210022,-0.67793274
190425542115498,190425536585147,0.02458191,0.18605042,-0.6611481
190425546805082,190425541559512,0.039382935,0.24098206,-0.6367798
190425551716332,190425546533878,0.042251587,0.27990723,-0.61694336
190425556949717,190425551508243,0.035476685,0.3010559,-0.61065674
190425561520655,190425556482608,0.018508911,0.30436707,-0.614624
190425566483571,190425561456973,-0.0043640137,0.29930115,-0.62023926
190425570757530,190425566431339,-0.028793335,0.29109192,-0.6215973
190425575389405,190425571405704,-0.050857544,0.28419495,-0.6148529
190425580348884,190425576380069,-0.066986084,0.28125,-0.5981293
190425585267321,190425581354434,-0.07800293,0.28599548,-0.5730438
190425590211852,190425586328800,-0.083099365,0.3041687,-0.5443573
190425595040238,190425591303165,-0.07836914,0.33647156,-0.5110779
190425600181280,190425596265573,-0.060775757,0.3798523,-0.47488403
190425604596280,190425601239938,-0.029067993,0.42895508,-0.43702698
190425609427894,190425606214304,0.014709473,0.47758484,-0.40078735
190425613965082,190425611188669,0.064819336,0.5201874,-0.36476135
190425618659977,190425616163034,0.114471436,0.5545807,-0.3301239
190425623625394,190425621137399,0.16375732,0.5758972,-0.3037262
