arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
190426713031956,-162,736,1432,378,-164,true,148,0.0,-1.0,false,false,106
190427704722216,796,775,1465,393,-388,true,151,0.0,-1.0,false,false,96
190428694768518,1774,735,1349,467,141,true,142,0.0,-1.0,false,false,200
190429597399559,2732,715,1271,615,162,true,141,0.0,-1.0,false,false,174
190430540299767,3670,735,1357,706,187,true,152,0.0,-1.0,false,false,225
190431530725392,4628,755,1394,883,161,true,165,0.0,-1.0,false,false,249
190432523794923,5606,735,1344,800,175,true,156,0.0,-1.0,false,false,301
190433697667943,6564,775,1316,1039,-240,true,167,0.0,-1.0,false,false,271
190434868318724,7542,735,1134,1122,-235,true,159,0.0,-1.0,false,false,335
190435451830807,8460,756,1101,917,-386,true,143,0.0,-1.0,false,false,384
190436622689400,9418,756,1208,755,-184,true,142,0.0,-1.0,false,false,348
190437788742629,10396,756,1191,923,-121,true,150,0.0,-1.0,false,false,380
190438372508931,11374,756,1129,1048,-383,true,154,0.0,-1.0,false,false,385
190439542721847,12352,736,932,1018,54,true,138,0.0,-1.0,false,false,414
190440722400388,13310,756,1055,881,117,true,137,0.0,-1.0,false,false,392
190441310801690,14288,756,1079,947,-280,true,143,0.0,-1.0,false,false,359
190442468999606,15226,776,1084,627,-118,true,125,0.0,-1.0,false,false,306
190443640966846,16204,756,1231,749,143,true,144,0.0,-1.0,false,false,292
190444223719710,17182,755,1496,893,53,true,174,0.0,-1.0,false,false,105
190445396796793,18160,775,1266,-142,-44,true,127,0.0,-1.0,false,true,3338
190446571410594,19118,756,1693,-796,36,true,187,0.0,-1.0,false,true,3148
190447156734709,20096,736,1248,-820,195,true,149,0.0,-1.0,false,true,3111
190448322054969,21054,756,1023,-1180,-93,true,156,0.0,-1.0,false,true,3033
190448908027000,22032,716,1223,-1043,-283,true,160,0.0,-1.0,false,true,3176
190450073939447,22950,756,1412,-699,-60,true,157,0.0,-1.0,false,true,3264
190451247084655,23888,716,1556,-85,-156,true,155,0.0,-1.0,false,true,3527
190451829821790,24826,736,1249,442,187,true,132,0.0,-1.0,false,false,208
190453000889602,25784,596,642,651,135,true,91,0.0,-1.0,false,false,435
190454174525071,26701,677,518,495,131,true,71,0.0,-1.0,false,false,576
190454758402675,27740,836,926,735,-114,true,118,0.0,-1.0,false,false,399
190455924734653,28838,656,-53,-293,729,true,29,0.0,-1.0,false,false,507
190457095128507,29855,697,276,195,1092,true,33,0.0,-1.0,false,false,513
190458262843298,30993,656,114,293,899,true,31,0.0,-1.0,false,false,466
190459435272725,32051,616,360,576,154,true,67,0.0,-1.0,false,false,479
190460608304912,33108,617,255,679,167,true,72,0.0,-1.0,false,false,507
190461188569651,34146,617,312,472,386,true,56,0.0,-1.0,false,false,514
190462359180120,35204,597,446,260,476,true,51,0.0,-1.0,false,false,507
190463533155275,36282,616,-49,414,952,true,41,0.0,-1.0,false,false,620
190464699482879,37360,696,343,826,157,true,89,0.0,-1.0,false,false,758
190465869966785,38358,836,255,1495,218,true,151,0.0,-1.0,false,true,794
190466456782462,39396,776,496,1553,189,true,163,0.0,-1.0,false,false,607
190468211414388,40334,756,337,1688,61,true,172,0.0,-1.0,false,false,607
190468213406003,41272,796,989,1086,80,true,146,0.0,-1.0,false,false,540
190469382536054,42250,756,1036,1007,120,true,144,0.0,-1.0,false,false,495
190470552029439,43208,756,778,1290,-27,true,150,0.0,-1.0,false,false,506
190471135052148,44166,756,990,1463,-222,true,176,0.0,-1.0,false,false,472
