arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
190429102653726,769,736,-1243,-772,-44,true,146,0.0,-1.0,false,true,1992
190430095468934,1707,736,-1353,-796,-97,true,156,0.0,-1.0,false,true,2028
190431082750027,2666,736,-1430,-689,38,true,158,0.0,-1.0,false,true,2052
190432072760496,3625,756,-1077,-853,-83,true,137,0.0,-1.0,false,true,2102
190433021188360,4583,777,-1223,-881,-17,true,150,0.0,-1.0,false,true,2095
190434281136641,5583,715,-1239,-788,-95,true,146,0.0,-1.0,false,true,2137
190434870885391,6500,757,-1333,-925,-133,true,162,0.0,-1.0,false,true,2145
190436037124348,7459,737,-1257,-1120,-112,true,168,0.0,-1.0,false,true,2166
190437212688671,8438,736,-977,-1075,-40,true,145,0.0,-1.0,false,true,2145
190437791263775,9416,737,-960,-1052,143,true,142,0.0,-1.0,false,true,2179
190439155599399,10375,756,-967,-1040,-34,true,142,0.0,-1.0,false,true,2180
190440131524816,11354,736,-880,-1068,164,true,138,0.0,-1.0,false,true,2200
190440731023305,12292,777,-697,-1401,-313,true,156,0.0,-1.0,false,true,2331
190441890723357,13271,715,-1171,-950,-18,true,150,0.0,-1.0,false,true,2159
190443060289606,14209,756,-1232,-581,-28,true,136,0.0,-1.0,false,true,2086
190443643172366,15227,737,-1240,-372,-105,true,129,0.0,-1.0,false,true,1953
190444813822783,16186,756,-1542,-327,-188,true,157,0.0,-1.0,false,true,1679
190445984020386,17165,756,-1288,674,-28,true,145,0.0,-1.0,false,true,1375
190446574321063,18143,717,-1016,961,65,true,139,0.0,-1.0,false,true,1258
190447738458979,19062,756,-939,949,273,true,133,0.0,-1.0,false,true,1222
190448908906531,20041,756,-1086,1070,-27,true,152,0.0,-1.0,false,true,1230
190449491032312,20979,757,-1124,866,-7,true,141,0.0,-1.0,false,true,1377
190450662305385,21918,736,-1213,599,160,true,135,0.0,-1.0,false,true,1533
190451248140488,22817,816,-1352,-18,267,true,135,0.0,-1.0,false,true,1820
190452419095176,23836,636,-541,-577,-163,true,79,0.0,-1.0,false,true,2077
190453590267623,24734,657,-36,-586,582,true,58,0.0,-1.0,false,true,2063
190454765688091,25792,657,-131,-613,534,true,62,0.0,-1.0,false,true,1948
190455342324810,26811,657,-1038,-762,74,true,128,0.0,-1.0,false,true,2144
190456511152153,27869,657,-562,-369,511,true,67,0.0,-1.0,false,true,2067
190457682629653,28888,737,-547,-315,272,true,63,0.0,-1.0,false,true,2017
190458857487569,30027,636,-494,-443,173,true,66,0.0,-1.0,false,true,2025
190460024355016,31085,677,-201,-477,458,true,51,0.0,-1.0,false,true,2118
190460612960381,32124,636,-115,-250,9,true,27,0.0,-1.0,false,true,2027
190461780142412,33202,617,-562,-284,268,true,62,0.0,-1.0,false,true,2050
190462950199494,34240,637,-351,-458,370,true,57,0.0,-1.0,false,true,2110
190464118607931,35379,597,-187,-482,327,true,51,0.0,-1.0,false,true,2147
190465285399389,36197,138,-4,-3,4,true,0,0.0,-1.0,false,true,2001
190465287187306,36435,799,-778,-1281,151,true,149,0.0,-1.0,false,true,2371
190466459701056,37437,736,-602,-1248,-62,true,138,0.0,-1.0,false,true,2391
190467041217982,38375,736,-611,-1345,161,true,147,0.0,-1.0,false,true,2271
190468214677930,39294,776,-1104,-1037,129,true,151,0.0,-1.0,false,true,2045
190468797667565,40292,757,-1374,-1028,-99,true,171,0.0,-1.0,false,true,2075
190469966157408,41251,756,-1403,-823,-138,true,162,0.0,-1.0,false,true,2076
