arrival_ts,event_ts,val_x,val_y,val_z,val_w,accuracy
59134109765806,59134090846492,0.29079378,-0.080844656,-0.19607367,0.9329835,0.0
59134109905649,59134095637752,0.2899612,-0.07963007,-0.19884484,0.9327606,0.0
59134110048254,59134100429011,0.2913666,-0.07969835,-0.20036574,0.93199104,0.0
59134110157941,59134105220271,0.2927791,-0.080504954,-0.19766788,0.9320551,0.0
59134113044504,59134110011531,0.29415572,-0.08137815,-0.19524866,0.9320558,0.0
59134116331431,59134114802791,0.2959754,-0.08237025,-0.19152603,0.93216497,0.0
59134121110754,59134119594051,0.2979461,-0.083179824,-0.18783014,0.9322173,0.0
59134146394139,59134124385310,0.30002514,-0.08374324,-0.18436833,0.93219113,0.0
59134146464191,59134129176570,0.30208048,-0.08408149,-0.18102948,0.93215126,0.0
59134146535910,59134133967830,0.3041585,-0.08411524,-0.17843682,0.9319724,0.0
59134146604452,59134138789607,0.30616036,-0.08387282,-0.17658098,0.9316922,0.0
59134146671899,59134143550349,0.3079455,-0.08340847,-0.17574559,0.93130344,0.0
59134149817785,59134148372127,0.30961406,-0.0829063,-0.17489071,0.93095595,0.0
59134155460024,59134153163386,0.31073087,-0.08227566,-0.1758773,0.9304538,0.0
59134159442420,59134157954646,0.31142882,-0.081641845,-0.17699799,0.93006366,0.0
59134164107733,59134162745906,0.31179002,-0.081137754,-0.17795515,0.9298041,0.0
59134169276327,59134167537166,0.3120683,-0.08077298,-0.17883442,0.9295737,0.0
59134174915806,59134172328426,0.31182742,-0.08073956,-0.17968208,0.929494,0.0
59134178779764,59134177119685,0.31144583,-0.08092623,-0.18018018,0.9295093,0.0
59134183378722,59134181910945,0.31098434,-0.081363104,-0.18067421,0.9295298,0.0
59134187974712,59134186702205,0.31050995,-0.082019284,-0.18121865,0.9295247,0.0
59134193034399,59134191493465,0.31002712,-0.08293688,-0.18168746,0.9295129,0.0
59134197842837,59134196284724,0.30948156,-0.08395356,-0.18202104,0.92953825,0.0
59134202493097,59134201075984,0.30894017,-0.08503634,-0.18238007,0.9295495,0.0
59134208191639,59134205867244,0.308458,-0.08610811,-0.18278134,0.9295322,0.0
59134212226274,59134210658504,0.30809492,-0.08722925,-0.18276109,0.929552,0.0
59134217147681,59134215449763,0.30796522,-0.08828064,-0.18199651,0.9296458,0.0
59134221773149,59134220241023,0.30811563,-0.08919812,-0.18071818,0.9297577,0.0
59134226282264,59134225032283,0.3084413,-0.089947954,-0.17906252,0.9298978,0.0
59134231400858,59134229823543,0.3088365,-0.090539135,-0.17735812,0.9300359,0.0
59134236602629,59134234614802,0.30911258,-0.09092703,-0.17559326,0.9302412,0.0
59134241943618,59134239406062,0.3095069,-0.091081366,-0.174078,0.93037975,0.0
59134245623462,59134244197322,0.3101754,-0.09111518,-0.17224945,0.9304941,0.0
59134250588202,59134248988582,0.31095254,-0.09127559,-0.16993035,0.93064547,0.0
59134255129399,59134253779842,0.311504,-0.09141069,-0.1683339,0.9307379,0.0
59134260204972,59134258571101,0.31160474,-0.09147058,-0.1682844,0.9307073,0.0
59134264625910,59134263362361,0.3114761,-0.091434605,-0.16913666,0.93059933,0.0
59134269550701,59134268153621,0.31126264,-0.091378294,-0.17015769,0.93049014,0.0
59134274747316,59134272944881,0.31097054,-0.09127035,-0.17109983,0.93042564,0.0
59134279864035,59134277736140,0.31052375,-0.091164246,-0.17216058,0.9303896,0.0
59134283892576,59134282527400,0.3098691,-0.091104396,-0.17333567,0.93039554,0.0
59134288517733,59134287318660,0.3090997,-0.09115136,-0.17469385,0.93039286,0.0
