arrival_ts,event_ts,val_x,val_y,val_z
62821848885700,62821829254837,0.20600891,4.1037903,8.97731
62821848981377,62821834229202,0.20600891,4.1037903,8.97731
62821849062992,62821839203568,0.20600891,4.1037903,8.97731
62821849138461,62821844177933,0.20600891,4.1037903,8.97731
62821854267419,62821849152298,0.20600891,4.1037903,8.97731
62821872083982,62821854126663,0.20600891,4.1037903,8.97731
62821872299190,62821859101029,0.2305603,4.0744934,8.899841
62821872441482,62821864075394,0.268219,4.010956,8.787323
62821879675388,62821869049759,0.2727356,3.9865417,8.797714
62821879884502,62821874024124,0.25706482,4.0023804,8.83316
62821887530075,62821878998490,0.21614075,4.0320435,8.896301
62821889061377,62821883972855,0.13612366,4.0328064,8.916702
62821899782836,62821888947220,0.046798706,4.023346,8.896454
62821899897888,62821893921585,-0.0073242188,4.031845,8.919357
62821901502888,62821898895951,0.018554688,4.056717,8.949921
62821906537419,62821903870316,0.09043884,4.07251,8.975052
62821911427784,62821908844681,0.1526947,4.047409,9.000534
62821915770388,62821913819046,0.20402527,4.0624084,8.996338
62821921484555,62821918793411,0.25169373,4.0638275,8.996094
62821925259763,62821923767777,0.29678345,4.0292053,8.992218
62821929994554,62821928742142,0.3017273,4.057968,8.892227
62821935171690,62821933716507,0.2902069,4.09523,8.801132
62821939985648,62821938690872,0.27540588,4.127716,8.704529
62821952725648,62821943665238,0.26104736,4.1540375,8.64949
62821952841169,62821948639603,0.26104736,4.1540375,8.64949
62821957672523,62821953613968,0.26104736,4.1540375,8.64949
62821961928513,62821958588333,0.26104736,4.1540375,8.64949
62821966858513,62821963562699,0.30136108,4.080841,8.7495575
62821972919086,62821968537064,0.3430786,4.0272675,8.849442
62821977166950,62821973511429,0.3704071,3.9956055,8.894775
62821981078044,62821978485794,0.35177612,4.001816,8.947968
62821986327679,62821983460160,0.36099243,4.024811,9.001999
62821991130023,62821988434525,0.3779602,3.9966583,8.997696
62821996245075,62821993408890,0.36445618,3.9787903,8.967712
62822000521429,62821998383255,0.37213135,3.9409485,8.967194
62822006650440,62822003357620,0.36686707,3.9274292,8.954468
62822010950232,62822008331986,0.3731842,3.9244232,8.939667
62822015257523,62822013306351,0.3378296,3.9290771,8.941406
62822024973409,62822018280716,0.37513733,3.907425,8.92392
62822029607732,62822023255081,0.34828186,3.901947,8.89975
62822034456898,62822028229447,0.29492188,3.8967743,8.882507
62822041337575,62822033203812,0.2523346,3.9405975,8.845932
