arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
62831556451686,172785,939,-207,-1183,99,true,120,0.0,-1.0,false,true,2635
62833308845540,174107,855,-797,-1369,-35,true,158,0.0,-1.0,false,true,2497
62834476335018,175344,795,-919,-1190,210,true,150,0.0,-1.0,false,true,2464
62835645147987,176461,796,-706,-1329,-32,true,150,0.0,-1.0,false,true,2503
62836235021580,177579,836,-866,-1081,23,true,138,0.0,-1.0,false,true,2300
62837992614548,178757,855,-1052,-677,-5,true,125,0.0,-1.0,false,true,2066
62839159891371,180054,915,-1220,152,-76,true,122,0.0,-1.0,false,true,1815
62840328581475,181372,855,-777,-579,-103,true,96,0.0,-1.0,false,true,2676
62841499900693,182689,795,226,-1220,65,true,124,0.0,-1.0,false,true,2983
62842670299807,183906,796,282,-1521,255,true,154,0.0,-1.0,false,true,3041
62843843130692,185084,815,514,-1388,26,true,148,0.0,-1.0,false,true,3106
62845010125275,186302,835,451,-1292,106,true,136,0.0,-1.0,false,true,3081
62846179548139,187499,796,705,-1221,19,true,140,0.0,-1.0,false,true,3133
62847937212617,188677,835,628,-1079,102,true,124,0.0,-1.0,false,true,3234
62849110569700,190070,799,449,-196,120,true,48,0.0,-1.0,false,false,346
62853787556834,195040,520,-143,192,-17,true,23,0.0,-1.0,false,true,1126
62855543508708,196338,858,-327,1083,186,true,113,0.0,-1.0,false,true,1231
62856708994489,197679,835,-521,1158,-20,true,126,0.0,-1.0,false,true,1285
62857878985426,198936,795,-584,1160,108,true,129,0.0,-1.0,false,true,1383
62859052552092,200113,856,-517,1163,27,true,127,0.0,-1.0,false,true,1275
62860216858550,201311,815,-707,1195,18,true,138,0.0,-1.0,false,true,1306
62861388628810,202448,836,-559,1210,-44,true,133,0.0,-1.0,false,true,1282
62862561983393,203626,835,-621,1144,-153,true,130,0.0,-1.0,false,true,1295
62863730271414,204804,795,-427,1440,110,true,150,0.0,-1.0,false,true,1280
62864897939486,205961,816,-623,1327,89,true,146,0.0,-1.0,false,true,1315
62866073759538,207119,815,-655,1125,-164,true,130,0.0,-1.0,false,true,1327
62867239404746,208276,836,-627,1357,140,true,149,0.0,-1.0,false,true,1292
62868411844224,209454,835,-658,1346,-30,true,149,0.0,-1.0,false,true,1345
62869579502140,210612,835,-406,1151,-7,true,122,0.0,-1.0,false,true,1184
62870752191984,211809,815,171,1584,189,true,159,0.0,-1.0,false,true,887
62871921988390,213007,855,719,1326,215,true,150,0.0,-1.0,false,true,863
62873673130420,214364,835,-334,702,-22,true,77,0.0,-1.0,false,true,1433
62884204695260,225777,579,-106,158,7,true,19,0.0,-1.0,false,true,1500
62884791324218,226577,158,-20,16,-9,true,2,0.0,-1.0,false,true,1521
62886550278540,227373,919,-486,1266,56,true,135,0.0,-1.0,false,true,1224
62887719520259,228654,854,-253,1408,91,true,143,0.0,-1.0,false,true,1161
62888886658331,229831,815,-480,1461,78,true,153,0.0,-1.0,false,true,1213
62890055896768,230948,816,-219,1490,199,true,150,0.0,-1.0,false,true,1213
62891222838799,232106,815,-506,1132,-44,true,123,0.0,-1.0,false,true,1342
62892398837340,233303,895,-660,1239,-242,true,140,0.0,-1.0,false,true,1190
62894404607027,234541,895,-118,1465,124,true,146,0.0,-1.0,false,true,1141
62894732217756,235818,875,61,1397,56,true,139,0.0,-1.0,false,true,903
62895910589162,237056,775,525,1369,134,true,146,0.0,-1.0,false,false,700
62897072688588,238213,815,1077,1009,149,true,147,0.0,-1.0,false,false,575
62898248570098,239390,816,1004,805,96,true,128,0.0,-1.0,false,false,552
62899418365254,240548,815,927,863,-3,true,126,0.0,-1.0,false,false,572
62900585592858,241706,815,934,753,0,true,119,0.0,-1.0,false,false,683
62901754601191,242883,855,228,1115,4,true,113,0.0,-1.0,false,true,1019
62902928442909,244041,835,-29,1374,-51,true,137,0.0,-1.0,false,true,1060
62904097002804,245218,815,-217,1364,255,true,138,0.0,-1.0,false,true,1108
62905263885825,246396,795,-253,1289,-140,true,131,0.0,-1.0,false,true,1091
62906436502387,247573,795,-222,1348,-100,true,136,0.0,-1.0,false,true,1082
62907607838428,248750,816,-120,1538,-47,true,154,0.0,-1.0,false,true,1108
62908774266709,249928,817,-85,1217,80,true,121,0.0,-1.0,false,true,1124
62909948649833,251086,795,-334,1305,119,true,134,0.0,-1.0,false,true,1212
62911113977802,252243,815,-461,1256,66,true,133,0.0,-1.0,false,true,1251
62912284669155,253441,816,-471,1156,-156,true,124,0.0,-1.0,false,true,1350
62913460243009,254638,815,-605,1131,8,true,128,0.0,-1.0,false,true,1289
62914625797019,255835,836,-449,1376,33,true,144,0.0,-1.0,false,true,1152
62915796963685,257033,835,18,1429,64,true,142,0.0,-1.0,false,true,868
62917551203060,258270,875,797,942,144,true,123,0.0,-1.0,false,false,455
62923987441078,265631,559,255,92,81,true,27,0.0,-1.0,false,false,543
62924571703422,266252,198,0,-12,-23,true,1,0.0,-1.0,false,false,572
62925739377223,266949,858,1173,977,200,true,152,0.0,-1.0,false,false,572
62926909861858,268149,835,916,959,-70,true,132,0.0,-1.0,false,false,643
62928080662483,269347,815,817,1028,-129,true,131,0.0,-1.0,false,false,629
62929834217013,270564,875,895,1075,63,true,139,0.0,-1.0,false,false,637
