arrival_ts,event_ts,val_x,val_y,val_z
62821872850857,62821863770218,-0.47454834,-32.192993,-14.657593
62821887773982,62821883118363,-0.9109497,-32.121277,-15.284729
62821903192107,62821902313919,-0.04425049,-32.336426,-14.117432
62821922595284,62821921448441,0.009155273,-32.885742,-12.831116
62821944067992,62821940674515,0.6072998,-32.533264,-14.512634
62821961191482,62821959870072,1.5640259,-32.5119,-13.366699
62821980212054,62821979126663,0.9994507,-32.69043,-13.182068
62821999463877,62821998383255,0.80566406,-32.658386,-12.524414
62822019266221,62822017609329,0.9399414,-32.83844,-12.705994
62822038333513,62822036774368,1.4175415,-32.940674,-12.818909
62822057456377,62822056000443,1.6860962,-32.958984,-12.463379
62822076403096,62822075226517,1.1016846,-32.460022,-13.713074
62822095388044,62822094483109,1.1169434,-32.318115,-13.493347
62822115180909,62822113678665,1.3687134,-32.70874,-12.786865
62822134464294,62822132904740,1.335144,-32.45392,-12.524414
62822153639711,62822152161331,1.1627197,-32.435608,-12.237549
62822173280231,62822171356888,1.5548706,-32.780457,-12.237549
62822193866429,62822190582962,1.524353,-32.75757,-12.005615
62822212643669,62822209809036,1.6235352,-32.717896,-11.967468
62822232185492,62822229035111,1.876831,-32.99408,-11.871338
62822250607836,62822248261185,1.8112183,-32.980347,-12.098694
62822270175336,62822267487259,1.9348145,-32.807922,-11.701965
62822289010336,62822286743851,1.6906738,-33.000183,-12.414551
62822307927367,62822305939408,1.7578125,-33.05359,-12.184143
62822327507888,62822325165482,1.612854,-33.2489,-12.207031
62822347163096,62822344635697,1.6220093,-33.221436,-11.4227295
62822366847419,62822363800736,1.6311646,-33.496094,-12.005615
62822385914398,62822382996292,1.6494751,-33.703613,-11.807251
62822405114346,62822402161331,1.6555786,-33.709717,-11.714172
62822425999606,62822421326370,1.9119263,-33.755493,-11.541748
62822445319554,62822440552445,1.9500732,-33.744812,-11.683655
62822462644450,62822459748001,1.8798828,-33.535767,-11.924744
62822481728252,62822478974076,1.6998291,-33.62732,-11.769104
62822499611117,62822498230667,1.701355,-33.70514,-11.7630005
62822520691586,62822517700882,1.8234253,-33.80127,-11.439514
62822539441690,62822536896439,1.9165039,-33.64258,-11.456299
62822559342054,62822556061478,1.8692017,-33.683777,-11.451721
62822594465283,62822575287552,1.7654419,-33.332825,-11.470032
62822619590752,62822594452591,1.625061,-33.685303,-11.482239
62822619768721,62822613617630,1.663208,-33.522034,-11.58905
62822649147002,62822632782669,1.2695312,-33.525085,-11.657715
62822652693825,62822652008743,1.1383057,-33.457947,-12.11853
62822672948617,62822671234818,1.2954712,-33.972168,-10.748291
62822691530388,62822690491410,1.5701294,-33.91571,-10.954285
62822712235023,62822709686966,1.8356323,-33.93097,-10.644531
62822730510700,62822728913040,2.090454,-33.895874,-11.125183
62822750908148,62822748139115,2.1484375,-33.903503,-10.98938
62822768704346,62822767395706,1.6281128,-33.92334,-10.818481
62822789560179,62822786621781,1.8478394,-34.014893,-11.149597
62822807449033,62822805817337,1.9226074,-34.306335,-10.855103
62822827532731,62822825043411,2.2232056,-34.347534,-10.731506
62822845954242,62822844300003,2.2842407,-34.318542,-10.551453
62822865606273,62822863556595,1.9973755,-34.092712,-11.105347
62822883826846,62822882721634,1.9012451,-34.249878,-11.135864
62822903300023,62822901947708,1.3931274,-34.35669,-10.820007
62822923853096,62822921173783,2.0111084,-34.451294,-10.98938
62822942409815,62822940430374,2.3605347,-34.33838,-10.832214
62822962762940,62822959625931,2.0843506,-34.625244,-10.704041
62822981781117,62822978882523,2.2491455,-34.446716,-10.4019165
62823000036377,62822998078079,2.571106,-34.309387,-10.61554
62823020652992,62823017334671,2.355957,-34.45282,-10.269165
62823038998981,62823036530228,2.1133423,-34.379578,-10.26001
62823057248877,62823055756302,2.4429321,-34.327698,-10.375977
62823078031377,62823074982376,2.3880005,-34.32312,-10.464478
62823095863408,62823094238968,2.2491455,-34.292603,-10.366821
62823115326064,62823113434525,2.4871826,-34.32312,-10.424805
62823135028981,62823132660599,2.3620605,-34.265137,-10.144043
62823153146221,62823151947708,2.0065308,-34.065247,-10.321045
62823172312367,62823171112747,1.8539429,-34.024048,-10.40802
62823191655856,62823190369339,2.0767212,-34.274292,-10.079956
62823210691533,62823209564896,2.3025513,-34.3338,-10.321045
62823230747835,62823228821488,2.0874023,-34.32007,-10.586548
62823249495283,62823248017044,2.1438599,-34.17206,-10.461426
62823269083252,62823267273636,2.4017334,-34.14154,-10.247803
62823287798825,62823286469193,2.4505615,-34.37195,-10.279846
62823307361898,62823305695267,2.545166,-34.25293,-10.293579
62823326970075,62823324921341,2.7145386,-34.0744,-10.594177
62823345882627,62823344177933,2.581787,-34.2041,-10.438538
62823366246169,62823363373490,2.6489258,-34.257507,-10.20813
62823384848408,62823382599564,2.4261475,-34.15985,-10.571289
62823404226898,62823401825638,2.3742676,-34.350586,-10.647583
62823423210752,62823421082230,2.3666382,-34.266663,-10.745239
62823443031377,62823440338822,2.4642944,-34.14917,-10.713196
62823460751741,62823459503861,2.3422241,-34.13391,-10.383606
62823480144606,62823478760452,2.0111084,-34.065247,-10.923767
62823499932262,62823497956009,2.5497437,-34.098816,-10.861206
62823518679189,62823517182083,2.5497437,-33.984375,-10.823059
62823538085752,62823536408158,2.4139404,-34.072876,-10.716248
62823557572210,62823555634232,2.2338867,-34.048462,-10.520935
62823576136898,62823574860306,2.2537231,-33.9859,-10.897827
62823595771533,62823594086380,2.0141602,-33.876038,-10.844421
62823614884918,62823613312454,2.1209717,-33.921814,-10.708618
62823636039814,62823632538529,2.4642944,-33.995056,-10.678101
62823653257158,62823651764603,1.9073486,-33.869934,-10.977173
62823672635075,62823671021195,1.9714355,-33.998108,-10.787964
62823691477002,62823690247269,2.0721436,-33.843994,-10.71167
62823710573720,62823709473343,2.3757935,-34.00116,-11.227417
62823730457210,62823728729935,1.9165039,-34.031677,-10.873413
62823749532783,62823747894974,2.407837,-33.758545,-10.73761
62823768744658,62823767121048,2.4795532,-34.043884,-11.138916
62823788208929,62823786377640,2.2735596,-33.7677,-11.238098
62823807388616,62823805573197,2.178955,-33.84857,-11.227417
62823827071793,62823824799271,2.519226,-33.920288,-11.242676
62823845958773,62823844025345,2.1942139,-34.092712,-11.071777
62823864679398,62823863281937,2.0599365,-33.947754,-11.53717
62823885533148,62823882508011,1.914978,-33.911133,-11.531067
62823903991793,62823901703568,1.8814087,-33.924866,-11.341858
62823924279293,62823920929642,2.29187,-33.779907,-11.654663
62823943210647,62823940155716,2.2201538,-33.839417,-11.97052
62823962030179,62823959412308,2.180481,-33.73108,-11.836243
62823980299606,62823978638382,1.8722534,-33.647156,-11.407471
62823999303668,62823997864456,2.105713,-33.59375,-12.1658325
62824019087262,62824017121048,2.2659302,-33.83484,-12.019348
62824037785283,62824036286087,2.0751953,-33.95996,-11.351013
62824056735022,62824055542679,1.8188477,-33.525085,-12.107849
62824076503981,62824074768753,1.789856,-34.007263,-11.2854
62824096382991,62824094025345,1.5487671,-33.470154,-11.817932
62824114939189,62824113251419,1.6098022,-33.789062,-11.706543
62824134549606,62824132721634,0.98876953,-33.4198,-12.158203
62824153405283,62824151886673,0.96435547,-33.24585,-12.446594
62824173038304,62824171082230,1.6372681,-33.654785,-11.949158
62824191847991,62824190247269,1.6281128,-33.53424,-11.401367
62824212166689,62824209412308,1.8661499,-33.52661,-11.462402
62824231070022,62824228577347,1.4205933,-33.488464,-11.576843
62824249647054,62824247803421,1.7608643,-33.598328,-11.58905
62824268779293,62824267029495,2.0355225,-33.348083,-11.7630005
62824287863408,62824286316605,1.8951416,-33.58612,-11.737061
62824308186793,62824305481644,1.8890381,-33.61969,-11.827087
62824326428616,62824324677201,2.34375,-33.628845,-11.576843
62824347078564,62824344177933,2.39563,-33.82263,-11.566162
62824365909033,62824363342972,2.1987915,-33.97827,-11.634827
62824385460387,62824382508011,2.0492554,-33.90045,-11.677551
62824404505126,62824401703568,2.0965576,-33.821106,-11.686707
62824423532314,62824420868607,2.2018433,-33.706665,-12.210083
62824442891481,62824440064163,1.9134521,-33.444214,-12.11853
62824460846845,62824459259720,1.9302368,-33.998108,-11.988831
62824479803876,62824478516312,2.0370483,-33.81195,-11.82251
62824499266429,62824497711868,1.5808105,-33.7265,-12.078857
62824519224293,62824516937943,1.5823364,-33.80432,-12.07428
62824537925960,62824536164017,2.142334,-33.702087,-11.697388
62824559516428,62824555390091,1.8936157,-33.547974,-11.740112
62824575602418,62824574646683,1.8661499,-33.3313,-12.077332
62824595281845,62824593842240,1.2115479,-33.555603,-11.791992
62824614144293,62824613068314,1.1001587,-33.314514,-11.940002
62824633267053,62824632294388,1.3519287,-33.317566,-11.816406
62824652747887,62824651550980,1.4221191,-33.566284,-11.572266
62824672836533,62824670746536,2.027893,-33.53882,-11.239624
62824692047783,62824690003128,1.9699097,-33.569336,-11.3723755
62824711590908,62824709229202,2.0614624,-33.6792,-11.462402
62824730268408,62824728455277,2.206421,-33.636475,-11.474609
62824749629866,62824747650833,2.0019531,-33.59375,-11.604309
62824769564085,62824766876908,2.0355225,-33.694458,-11.830139
62824788872314,62824786102982,2.2094727,-33.444214,-12.043762
62824806722522,62824805329056,2.0690918,-33.79669,-12.057495
62824825939345,62824824555130,1.9424438,-33.70056,-11.778259
62824846200855,62824843781204,2.191162,-33.89435,-11.734009
62824866448876,62824863037796,2.6641846,-33.914185,-11.898804
62824886043147,62824882233353,2.5650024,-33.83789,-11.898804
62824906335283,62824901489945,2.2888184,-33.970642,-11.734009
62824923216689,62824920685501,2.4978638,-33.706665,-12.135315
62824941966428,62824939911576,2.3986816,-33.744812,-12.173462
62824960860647,62824959229202,2.3010254,-33.668518,-12.171936
62824979884918,62824978394242,2.0843506,-33.732605,-11.830139
62824999382574,62824997620316,2.5436401,-33.63037,-11.495972
62825019376376,62825016846390,2.684021,-33.73871,-11.58905
62825038980699,62825036041947,2.6870728,-33.74176,-11.541748
62825057523303,62825055268021,2.7053833,-33.406067,-11.891174
62825075761376,62825074494095,2.2033691,-33.633423,-11.520386
62825095630126,62825093720169,2.836609,-33.473206,-11.431885
62825115849501,62825112946243,2.3345947,-33.351135,-11.64093
62825134012262,62825132172318,2.6229858,-33.615112,-11.083984
62825153457157,62825151428910,2.0812988,-33.580017,-11.193848
62825172590543,62825170624466,2.670288,-33.57544,-11.090088
62825192178668,62825189881058,2.5772095,-33.580017,-11.038208
62825211477887,62825209076615,2.658081,-33.488464,-11.235046
62825230533303,62825228333206,2.7374268,-33.511353,-11.468506
62825250597366,62825247528763,2.6641846,-33.413696,-11.795044
62825269080334,62825266754837,2.7679443,-33.45642,-11.706543
62825288610439,62825285980911,2.9174805,-33.494568,-11.665344
62825308271116,62825305206986,2.9632568,-33.377075,-11.677551
62825326122991,62825324433060,2.8198242,-33.61206,-11.698914
62825346361428,62825343659134,2.909851,-33.60443,-11.79657
62825365897991,62825362885208,2.9037476,-33.483887,-11.851501
62825384236845,62825382141800,2.8182983,-33.53424,-11.703491
62825403246116,62825401337357,3.0807495,-33.34961,-12.055969
62825422972261,62825420563431,2.6489258,-33.670044,-12.054443
62825444580491,62825439850540,2.7008057,-33.325195,-11.943054
62825461232418,62825459015579,1.9546509,-33.283997,-12.179565
62825479993980,62825478241654,1.9775391,-33.184814,-12.510681
62825499071949,62825497467728,2.078247,-33.1131,-11.781311
62825518067574,62825516724320,2.3620605,-33.29315,-11.924744
62825537624605,62825535919876,2.4978638,-33.166504,-12.034607
62825557087678,62825555176468,2.2857666,-33.27179,-12.29248
62825576463459,62825574372025,1.81427,-33.135986,-12.088013
62825595615699,62825593628617,2.4124146,-33.102417,-11.84845
62825614917209,62825612854691,2.053833,-32.940674,-11.4227295
62825634302522,62825632050247,2.0996094,-33.09021,-11.506653
62825653442782,62825651276322,1.8692017,-32.948303,-11.965942
62825671995959,62825670502396,1.8722534,-32.951355,-11.920166
62825691221949,62825689728470,2.355957,-33.02002,-11.94458
62825710160751,62825708985062,1.8829346,-32.917786,-12.431335
62825730171584,62825728211136,2.6184082,-32.989502,-12.332153
62825748938407,62825747406693,2.279663,-33.111572,-12.348938
62825768012053,62825766632767,1.9500732,-33.203125,-12.229919
62825787718511,62825785889359,1.9500732,-33.200073,-12.878418
62825806405334,62825805115433,1.8066406,-33.242798,-12.867737
62825826922834,62825824310990,2.2354126,-33.30841,-12.332153
62825844905803,62825843537064,2.2598267,-33.018494,-12.585449
62825864545907,62825862793656,2.0996094,-33.044434,-13.453674
62825883767678,62825882019730,2.2247314,-32.94983,-13.052368
62825903468824,62825901215286,2.0629883,-32.74536,-13.241577
62825922285647,62825920441361,2.4246216,-32.759094,-12.937927
62825943376584,62825939667435,2.6107788,-32.94525,-12.426758
62825961594136,62825959168167,2.0324707,-32.839966,-13.002014
62825980122678,62825978302689,2.2613525,-32.86438,-12.550354
62825998873407,62825997528763,2.2506714,-32.74231,-12.651062
62826018754293,62826016724320,2.5787354,-32.533264,-12.77771
62826038488876,62826035889359,3.2104492,-32.795715,-12.149048
62826057950907,62826055054398,2.9174805,-32.603455,-12.792969
62826076071897,62826074249954,2.6794434,-32.26471,-12.664795
62826112697001,62826093506546,3.0578613,-32.40509,-12.815857
62826114420282,62826112702103,2.444458,-32.429504,-12.593079
62826133425334,62826131928177,2.5726318,-32.566833,-12.867737
62826154021584,62826151428910,2.8198242,-32.3349,-12.760925
62826172080542,62826170593949,2.4978638,-32.470703,-12.545776
62826191131324,62826189758988,2.784729,-32.49817,-13.25531
62826211806011,62826209015579,2.607727,-32.632446,-13.050842
62826230715959,62826228119583,2.5253296,-32.29828,-12.791443
62826248538876,62826247284622,2.8686523,-32.52411,-13.444519
62826267718615,62826266510697,2.7282715,-32.221985,-13.317871
62826287234188,62826285797806,2.6351929,-32.42035,-13.298035
62826306376897,62826305084915,2.619934,-32.17621,-13.453674
62826328310438,62826324249954,3.050232,-32.473755,-12.948608
62826346548511,62826343445511,2.9388428,-32.57904,-13.166809
62826363478511,62826362641068,2.6153564,-32.481384,-13.571167
62826383416636,62826381867142,2.62146,-32.366943,-14.134216
62826403449397,62826401184769,2.9083252,-32.092285,-13.4765625
62826421702782,62826420349808,2.142334,-32.57599,-13.442993
62826443145230,62826439575882,2.5802612,-32.45392,-13.38501
62826462319657,62826458801956,2.581787,-32.728577,-12.763977
62826479701584,62826478028031,2.89917,-32.74536,-12.411499
62826499908876,62826497345658,2.8930664,-32.739258,-12.504578
62826519539292,62826516480179,3.2791138,-32.8125,-11.87439
62826537388251,62826535736771,2.758789,-32.59735,-12.321472
62826556465803,62826555084915,2.960205,-33.06427,-12.30011
62826576093459,62826574188919,3.262329,-32.954407,-11.49292
62826595935907,62826593384476,3.2150269,-33.033752,-11.485291
62826613825490,62826612580033,2.5299072,-33.078003,-11.579895
62826633025542,62826631806107,2.8793335,-33.11615,-12.106323
62826652785282,62826651032181,3.0075073,-33.140564,-11.695862
62826671362105,62826670258255,3.0166626,-33.303833,-11.592102
62826690799917,62826689514847,2.4230957,-33.457947,-11.778259
62826709849396,62826708710404,2.4795532,-33.540344,-11.683655
62826730768563,62826727936478,2.571106,-33.572388,-11.778259
62826748673823,62826747162552,2.7801514,-33.503723,-11.564636
62826767819240,62826766388626,3.010559,-33.836365,-11.785889
62826786928980,62826785614701,3.048706,-33.480835,-11.860657
62826806518823,62826804840775,2.8686523,-33.496094,-11.6622925
62826825417834,62826824097367,2.6290894,-33.772278,-11.676025
62826845014761,62826843292923,3.0914307,-33.78601,-11.331177
62826864491532,62826862567584,2.6229858,-33.8089,-11.117554
62826883371428,62826881763140,2.9083252,-33.953857,-11.216736
62826902714865,62826900958697,2.9632568,-33.877563,-11.779785
62826921806844,62826920184771,2.7175903,-33.68683,-11.779785
62826941194501,62826939410845,2.2583008,-33.831787,-11.463928
62826960498042,62826958697955,2.5360107,-33.93402,-11.010742
62826979365282,62826977893511,2.5878906,-33.935547,-10.966492
62826998940750,62826997150103,2.937317,-34.01642,-10.8428955
62827017578928,62827016345660,2.3635864,-33.955383,-10.720825
62827037156688,62827035541216,2.4154663,-33.80432,-10.643005
62827056445125,62827054767291,2.0507812,-34.022522,-10.372925
62827075772469,62827073993365,1.9607544,-34.184265,-10.310364
62827094758823,62827093219439,1.9973755,-34.095764,-10.458374
62827114187000,62827112445513,2.0248413,-34.118652,-10.087585
62827133746844,62827131671587,1.9500732,-34.332275,-9.837341
62827152493875,62827150928179,1.3565063,-34.09729,-10.604858
62827171569917,62827170123736,1.4129639,-34.335327,-10.545349
62827191163250,62827189349810,0.9689331,-34.181213,-10.621643
62827210305594,62827208575884,1.3626099,-34.217834,-10.549927
62827229735542,62827227832476,1.2115479,-34.254456,-10.630798
62827248463459,62827247028033,1.2542725,-34.365845,-10.719299
62827268511167,62827266254107,1.0253906,-34.457397,-10.559082
62827287042573,62827285510699,1.2588501,-34.60083,-10.702515
62827306691636,62827304706255,1.1947632,-34.432983,-10.894775
62827326735230,62827323932330,1.1169434,-34.375,-10.617065
62827344869605,62827343188921,0.36468506,-34.170532,-11.558533
62827363824969,62827362414996,0.6240845,-34.179688,-11.341858
62827382771636,62827381641070,0.16479492,-34.169006,-11.639404
62827402281167,62827400867144,0.72631836,-34.144592,-11.257935
62827421460646,62827420093218,0.27313232,-34.254456,-11.500549
62827440572417,62827439349810,0.06561279,-34.402466,-11.061096
62827459738927,62827458545367,0.14801025,-34.1568,-11.222839
62827479327886,62827477740923,0.4638672,-34.28955,-10.908508
62827498662834,62827496966998,0.16326904,-34.054565,-11.000061
62827517779188,62827516223589,0.10223389,-33.929443,-11.143494
62827537151896,62827535449664,0.30975342,-34.20868,-10.997009
62827556344188,62827554645220,0.061035156,-33.935547,-11.047363
62827575213875,62827573901812,0.29449463,-34.118652,-11.187744
62827594797625,62827593097369,0.036621094,-33.996582,-10.717773
62827614265906,62827612353961,0.12207031,-33.946228,-10.865784
62827633196271,62827631549517,0.4776001,-34.10797,-10.690308
62827652003927,62827650775591,0.2960205,-33.96454,-11.152649
62827671629552,62827670032183,0.11444092,-34.09424,-10.9939575
62827690573302,62827689227740,0.9063721,-34.321594,-11.488342
62827709865021,62827708484332,0.5126953,-34.284973,-11.560059
62827729227781,62827727710406,0.12664795,-34.136963,-12.149048
62827748287886,62827746905962,0.90789795,-34.2041,-12.097168
62827767809761,62827766406695,1.2969971,-34.54895,-11.494446
62827787375021,62827785602252,0.90026855,-34.394836,-11.575317
62827806635229,62827804767291,1.4663696,-34.602356,-11.825562
62827825838458,62827823932330,1.4266968,-34.14612,-12.271118
62827845093927,62827843127886,1.5014648,-34.08966,-11.909485
62827865609240,62827862262408,1.4175415,-34.217834,-11.756897
62827883281896,62827881488482,1.9042969,-34.249878,-11.737061
62827902156323,62827900775591,1.789856,-34.00421,-11.932373
62827921768094,62827919940630,1.4160156,-34.10034,-11.764526
62827940832417,62827939197222,1.5350342,-34.23004,-12.133789
62827959824448,62827958667437,1.8203735,-33.992004,-11.51886
62827979545333,62827977832476,1.6448975,-34.16443,-11.31134
62827998825229,62827996997515,1.965332,-34.028625,-11.524963
62828018278667,62828016223589,1.9302368,-33.95996,-11.990356
62828037361115,62828035388628,1.7684937,-33.79669,-11.529541
62828056768094,62828054584185,1.8951416,-33.740234,-11.772156
62828075101010,62828073779742,1.9699097,-33.72345,-11.407471
62828095485177,62828093036334,2.0339966,-33.81195,-11.221313
62828113710125,62828112262408,2.1759033,-33.885193,-11.270142
