arrival_ts,event_ts,val_x,val_y,val_z
62963842617052,62963840312329,-0.0011291504,0.022033691,0.09051514
62963851135125,62963845286694,-0.009567261,0.02508545,0.09320068
62963855971948,62963850261059,-0.21946716,0.1006012,0.1589508
62963861905073,62963855235424,-0.18980408,0.0811615,0.1350708
62963865831427,62963860209789,-0.16098022,0.06321716,0.11793518
62963870389136,62963865184155,-0.13146973,0.044418335,0.101623535
62963875311427,62963870158520,-0.10820007,0.027496338,0.08894348
62963881130646,62963875132885,-0.09397888,0.0143585205,0.07788086
62963885019292,62963880107250,-0.08633423,0.004699707,0.07136536
62963889940021,62963885081616,-0.08547974,-8.087158E-4,0.06607056
62963895967521,62963890055981,-0.08998108,-0.0010070801,0.06463623
62963899474344,62963895030346,-0.096450806,0.0017700195,0.0660553
62963904197573,62963900004711,-0.103500366,0.0038757324,0.07106018
62963909261219,62963904979077,-0.10803223,0.008255005,0.07858276
62963914232521,62963909953442,-0.10925293,0.015579224,0.0896759
62963918520855,62963914927807,-0.112701416,0.023361206,0.10229492
62963925400282,62963919902172,-0.12194824,0.030334473,0.11677551
62963929979136,62963924876538,-0.13064575,0.03147888,0.13069153
62963933561219,62963929850903,-0.13804626,0.026046753,0.14501953
62963938555907,62963934825268,-0.14390564,0.016448975,0.15892029
62963943121688,62963939799633,-0.14622498,0.0042877197,0.16949463
62963949416740,62963944773998,-0.1431427,-0.013214111,0.17515564
62963956013042,62963949748364,-0.13616943,-0.030731201,0.17604065
62963957578250,62963954722729,-0.1232605,-0.047836304,0.17234802
62963962704604,62963959697094,-0.10545349,-0.057785034,0.16513062
62963967357365,62963964671459,-0.08590698,-0.070114136,0.15638733
62963971670750,62963969645825,-0.06625366,-0.07800293,0.15048218
62963981898927,62963974620190,-0.044204712,-0.082351685,0.14982605
62963987770802,62963979594555,-0.02848816,-0.07833862,0.15312195
62963990436011,62963984568920,-0.027175903,-0.07173157,0.15917969
62963996330021,62963989543286,-0.0382843,-0.076690674,0.17578125
62963999705959,62963994517651,-0.052978516,-0.094558716,0.19807434
62964004333563,62963999492016,-0.07324219,-0.116882324,0.22343445
62964009565907,62964004466381,-0.088012695,-0.14163208,0.24490356
62964014024292,62964009440746,-0.0980072,-0.16394043,0.26078796
62964018769344,62964014415112,-0.09790039,-0.18267822,0.27088928
62964023531479,62964019389477,-0.09101868,-0.1959076,0.27249146
62964028523771,62964024363842,-0.07368469,-0.20845032,0.264328
62964033356219,62964029338207,-0.048217773,-0.21990967,0.24620056
62964038192729,62964034312573,-0.019042969,-0.22503662,0.22285461
62964043480282,62964039286938,0.008560181,-0.22535706,0.1968689
62964048404709,62964044261303,0.03489685,-0.22436523,0.16893005
62964052931636,62964049235668,0.061172485,-0.22138977,0.1421814
62964057743511,62964054210034,0.08755493,-0.2168274,0.12023926
62964063241323,62964059184399,0.10772705,-0.20932007,0.10624695
62964067354032,62964064158764,0.118652344,-0.19914246,0.09718323
62964072998771,62964069133129,0.12011719,-0.19152832,0.09614563
62964077028354,62964074107495,0.11412048,-0.18850708,0.10279846
62964083241584,62964079081860,0.10102844,-0.18760681,0.11103821
62964086489188,62964084056225,0.08642578,-0.18592834,0.12451172
62964091307834,62964089030590,0.074035645,-0.17965698,0.13093567
62964096577521,62964094004955,0.064819336,-0.17155457,0.13827515
62964101982209,62964098979321,0.061264038,-0.16864014,0.14527893
62964110781167,62964103953686,0.06248474,-0.17478943,0.14976501
62964115558719,62964108928051,0.07815552,-0.19654846,0.14764404
62964120238719,62964113902416,0.10357666,-0.22183228,0.14053345
62964125734709,62964118876782,0.12345886,-0.23861694,0.12960815
62964131692573,62964123851147,0.14060974,-0.23840332,0.10583496
62964134941896,62964128825512,0.16375732,-0.21026611,0.07028198
62964139972156,62964133799877,0.20022583,-0.15919495,0.025024414
62964146592938,62964138774243,0.24841309,-0.10168457,-0.012161255
62964150172573,62964143748608,0.29060364,-0.0476532,-0.041931152
62964154719552,62964148722973,0.31854248,0.005844116,-0.068359375
62964159340490,62964153697338,0.33592224,0.04975891,-0.09085083
62964164086896,62964158671704,0.3489685,0.07295227,-0.104263306
62964168575802,62964163646069,0.35386658,0.070739746,-0.10557556
62964173199188,62964168620434,0.349823,0.05265808,-0.09036255
62964179210802,62964173594799,0.3431244,0.028259277,-0.06687927
62964183932729,62964178569164,0.33480835,0.003753662,-0.03892517
62964187137677,62964183543530,0.3214569,-0.025360107,-0.002243042
62964192162990,62964188517895,0.2998047,-0.06619263,0.039138794
62964197126792,62964193492260,0.2675171,-0.114593506,0.0839386
62964202545125,62964198466625,0.21829224,-0.16119385,0.13398743
62964206998302,62964203440991,0.15209961,-0.19798279,0.18174744
62964212062781,62964208415356,0.074417114,-0.23208618,0.22657776
62964216450542,62964213389721,-0.0152282715,-0.26869202,0.27682495
62964221601219,62964218364086,-0.11882019,-0.3002472,0.33937073
62964226409761,62964223338452,-0.23027039,-0.3085785,0.41123962
62964231558146,62964228312817,-0.34539795,-0.2796936,0.48706055
62964235631740,62964233287182,-0.45063782,-0.22038269,0.56915283
62964245453042,62964238261547,-0.5437622,-0.13276672,0.6470032
62964250054761,62964243235913,-0.6186371,-0.047927856,0.71099854
62964254691844,62964248210278,-0.6815796,0.021987915,0.74983215
62964259259396,62964253184643,-0.7239685,0.07142639,0.7622833
62964264900073,62964258159008,-0.7391205,0.095458984,0.75172424
62964270832625,62964263133373,-0.72216797,0.098098755,0.715271
62964274439031,62964268107739,-0.6736603,0.0942688,0.655838
62964278830073,62964273082104,-0.5951538,0.095687866,0.57888794
62964284013094,62964278056469,-0.4945984,0.11317444,0.48858643
62964288282261,62964283030834,-0.38354492,0.15455627,0.38952637
62964293322729,62964288005200,-0.27149963,0.20962524,0.2810974
62964299722521,62964292979565,-0.16473389,0.25709534,0.16325378
62964303308198,62964297953930,-0.06315613,0.28527832,0.046783447
62964307729344,62964302928295,0.032943726,0.29483032,-0.054733276
62964313487521,62964307902661,0.11584473,0.289917,-0.13461304
62964317879240,62964312877026,0.18144226,0.26716614,-0.19343567
62964322887677,62964317851391,0.22950745,0.23150635,-0.22779846
62964326727156,62964322825756,0.25979614,0.18714905,-0.2338562
62964332159292,62964327800121,0.27619934,0.13189697,-0.22447205
62964337695542,62964332774487,0.2911377,0.067489624,-0.20791626
62964342652365,62964337748852,0.30984497,0.005645752,-0.19238281
62964346265021,62964342723217,0.3294983,-0.035186768,-0.18377686
62964350037313,62964347697582,0.34968567,-0.054534912,-0.17939758
62964354807781,62964352671948,0.36671448,-0.05076599,-0.18322754
62964359798042,62964357646313,0.37922668,-0.02734375,-0.19396973
62964364389969,62964362620678,0.39126587,0.012832642,-0.20420837
62964373612625,62964367595043,0.3978119,0.067611694,-0.21557617
62964378613823,62964372569409,0.40524292,0.12854004,-0.22483826
62964384049240,62964377543774,0.4091034,0.18998718,-0.22859192
62964388495229,62964382518139,0.41296387,0.2434082,-0.23168945
62964393196011,62964387492504,0.41181946,0.29766846,-0.23373413
62964398070073,62964392466870,0.40681458,0.3501892,-0.23202515
62964403577938,62964397441235,0.39292908,0.40275574,-0.22538757
62964407682573,62964402415600,0.3627777,0.45846558,-0.21508789
62964412772261,62964407389965,0.31881714,0.5168915,-0.19485474
62964417432261,62964412364330,0.26139832,0.57321167,-0.16572571
62964423771115,62964417338696,0.19500732,0.6223297,-0.12709045
62964427229031,62964422313061,0.12817383,0.6542053,-0.08192444
62964431880906,62964427287426,0.06762695,0.66308594,-0.032836914
62964436848771,62964432261791,0.019454956,0.64611816,0.022232056
62964442659500,62964437236157,-0.018173218,0.61006165,0.07929993
62964446752521,62964442210522,-0.047164917,0.5623779,0.13539124
62964451420333,62964447184887,-0.06816101,0.5087738,0.18785095
62964456015802,62964452159252,-0.07862854,0.4464569,0.2371521
62964460542677,62964457133618,-0.08224487,0.37565613,0.28178406
62964466576115,62964462107983,-0.07633972,0.2982788,0.32028198
