arrival_ts,event_ts,duration,stride_x,stride_y,stride_z,is_lm_present,inst_stride_len,inst_cascade,inst_speed,is_td_present,running,sequence_num
62963778887834,306352,799,632,-98,143,true,63,0.0,-1.0,false,false,51
62964348372521,307174,197,2,15,-19,true,1,0.0,-1.0,false,false,65
62966102357416,308029,839,1114,819,83,true,138,0.0,-1.0,false,false,326
62966687657989,309252,835,870,1117,140,true,141,0.0,-1.0,false,false,422
62967857095436,310389,816,860,1184,56,true,146,0.0,-1.0,false,false,448
62969030245280,311507,776,794,1103,113,true,135,0.0,-1.0,false,false,422
62970194945592,312605,816,577,1288,-1,true,141,0.0,-1.0,false,false,471
62971365843300,313744,856,677,1283,-3,true,145,0.0,-1.0,false,false,384
62972538216841,314902,796,692,1273,-92,true,144,0.0,-1.0,false,false,457
62973708986320,316040,796,634,1105,35,true,127,0.0,-1.0,false,false,452
62974877910954,317178,796,665,1096,75,true,128,0.0,-1.0,false,false,428
62976052231058,318317,776,752,1018,50,true,126,0.0,-1.0,false,false,431
62977215100693,319455,776,788,995,63,true,126,0.0,-1.0,false,false,377
62978392248349,320593,796,858,1007,-44,true,132,0.0,-1.0,false,false,315
62979558059651,321731,816,1141,670,-206,true,132,0.0,-1.0,false,false,142
62980731791161,322870,815,1162,484,45,true,125,0.0,-1.0,false,false,228
62981898432566,324028,796,448,1272,107,true,134,0.0,-1.0,false,true,802
62983073995587,325166,816,-284,1305,132,true,133,0.0,-1.0,false,true,957
62984239860795,326364,796,22,1269,-17,true,126,0.0,-1.0,false,false,530
62985412194128,327542,816,1136,657,42,true,131,0.0,-1.0,false,true,3599
62986578716471,328781,835,765,-543,110,true,93,0.0,-1.0,false,true,2723
62987751684908,330119,815,-831,-1098,211,true,137,0.0,-1.0,false,true,2115
62988919433866,331277,815,-983,-1122,104,true,149,0.0,-1.0,false,true,2072
62990088094334,332455,816,-1066,-1118,173,true,154,0.0,-1.0,false,true,2073
62991258246313,333613,796,-1100,-1081,-50,true,154,0.0,-1.0,false,true,2078
62992431969542,334731,816,-872,-960,327,true,129,0.0,-1.0,false,true,2156
62993598292249,335890,815,-749,-1142,224,true,136,0.0,-1.0,false,true,2239
62994765856624,337008,816,-884,-996,93,true,133,0.0,-1.0,false,true,2176
62995939973655,338166,816,-889,-1241,-94,true,152,0.0,-1.0,false,true,2210
62997104422404,339324,816,-659,-1203,82,true,137,0.0,-1.0,false,true,2247
62998275021414,340502,816,-840,-1200,-123,true,146,0.0,-1.0,false,true,2202
62999447467351,341661,775,-855,-860,89,true,121,0.0,-1.0,false,true,2200
63000615557768,342819,815,-611,-1285,-48,true,142,0.0,-1.0,false,true,2284
63001788079382,343957,816,-584,-1240,118,true,137,0.0,-1.0,false,true,2285
63002957758600,345115,796,-634,-1180,25,true,133,0.0,-1.0,false,true,2250
63004127593495,346233,816,-577,-1077,156,true,122,0.0,-1.0,false,true,2259
63005300405735,347372,795,-758,-1115,110,true,134,0.0,-1.0,false,true,2251
63006466100109,348510,816,-645,-1177,20,true,134,0.0,-1.0,false,true,2268
63007638526098,349648,796,-748,-1045,26,true,128,0.0,-1.0,false,true,2225
63008220166463,350787,795,-704,-1243,-115,true,142,0.0,-1.0,false,true,2240
63009390595681,351924,836,-650,-1067,119,true,124,0.0,-1.0,false,true,2273
63010567417139,353083,835,-609,-1190,-139,true,133,0.0,-1.0,false,true,2281
63011730224378,354241,816,-598,-1090,64,true,124,0.0,-1.0,false,true,2285
63013489018127,355419,816,-517,-1127,75,true,123,0.0,-1.0,false,true,2259
63014071109065,356577,796,-579,-1073,49,true,121,0.0,-1.0,false,true,2261
63015825810731,357755,836,-545,-1114,20,true,124,0.0,-1.0,false,true,2328
63016996598959,358975,874,19,-1303,112,true,130,0.0,-1.0,false,true,2749
63018167306146,360192,855,432,-1077,135,true,116,0.0,-1.0,false,true,2834
63019336124479,361470,855,532,-938,87,true,107,0.0,-1.0,false,true,2914
63020510274218,362688,815,692,-1136,-74,true,133,0.0,-1.0,false,true,2879
63021678568853,363866,815,585,-953,70,true,111,0.0,-1.0,false,true,2992
63022849120624,365240,659,319,-168,70,true,36,0.0,-1.0,false,true,3393
63039229426399,381554,640,89,-367,20,true,37,0.0,-1.0,false,true,2843
63040397388169,382695,757,330,-912,38,true,96,0.0,-1.0,false,true,2772
63041568857648,383854,776,500,-834,65,true,97,0.0,-1.0,false,true,3031
63042740802543,385188,740,484,-415,175,true,63,0.0,-1.0,false,true,3070
63044489712699,386726,799,727,-761,54,true,105,0.0,-1.0,false,true,2874
63045663930302,387947,796,707,-1241,-123,true,142,0.0,-1.0,false,true,2817
63046833342281,389086,775,525,-1121,138,true,123,0.0,-1.0,false,true,2861
63048007353791,390224,756,679,-1142,-159,true,132,0.0,-1.0,false,true,2851
63049174458947,391342,776,605,-1262,79,true,139,0.0,-1.0,false,true,2905
63050347295822,392480,756,457,-1117,-6,true,120,0.0,-1.0,false,true,2845
63051513561863,393598,816,797,-1010,77,true,128,0.0,-1.0,false,true,2884
63052681404727,394757,795,790,-1136,31,true,138,0.0,-1.0,false,true,2891
63053850262122,395875,816,897,-942,148,true,130,0.0,-1.0,false,true,2957
63055024816132,397033,796,578,-1138,59,true,127,0.0,-1.0,false,true,2843
63055605579101,398191,776,752,-1258,-198,true,146,0.0,-1.0,false,true,2842
63056777701132,399289,796,727,-1229,43,true,142,0.0,-1.0,false,true,2830
63057951617850,400407,796,595,-1326,-33,true,145,0.0,-1.0,false,true,2889
63059116578735,401546,795,658,-1022,185,true,121,0.0,-1.0,false,true,2872
63060290453786,402684,796,715,-1055,111,true,127,0.0,-1.0,false,true,2875
63061456013213,403822,816,740,-1200,-37,true,140,0.0,-1.0,false,true,2908
63062631814567,405000,796,878,-1062,90,true,137,0.0,-1.0,false,true,2938
63063799288368,406158,796,781,-1018,81,true,128,0.0,-1.0,false,true,2928
63064971020816,407296,796,876,-1182,-51,true,147,0.0,-1.0,false,true,2892
63066136225659,408454,816,952,-1145,-131,true,148,0.0,-1.0,false,true,2897
63067303825555,409613,795,692,-1155,-125,true,134,0.0,-1.0,false,true,2858
63069063654669,410831,795,586,-1267,-54,true,139,0.0,-1.0,false,true,2856
63069649707012,411989,796,570,-1201,114,true,132,0.0,-1.0,false,true,2899
63070821071907,413127,796,717,-1042,54,true,126,0.0,-1.0,false,true,2963
